segment_id,task_id,start,goal,release_epoch
0:storage_in,0,3,47,8267.0
1:storage_in,1,4,47,8867.0
2:storage_in,2,5,47,8875.0
3:storage_in,3,3,47,8880.0
4:storage_in,4,3,47,9462.0
5:storage_in,5,4,47,9470.0
6:storage_in,6,5,47,10062.0
7:storage_in,7,3,47,10073.0
8:storage_in,8,0,47,10084.0
9:storage_in,9,4,47,10085.0
10:storage_in,10,5,47,10087.0
11:storage_in,11,1,47,10089.0
12:storage_in,12,0,47,10645.0
13:storage_in,13,4,47,10665.0
14:storage_in,14,5,47,10673.0
15:storage_in,15,3,47,10675.0
17:storage_in,17,2,47,10681.0
16:storage_in,16,3,47,10681.0
18:storage_in,18,0,47,10684.0
19:storage_in,19,1,47,10686.0
20:storage_in,20,3,47,10688.0
21:storage_in,21,2,47,10689.0
22:storage_in,22,4,47,10812.0
23:storage_in,23,5,47,11251.0
24:storage_in,24,3,47,11254.0
25:storage_in,25,4,47,11267.0
26:storage_in,26,4,47,11269.0
27:storage_in,27,5,47,11270.0
29:storage_in,29,0,47,11273.0
28:storage_in,28,3,47,11273.0
30:storage_in,30,5,47,11274.0
31:storage_in,31,1,47,11276.0
32:storage_in,32,2,47,11278.0
33:storage_in,33,0,47,11281.0
34:storage_in,34,3,47,11282.0
35:storage_in,35,4,47,11285.0
36:storage_in,36,1,47,11286.0
37:storage_in,37,5,47,11288.0
38:storage_in,38,2,47,11289.0
39:storage_in,39,3,47,11290.0
40:storage_in,40,0,47,11292.0
41:storage_in,41,1,47,11845.0
42:storage_in,42,4,47,11854.0
43:storage_in,43,5,47,11865.0
44:storage_in,44,3,47,11867.0
45:storage_in,45,1,47,11870.0
46:storage_in,46,4,47,11875.0
47:storage_in,47,2,47,11878.0
48:storage_in,48,4,47,11880.0
49:storage_in,49,0,47,11881.0
50:storage_in,50,1,47,11883.0
51:storage_in,51,5,47,11885.0
52:storage_in,52,2,47,11886.0
53:storage_in,53,3,47,11887.0
54:storage_in,54,0,47,11889.0
55:storage_in,55,0,47,11906.0
56:storage_in,56,4,47,12018.0
57:storage_in,57,5,47,12449.0
58:storage_in,58,3,47,12459.0
59:storage_in,59,1,47,12462.0
60:storage_in,60,4,47,12467.0
61:storage_in,61,5,47,12469.0
63:storage_in,63,2,47,12470.0
62:storage_in,62,5,47,12470.0
64:storage_in,64,3,47,12474.0
65:storage_in,65,0,47,12475.0
66:storage_in,66,4,47,12477.0
67:storage_in,67,1,47,12478.0
68:storage_in,68,5,47,12480.0
69:storage_in,69,3,47,12482.0
70:storage_in,70,2,47,12484.0
71:storage_in,71,4,47,12485.0
72:storage_in,72,0,47,12486.0
73:storage_in,73,5,47,12487.0
74:storage_in,74,1,47,12489.0
75:storage_in,75,3,47,12490.0
76:storage_in,76,2,47,12491.0
77:storage_in,77,3,47,12620.0
78:storage_in,78,2,47,13047.0
79:storage_in,79,4,47,13049.0
80:storage_in,80,0,47,13050.0
81:storage_in,81,5,47,13051.0
83:storage_in,83,3,47,13057.0
82:storage_in,82,4,47,13057.0
84:storage_in,84,4,47,13059.0
85:storage_in,85,1,47,13060.0
86:storage_in,86,5,47,13062.0
88:storage_in,88,2,47,13065.0
87:storage_in,87,3,47,13065.0
90:storage_in,90,0,47,13067.0
89:storage_in,89,4,47,13067.0
91:storage_in,91,4,47,13070.0
92:storage_in,92,1,47,13071.0
93:storage_in,93,2,47,13075.0
94:storage_in,94,5,47,13077.0
95:storage_in,95,0,47,13078.0
96:storage_in,96,3,47,13080.0
97:storage_in,97,1,47,13081.0
98:storage_in,98,4,47,13082.0
99:storage_in,99,2,47,13084.0
100:storage_in,100,5,47,13085.0
101:storage_in,101,0,47,13086.0
102:storage_in,102,3,47,13088.0
103:storage_in,103,1,47,13092.0
104:storage_in,104,1,47,13103.0
105:storage_in,105,2,47,13222.0
106:storage_in,106,53,47,13377.0
107:storage_in,107,53,47,13383.0
108:storage_in,108,53,47,13422.0
109:storage_in,109,53,47,13427.0
110:storage_in,110,53,47,13432.0
111:storage_in,111,53,47,13437.0
112:storage_in,112,53,47,13442.0
113:storage_in,113,53,47,13447.0
114:storage_in,114,53,47,13470.0
115:storage_in,115,53,47,13481.0
116:storage_in,116,53,47,13529.0
