map,load_factor,seed,clock,statistic,unit,better,old_hca,repaired_hca,g31_fixed,repaired_minus_old_hca,hca_improvement_percent,g31_advantage_vs_old_hca_original_units,g31_advantage_vs_repaired_hca_original_units,g31_relative_advantage_vs_old_hca_percent,g31_relative_advantage_vs_repaired_hca_percent,g31_advantage_change_percentage_points
map2,1.0,104729,COMMON_CANONICAL_D,min,seconds,lower,187.01857000000018,187.0250100000012,188.0009999999893,0.006440000001020962,-0.00344350831097733,-0.9824299999891082,-0.9759899999880872,-0.5253114704005636,-0.521849992141736,0.0034614782588275883
map2,1.0,104729,COMMON_CANONICAL_D,mean,seconds,lower,343.2923318968989,337.5294398741668,245.8608527969567,-5.762892022732046,1.6787127142888874,97.43147909994218,91.66858707721013,28.381490073365175,27.158693805015876,-1.222796268349299
map2,1.0,104729,COMMON_CANONICAL_D,max,seconds,lower,1644.9004300000015,1648.9775499999996,588.8808499999941,4.077119999998104,-0.2478642430653447,1056.0195800000074,1060.0967000000055,64.19960507883182,64.28812205478515,0.08851697595332553
map2,1.0,104729,NATIVE_START,min,seconds,lower,188.0,188.0,188.0009999999893,0.0,0.0,-0.0009999999892897904,-0.0009999999892897904,-0.0005319148879201012,-0.0005319148879201012,0.0
map2,1.0,104729,NATIVE_START,mean,seconds,lower,237.12716621062233,236.3463130569003,237.23628253104775,-0.7808531537220347,0.32929721473939483,-0.10911632042541441,-0.8899694741474491,-0.046015950921664765,-0.3765531446784995,-0.3305371937568347
map2,1.0,104729,NATIVE_START,max,seconds,lower,359.0,359.0,513.3808499999941,0.0,0.0,-154.3808499999941,-154.3808499999941,-43.00302228412092,-43.00302228412092,0.0
map2,1.0,104729,FIXED_HORIZON,TH,raw_bags,higher,28506,28506,28506,0,0.0,0,0,0.0,0.0,0.0
nanning,1.0,104729,COMMON_CANONICAL_D,min,seconds,lower,48.08817999999883,48.0147300000026,48.40099999999802,-0.07344999999622814,0.15274023678215715,-0.3128199999991921,-0.3862699999954202,-0.6505132862154478,-0.8044822911539841,-0.15396900493853627
nanning,1.0,104729,COMMON_CANONICAL_D,mean,seconds,lower,5113.604196065845,5032.149660178664,624.6038851227836,-81.45453588718101,1.592898721998236,4489.000310943062,4407.54577505588,87.78544718804552,87.58773233503933,-0.19771485300618963
nanning,1.0,104729,COMMON_CANONICAL_D,max,seconds,lower,58923.52921,58847.62039,4735.200000000001,-75.9088200000042,0.12882599025844094,54188.329209999996,54112.42039,91.96382147592682,91.95345543520966,-0.010366040717158853
nanning,1.0,104729,NATIVE_START,min,seconds,lower,49.0,49.0,48.40099999999802,0.0,0.0,0.5990000000019791,0.5990000000019791,1.2224489795958757,1.2224489795958757,0.0
nanning,1.0,104729,NATIVE_START,mean,seconds,lower,366.06749456254823,350.80042798007435,612.9239678836059,-15.267066582473888,4.170560568541623,-246.85647332105765,-262.12353990353154,-67.43468813478015,-74.72155647381943,-7.286868339039287
nanning,1.0,104729,NATIVE_START,max,seconds,lower,1098.0,986.0,4570.154160000002,-112.0,10.200364298724955,-3472.154160000002,-3584.154160000002,-316.2253333333335,-363.50447870182575,-47.279145368492266
nanning,1.0,104729,FIXED_HORIZON,TH,raw_bags,higher,28506,28506,28506,0,0.0,0,0,0.0,0.0,0.0
