family,map,load_factor,speed_mps,scenario_index,seed,reference,baseline,g31_cell_id,baseline_cell_id,g31_state,baseline_state,pair_status,tht_pair_eligible,g31_TH,baseline_TH,g31_benefit_TH,g31_benefit_TH_percent,g31_completion_rate,baseline_completion_rate,g31_benefit_completion_rate,g31_benefit_completion_rate_percent,g31_success_std_rate,baseline_success_std_rate,g31_benefit_success_std_rate,g31_benefit_success_std_rate_percent,g31_success_paper_literal_rate,baseline_success_paper_literal_rate,g31_benefit_success_paper_literal_rate,g31_benefit_success_paper_literal_rate_percent,g31_tht_D_min_seconds,baseline_tht_D_min_seconds,g31_benefit_tht_D_min_seconds,g31_benefit_tht_D_min_seconds_percent,g31_tht_D_mean_seconds,baseline_tht_D_mean_seconds,g31_benefit_tht_D_mean_seconds,g31_benefit_tht_D_mean_seconds_percent,g31_tht_D_max_seconds,baseline_tht_D_max_seconds,g31_benefit_tht_D_max_seconds,g31_benefit_tht_D_max_seconds_percent,g31_tht_native_min_seconds,baseline_tht_native_min_seconds,g31_benefit_tht_native_min_seconds,g31_benefit_tht_native_min_seconds_percent,g31_tht_native_mean_seconds,baseline_tht_native_mean_seconds,g31_benefit_tht_native_mean_seconds,g31_benefit_tht_native_mean_seconds_percent,g31_tht_native_max_seconds,baseline_tht_native_max_seconds,g31_benefit_tht_native_max_seconds,g31_benefit_tht_native_max_seconds_percent,g31_benefit_completion_rate_pp,g31_benefit_success_std_rate_pp,g31_benefit_success_paper_literal_rate_pp
all_day_fault,map2,1.0,2.5,1,104729,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s104729_q01_g31,f_map2_1x_v2p5_s104729_q01_hca,COMPLETE,COMPLETE,COMPLETE,True,28506,28506,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.42955868939872305,0.42703290535325894,0.002525784045464108,0.5914729318984626,188.00099999999657,187.0250100000012,-0.9759899999953632,-0.5218499921456263,245.91416669403102,339.9093248106714,93.9951581166404,27.65300956924187,591.055799999991,1624.9004300000015,1033.8446300000105,63.62510655499116,188.00099999999657,188.0,-0.000999999996565748,-0.0005319148917902915,237.28959642812208,236.84676910124185,-0.4428273268802343,-0.1869678562897958,514.1741799999945,359.0,-155.17417999999452,-43.22400557102912,0.0,0.0,0.2525784045464108
all_day_fault,map2,1.0,2.5,1,130363,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s130363_q01_g31,f_map2_1x_v2p5_s130363_q01_hca,COMPLETE,COMPLETE,COMPLETE,True,28506,28506,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.42962885006665263,0.4272784676910124,0.0023503823756402253,0.550082101806242,188.00099999999657,187.01089000000138,-0.9901099999951839,-0.5294397561527976,245.74375163088632,331.1920372220936,85.44828559120725,25.800223431672247,600.0451799999973,1493.9004300000015,893.8552500000042,59.83365638364555,188.00099999999657,188.0,-0.000999999996565748,-0.0005319148917902915,237.12302266154654,236.402371430576,-0.7206512309705317,-0.30484094834140213,523.5451799999973,359.0,-164.54517999999734,-45.83431197771514,0.0,0.0,0.23503823756402253
all_day_fault,map2,1.0,2.5,1,155921,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s155921_q01_g31,f_map2_1x_v2p5_s155921_q01_hca,COMPLETE,COMPLETE,COMPLETE,True,28506,28506,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.42955868939872305,0.42706798568722376,0.002490703711499287,0.5832101199277039,188.00099999999657,187.0250100000012,-0.9759899999953632,-0.5218499921456263,245.89987180488475,334.805136218796,88.90526441391125,26.55433110076646,609.062879999994,1538.9004300000015,929.8375500000075,60.42220353398735,188.00099999999657,188.0,-0.000999999996565748,-0.0005319148917902915,237.27847630919965,236.68203185294325,-0.5964444562563926,-0.25200242349912694,532.562879999994,359.0,-173.56287999999404,-48.346206128132046,0.0,0.0,0.2490703711499287
all_day_fault,map2,1.0,2.5,2,104729,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s104729_q02_g31,f_map2_1x_v2p5_s104729_q02_hca,COMPLETE,COMPLETE,COMPLETE,False,25313,25313,0,0.0,0.8879884936504595,0.8879884936504595,0.0,0.0,0.8879884936504595,0.8879884936504595,0.0,0.0,0.37644706377604714,0.37420192240230127,0.0022451413737458736,0.599981250585918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.22451413737458736
all_day_fault,map2,1.0,2.5,2,130363,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s130363_q02_g31,f_map2_1x_v2p5_s130363_q02_hca,COMPLETE,COMPLETE,COMPLETE,False,25313,25313,0,0.0,0.8879884936504595,0.8879884936504595,0.0,0.0,0.8879884936504595,0.8879884936504595,0.0,0.0,0.376306742440188,0.3746579667438434,0.0016487756963446398,0.44007490636704405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.16487756963446398
all_day_fault,map2,1.0,2.5,2,155921,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s155921_q02_g31,f_map2_1x_v2p5_s155921_q02_hca,COMPLETE,COMPLETE,COMPLETE,False,25313,25313,0,0.0,0.8879884936504595,0.8879884936504595,0.0,0.0,0.8879884936504595,0.8879884936504595,0.0,0.0,0.3763769031081176,0.3748333684136673,0.0015435346944502881,0.4117922321010754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.1543534694450288
all_day_fault,map2,1.0,2.5,9,104729,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s104729_q09_g31,f_map2_1x_v2p5_s104729_q09_hca,COMPLETE,RUNNING,INCOMPLETE,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
all_day_fault,map2,1.0,2.5,9,130363,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s130363_q09_g31,f_map2_1x_v2p5_s130363_q09_hca,COMPLETE,RUNNING,INCOMPLETE,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
all_day_fault,map2,1.0,2.5,9,155921,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s155921_q09_g31,f_map2_1x_v2p5_s155921_q09_hca,COMPLETE,RUNNING,INCOMPLETE,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
all_day_fault,map2,1.0,2.5,14,104729,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s104729_q14_g31,f_map2_1x_v2p5_s104729_q14_hca,RUNNING,MISSING,INCOMPLETE,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
all_day_fault,map2,1.0,2.5,14,130363,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s130363_q14_g31,f_map2_1x_v2p5_s130363_q14_hca,MISSING,MISSING,INCOMPLETE,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
all_day_fault,map2,1.0,2.5,14,155921,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_1x_v2p5_s155921_q14_g31,f_map2_1x_v2p5_s155921_q14_hca,MISSING,MISSING,INCOMPLETE,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
all_day_fault,map2,2.0,2.5,1,104729,G31_S4_ADVERTISED_FAULT_REPAIR_V1,HCA_TIME_LABEL_REPAIR_V3,f_map2_2x_v2p5_s104729_q01_g31,f_map2_2x_v2p5_s104729_q01_hca,MISSING,MISSING,INCOMPLETE,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
