task_id,raw_bag_id,source_raw_bag_id,segment_id,segment_count,start,goal,raw_entry_seconds,release_seconds,release_tick,admission_time_seconds,completion_time_seconds,table53_scheduled_interval_seconds,diagnostic_first_admission_to_completion_seconds,status,moving_ticks,stopped_ticks,hold_count,last_hold_reason
0,0,0,0,2,3,47,8264.845453000,8264.845453000,41325,8267.000000000,8330.000000000,65.154547000,63.000000000,COMPLETED,210,49,49,
1,0,0,1,2,52,49,8264.845453000,19500.000000000,97500,19502.000000000,19657.400000000,157.400000000,155.400000000,COMPLETED,702,35,35,
2,1,1,0,2,4,47,8866.845453000,8866.845453000,44335,8869.000000000,8927.400000000,60.554547000,58.400000000,COMPLETED,202,42,42,
3,1,1,1,2,52,49,8866.845453000,19500.000000000,97500,19502.400000000,19659.200000000,159.200000000,156.800000000,COMPLETED,702,42,44,
4,2,2,0,2,5,47,8872.816299000,8872.816299000,44365,8875.000000000,8932.600000000,59.783701000,57.600000000,COMPLETED,198,42,42,
5,2,2,1,2,52,49,8872.816299000,19500.000000000,97500,19502.800000000,19661.000000000,161.000000000,158.200000000,COMPLETED,702,49,53,
6,3,3,0,2,3,47,8876.000872000,8876.000872000,44381,8878.200000000,8941.200000000,65.199128000,63.000000000,COMPLETED,210,49,49,
7,3,3,1,2,52,48,8876.000872000,19500.000000000,97500,19502.000000000,19706.200000000,206.200000000,204.200000000,COMPLETED,976,21,21,
8,4,4,0,2,3,47,9457.482986000,9457.482986000,47288,9459.600000000,9522.600000000,65.117014000,63.000000000,COMPLETED,210,49,49,
9,4,4,1,2,52,49,9457.482986000,19500.000000000,97500,19503.200000000,19662.800000000,162.800000000,159.600000000,COMPLETED,702,56,62,
10,5,5,0,2,4,47,9471.615484000,9471.615484000,47359,9473.800000000,9532.200000000,60.584516000,58.400000000,COMPLETED,202,42,42,
11,5,5,1,2,52,49,9471.615484000,20400.000000000,102000,20402.000000000,20557.400000000,157.400000000,155.400000000,COMPLETED,702,35,35,
12,6,6,0,2,5,47,10059.621620000,10059.621620000,50299,10061.800000000,10119.400000000,59.778380000,57.600000000,COMPLETED,198,42,42,
13,6,6,1,2,52,49,10059.621620000,19500.000000000,97500,19503.600000000,19664.600000000,164.600000000,161.000000000,COMPLETED,702,63,71,
14,7,7,0,2,3,47,10073.282130000,10073.282130000,50367,10075.400000000,10138.400000000,65.117870000,63.000000000,COMPLETED,210,49,49,
15,7,7,1,2,52,49,10073.282130000,19500.000000000,97500,19504.000000000,19666.400000000,166.400000000,162.400000000,COMPLETED,702,70,80,
16,8,8,0,2,0,47,10086.106480000,10086.106480000,50431,10088.200000000,10148.400000000,62.293520000,60.200000000,COMPLETED,192,53,53,
17,8,8,1,2,52,50,10086.106480000,20700.000000000,103500,20702.000000000,20898.400000000,198.400000000,196.400000000,COMPLETED,892,42,42,
18,9,9,0,2,4,47,10086.334140000,10086.334140000,50432,10088.400000000,10150.200000000,63.865860000,61.800000000,COMPLETED,202,59,59,
19,9,9,1,2,52,48,10086.334140000,20700.000000000,103500,20702.000000000,20906.200000000,206.200000000,204.200000000,COMPLETED,976,21,21,
20,10,10,0,2,5,47,10086.972940000,10086.972940000,50435,10089.000000000,10146.600000000,59.627060000,57.600000000,COMPLETED,198,42,42,
21,10,10,1,2,52,48,10086.972940000,19500.000000000,97500,19502.400000000,19708.000000000,208.000000000,205.600000000,COMPLETED,976,28,30,
22,11,11,0,2,1,47,10084.439820000,10084.439820000,50423,10086.600000000,10152.600000000,68.160180000,66.000000000,COMPLETED,210,56,56,
23,11,11,1,2,52,50,10084.439820000,20700.000000000,103500,20702.400000000,20900.200000000,200.200000000,197.800000000,COMPLETED,892,49,51,
24,12,12,0,2,0,47,10644.168600000,10644.168600000,53221,10646.200000000,10705.600000000,61.431400000,59.400000000,COMPLETED,192,49,49,
25,12,12,1,2,52,49,10644.168600000,21300.000000000,106500,21302.000000000,21457.400000000,157.400000000,155.400000000,COMPLETED,702,35,35,
26,13,13,0,2,4,47,10668.178850000,10668.178850000,53341,10670.200000000,10729.800000000,61.621150000,59.600000000,COMPLETED,202,48,48,
27,13,13,1,2,52,49,10668.178850000,21600.000000000,108000,21602.000000000,21757.400000000,157.400000000,155.400000000,COMPLETED,702,35,35,
28,14,14,0,2,5,47,10668.288280000,10668.288280000,53342,10670.400000000,10728.000000000,59.711720000,57.600000000,COMPLETED,198,42,42,
