task_id	tick	event	node	edge	position	detail
2	0	RELEASE	0	-1	-1	release_seconds=0.0
2	0	ENTER_EDGE	0	0	0	seed
2	0	MOVE	0	0	3	
2	1	NODE_SERVICE_START	1	0	3	arrival_tick=0;ready_tick=1;ZERO_MAP_THROUGH_TIME;basis=LEGACY_NODE_CONSTRAINT;upstream_edge=0
2	1	NODE_SERVICE_FINISH	1	0	3	
2	1	NODE_SERVICE_START	1	0	3	arrival_tick=0;ready_tick=11;clearance_ready_tick=3;INTERMEDIATE_FIXED_TRANSFER_DELAY;reconstructed_transfer_seconds=2.0;basis=HISTORICAL_OD_LOWER_ENVELOPE;upstream_edge=0
2	1	HOLD	1	-1	3	reason=BOUNDARY_BODY_CLEARANCE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=2
2	2	HOLD	1	-1	3	reason=BOUNDARY_BODY_CLEARANCE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=3
2	3	BOUNDARY_CLEARANCE_FINISH	1	-1	-1	transfer_ready_tick_unchanged=11
2	10	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	11	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=12
2	11	NODE_SERVICE_FINISH	1	-1	-1	
2	11	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	12	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=13
2	12	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	13	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=14
2	13	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	14	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=15
2	14	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	15	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=16
2	15	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	16	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=17
2	16	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	17	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=18
2	17	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	18	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=19
2	18	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	19	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=20
2	19	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	20	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=21
2	20	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	21	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=22
2	21	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	22	HOLD	1	1	-1	reason=ENTRY_STOPPED_OCCUPANT;entry_occupant=4;entry_occupant_state=STOPPED_ON_EDGE;retry_tick=23
2	22	SELECT	1	1	-1	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	23	ENTER_EDGE	1	1	0	free_flow_seconds=1.0;moving=0;stopped=1;eta_seconds=1.8;equal_score_candidates=1;nodes=1>2>3
2	24	NODE_SERVICE_START	2	1	0	arrival_tick=23;ready_tick=44;MAP_JUNCTION_THROUGH_EXCLUSIVE;map_through_seconds=4.0;basis=LEGACY_NODE_CONSTRAINT;upstream_edge=1
2	24	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=25
2	25	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=26
2	26	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=27
2	27	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=28
2	28	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=29
2	29	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=30
2	30	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=31
2	31	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=32
2	32	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=33
2	33	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=34
2	34	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=35
2	35	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=36
2	36	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=37
2	37	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=38
2	38	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=39
2	39	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=40
2	40	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=41
2	41	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=42
2	42	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=43
2	43	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=44
2	44	NODE_SERVICE_FINISH	2	1	0	
2	44	NODE_SERVICE_START	2	1	0	arrival_tick=23;ready_tick=54;clearance_ready_tick=46;INTERMEDIATE_FIXED_TRANSFER_DELAY;reconstructed_transfer_seconds=2.0;basis=HISTORICAL_OD_LOWER_ENVELOPE;upstream_edge=1
2	44	HOLD	2	-1	0	reason=BOUNDARY_BODY_CLEARANCE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=45
2	45	HOLD	2	-1	0	reason=BOUNDARY_BODY_CLEARANCE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=46
2	46	BOUNDARY_CLEARANCE_FINISH	2	-1	-1	transfer_ready_tick_unchanged=54
2	53	SELECT	2	2	-1	free_flow_seconds=0.8;moving=0;stopped=0;eta_seconds=0.8;equal_score_candidates=1;nodes=2>3
2	54	NODE_SERVICE_FINISH	2	-1	-1	
2	54	ENTER_EDGE	2	2	0	free_flow_seconds=0.8;moving=0;stopped=0;eta_seconds=0.8;equal_score_candidates=1;nodes=2>3
2	55	MOVE	2	2	1	
2	56	MOVE	2	2	2	
2	57	MOVE	2	2	3	
2	58	COMPLETE	3	-1	-1	
4	0	RELEASE	1	-1	-1	release_seconds=0.0
4	0	ENTER_EDGE	1	1	0	seed
4	1	NODE_SERVICE_START	2	1	0	arrival_tick=0;ready_tick=21;MAP_JUNCTION_THROUGH_EXCLUSIVE;map_through_seconds=4.0;basis=LEGACY_NODE_CONSTRAINT;upstream_edge=1
4	1	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=2
4	2	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=3
4	3	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=4
4	4	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=5
4	5	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=6
4	6	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=7
4	7	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=8
4	8	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=9
4	9	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=10
4	10	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=11
4	11	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=12
4	12	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=13
4	13	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=14
4	14	HOLD	2	-1	0	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=15
