bin,begin_seconds,end_seconds,v5_mean_admitted_active_segments,control_mean_admitted_active_segments,v5_mean_source_pending_segments,control_mean_source_pending_segments,v5_excess_active,v5_to_control_active_ratio
27,8100,8400,0.210000000,0.210000000,0.006666667,0.006666667,0.000000000,1.000000000
28,8400,8700,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
29,8700,9000,0.596666667,0.596666667,0.020000000,0.020000000,0.000000000,1.000000000
30,9000,9300,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
31,9300,9600,0.404666667,0.404666667,0.013333333,0.013333333,0.000000000,1.000000000
32,9600,9900,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
33,9900,10200,1.220666667,1.216666667,0.040000000,0.040000000,0.004000000,1.003287671
34,10200,10500,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
35,10500,10800,2.117333333,2.112000000,0.066666667,0.066666667,0.005333333,1.002525253
36,10800,11100,0.194666667,0.194666667,0.006666667,0.006666667,0.000000000,1.000000000
37,11100,11400,3.755333333,3.721333333,0.120000000,0.120000000,0.034000000,1.009136510
38,11400,11700,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
39,11700,12000,3.144000000,3.133333333,0.100000000,0.100000000,0.010666667,1.003404255
40,12000,12300,0.194666667,0.194666667,0.006666667,0.006666667,0.000000000,1.000000000
41,12300,12600,4.220000000,4.184666667,0.133333333,0.133333333,0.035333333,1.008443524
42,12600,12900,0.210000000,0.210000000,0.006666667,0.006666667,0.000000000,1.000000000
43,12900,13200,5.737333333,5.651333333,0.180000000,0.180000000,0.086000000,1.015217648
44,13200,13500,1.918000000,1.918000000,0.073333333,0.073333333,0.000000000,1.000000000
45,13500,13800,6.956666667,6.712666667,0.206666667,0.206666667,0.244000000,1.036349191
46,13800,14100,0.884666667,0.884666667,0.033333333,0.033333333,0.000000000,1.000000000
47,14100,14400,8.646666667,8.299333333,0.260000000,0.260000000,0.347333333,1.041850751
48,14400,14700,1.786000000,1.784666667,0.066666667,0.066666667,0.001333333,1.000747105
49,14700,15000,8.850666667,8.391333333,0.266666667,0.266666667,0.459333333,1.054739016
50,15000,15300,3.030000000,3.030000000,0.106666667,0.106666667,0.000000000,1.000000000
51,15300,15600,15.469333333,14.404000000,0.460000000,0.460000000,1.065333333,1.073960937
52,15600,15900,7.056666667,6.897333333,0.260000000,0.260000000,0.159333333,1.023100715
53,15900,16200,18.342666667,17.368666667,0.546666667,0.546666667,0.974000000,1.056077995
54,16200,16500,8.115333333,7.988666667,0.240000000,0.240000000,0.126666667,1.015855796
55,16500,16800,25.821333333,23.715333333,0.753333333,0.753333333,2.106000000,1.088803306
56,16800,17100,13.477333333,9.200000000,0.206666667,0.206666667,4.277333333,1.464927536
57,17100,17400,28.034000000,25.862666667,0.846666667,0.846666667,2.171333333,1.083956282
58,17400,17700,30.978666667,21.619333333,0.480000000,0.480000000,9.359333333,1.432914984
59,17700,18000,38.811333333,36.316666667,1.066666667,1.066666667,2.494666667,1.068692061
60,18000,18300,75.826000000,51.701333333,0.786666667,0.786666667,24.124666667,1.466615948
61,18300,18600,43.334666667,38.766666667,1.103333333,1.103333333,4.568000000,1.117833190
62,18600,18900,104.736666667,74.376000000,1.056666667,1.056666667,30.360666667,1.408205156
63,18900,19200,70.327333333,48.247333333,1.266666667,1.266666667,22.080000000,1.457641873
64,19200,19500,109.692000000,76.174000000,1.196666667,1.196666667,33.518000000,1.440018904
65,19500,19800,157.782000000,133.365333333,2.393333333,2.393333333,24.416666667,1.183081061
66,19800,20100,143.291333333,112.107333333,1.350000000,1.350000000,31.184000000,1.278162000
67,20100,20400,118.200666667,89.014000000,1.576666667,1.576666667,29.186666667,1.327888497
68,20400,20700,177.368000000,159.532666667,1.954000000,1.893333333,17.835333333,1.111797375
69,20700,21000,213.852666667,178.509333333,2.443333333,2.443333333,35.343333333,1.197991515
70,21000,21300,199.328000000,153.426000000,1.753333333,1.753333333,45.902000000,1.299180061
71,21300,21600,260.925333333,177.492666667,2.738000000,2.663333333,83.432666667,1.470062613
72,21600,21900,284.606000000,178.368000000,1.916666667,1.916666667,106.238000000,1.595611320
73,21900,22200,331.488000000,195.058000000,2.926666667,2.926666667,136.430000000,1.699432989
74,22200,22500,385.950666667,233.172666667,2.623333333,2.623333333,152.778000000,1.655214019
75,22500,22800,403.180000000,212.320000000,2.850000000,2.850000000,190.860000000,1.898926149
76,22800,23100,438.168666667,241.195333333,2.730000000,2.730000000,196.973333333,1.816654827
77,23100,23400,460.988000000,237.033333333,2.970000000,2.970000000,223.954666667,1.944823513
78,23400,23700,449.458666667,188.480666667,1.860000000,1.860000000,260.978000000,2.384640688
79,23700,24000,459.136666667,185.474000000,2.613333333,2.613333333,273.662666667,2.475477246
80,24000,24300,513.509333333,235.266666667,2.703333333,2.703333333,278.242666667,2.182669311
81,24300,24600,477.157333333,206.081333333,2.530000000,2.530000000,271.076000000,2.315383570
82,24600,24900,500.936000000,251.646666667,2.606666667,2.606666667,249.289333333,1.990632368
83,24900,25200,483.723333333,217.628000000,2.530000000,2.530000000,266.095333333,2.222707250
84,25200,25500,442.004666667,218.152666667,2.503333333,2.503333333,223.852000000,2.026125435
85,25500,25800,381.827333333,210.520666667,2.460000000,2.460000000,171.306666667,1.813728502
86,25800,26100,361.199333333,223.781333333,2.406666667,2.406666667,137.418000000,1.614072666
87,26100,26400,318.021333333,216.137333333,2.386666667,2.386666667,101.884000000,1.471385477
88,26400,26700,236.558666667,209.689333333,2.133333333,2.133333333,26.869333333,1.128138770
89,26700,27000,205.474000000,200.653333333,2.316666667,2.316666667,4.820666667,1.024024852
90,27000,27300,197.315333333,193.938000000,2.046666667,2.046666667,3.377333333,1.017414500
91,27300,27600,191.228000000,189.360000000,2.240000000,2.240000000,1.868000000,1.009864808
92,27600,27900,177.956666667,175.620666667,1.713333333,1.713333333,2.336000000,1.013301396
93,27900,28200,179.205333333,176.544000000,2.333333333,2.333333333,2.661333333,1.015074618
94,28200,28500,181.919333333,177.110000000,2.008666667,1.773333333,4.809333333,1.027154499
95,28500,28800,146.610666667,137.906000000,3.658666667,2.006666667,8.704666667,1.063120290
96,28800,29100,141.219333333,128.898000000,5.892666667,1.296666667,12.321333333,1.095589795
97,29100,29400,89.690000000,77.360000000,1.968000000,1.453333333,12.330000000,1.159384695
98,29400,29700,104.714666667,94.283333333,2.070666667,1.281333333,10.431333333,1.110638147
99,29700,30000,90.550000000,87.155333333,1.426666667,1.426666667,3.394666667,1.038949615
