start,goal,release_hour,count,v5_minus_historical_min,v5_minus_historical_mean,v5_minus_historical_median,v5_minus_historical_p95,v5_minus_historical_p99,v5_minus_historical_max,v5_minus_control_min,v5_minus_control_mean,v5_minus_control_median,v5_minus_control_p95,v5_minus_control_p99,v5_minus_control_max,v5_source_wait_min,v5_source_wait_mean,v5_source_wait_median,v5_source_wait_p95,v5_source_wait_p99,v5_source_wait_max,v5_above_historical_od_p95_count,v5_minus_historical_total_seconds,v5_minus_control_total_seconds,positive_v5_minus_historical_seconds
0,47,2,3,-20.800000000,-7.466666667,-0.800000000,-0.800000000,-0.800000000,-0.800000000,-0.000000000,0.133333333,-0.000000000,0.360000000,0.392000000,0.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-22.400000000,0.400000000,0.000000000
0,47,3,23,-49.300000000,-19.043478261,-20.000000000,-0.080000000,0.000000000,0.000000000,-0.000000000,1.486956522,0.400000000,5.860000000,7.092000000,7.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-438.000000000,34.200000000,0.000000000
0,47,4,79,-58.100000000,-7.865822785,-8.100000000,32.820000000,41.880000000,45.000000000,-0.600000000,16.015189873,12.200000000,42.240000000,47.932000000,48.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-621.400000000,1265.200000000,441.600000000
0,47,5,177,-57.300000000,37.212429379,30.200000000,134.500000000,161.976000000,208.500000000,0.000000000,65.534463277,59.800000000,156.800000000,178.224000000,185.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,94,6586.600000000,11599.600000000,7640.300000000
0,47,6,163,176.300000000,374.207975460,383.300000000,492.210000000,505.352000000,513.800000000,209.400000000,396.768098160,412.200000000,514.980000000,523.456000000,525.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,163,60995.900000000,64673.200000000,60995.900000000
0,47,7,81,-57.400000000,70.528395062,4.900000000,324.000000000,336.920000000,351.800000000,0.000000000,93.575308642,12.200000000,344.400000000,359.960000000,379.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,24,5712.800000000,7579.600000000,6486.900000000
0,47,8,81,-50.800000000,-4.111111111,-2.800000000,34.600000000,55.640000000,63.800000000,0.000000000,18.182716049,18.800000000,43.400000000,47.280000000,49.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-333.000000000,1472.800000000,589.100000000
0,47,9,89,-82.800000000,-10.653932584,-10.000000000,25.840000000,34.636000000,39.300000000,0.000000000,17.476404494,17.200000000,38.880000000,42.848000000,43.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-948.200000000,1555.400000000,399.800000000
0,47,10,70,-59.600000000,-9.962857143,-8.200000000,16.665000000,25.134000000,26.100000000,-1.800000000,17.102857143,18.700000000,35.000000000,45.000000000,45.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-697.400000000,1197.200000000,224.600000000
0,47,11,68,-53.100000000,-10.880882353,-9.950000000,21.040000000,26.315000000,30.000000000,-1.400000000,14.097058824,14.300000000,32.100000000,34.258000000,36.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-739.900000000,958.600000000,186.400000000
0,47,12,84,-62.900000000,-6.840476190,-5.300000000,30.595000000,44.865000000,48.600000000,-1.000000000,21.897619048,19.400000000,47.280000000,58.272000000,59.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-574.600000000,1839.400000000,583.100000000
0,47,13,84,-53.000000000,-9.748809524,-8.400000000,31.515000000,33.770000000,34.600000000,0.000000000,16.216666667,17.500000000,36.140000000,42.808000000,44.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-818.900000000,1362.200000000,382.800000000
0,47,14,88,-63.900000000,-7.411363636,-5.300000000,31.845000000,44.842000000,47.800000000,0.000000000,21.154545455,21.100000000,47.520000000,50.364000000,52.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-652.200000000,1861.600000000,607.100000000
0,47,15,70,-58.900000000,-9.804285714,-11.600000000,21.230000000,24.696000000,25.800000000,0.000000000,18.022857143,18.800000000,41.660000000,46.378000000,49.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-686.300000000,1261.600000000,254.400000000
0,47,16,103,-72.800000000,-8.951456311,-7.900000000,36.570000000,40.372000000,41.800000000,0.000000000,17.097087379,17.200000000,39.380000000,43.552000000,46.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-922.000000000,1761.000000000,571.600000000
0,47,17,66,-54.000000000,-6.886363636,-7.550000000,30.675000000,57.400000000,67.800000000,-0.600000000,15.642424242,14.500000000,37.500000000,43.340000000,46.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-454.500000000,1032.400000000,394.200000000
0,47,18,93,-75.400000000,-5.931182796,-1.900000000,35.540000000,55.816000000,62.900000000,-1.000000000,22.952688172,23.600000000,51.400000000,63.072000000,66.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-551.600000000,2134.600000000,775.000000000
0,47,19,22,-52.900000000,-15.786363636,-14.850000000,4.750000000,6.106000000,6.400000000,-0.600000000,2.490909091,0.800000000,8.360000000,9.032000000,9.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-347.300000000,54.800000000,11.400000000
0,47,20,43,-65.100000000,-17.039534884,-15.400000000,1.360000000,6.074000000,6.200000000,-0.000000000,4.362790698,1.200000000,17.720000000,18.600000000,18.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-732.700000000,187.600000000,16.100000000
0,47,21,29,-54.400000000,-17.724137931,-12.800000000,-0.800000000,-0.800000000,-0.800000000,-0.000000000,0.848275862,0.400000000,2.840000000,6.568000000,7.800000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-514.000000000,24.600000000,0.000000000
0,47,22,3,-4.200000000,-1.933333333,-0.800000000,-0.800000000,-0.800000000,-0.800000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,-0.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-5.800000000,-0.000000000,0.000000000
0,49,5,8,-103.500000000,-21.837500000,-19.500000000,16.010000000,22.562000000,24.200000000,-1.200000000,24.075000000,23.700000000,57.090000000,63.418000000,65.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-174.700000000,192.600000000,25.000000000
0,49,6,22,333.500000000,428.386363636,434.050000000,484.520000000,489.756000000,491.100000000,386.800000000,473.136363636,474.700000000,516.820000000,519.096000000,519.600000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,22,9424.500000000,10409.000000000,9424.500000000
0,49,7,50,-95.100000000,48.964000000,-19.350000000,299.690000000,341.262000000,344.300000000,-1.000000000,90.764000000,13.000000000,357.570000000,366.804000000,367.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,13,2448.200000000,4538.200000000,3576.700000000
0,49,8,15,-53.600000000,-13.406666667,-11.100000000,11.090000000,22.458000000,25.300000000,0.000000000,8.066666667,0.800000000,29.500000000,30.060000000,30.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-201.100000000,121.000000000,30.300000000
0,49,9,16,-92.200000000,-22.387500000,-17.300000000,13.500000000,23.580000000,26.100000000,0.000000000,16.950000000,17.000000000,40.450000000,43.450000000,44.200000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-358.200000000,271.200000000,35.400000000
0,49,10,20,-39.900000000,-8.895000000,-7.100000000,26.175000000,30.355000000,31.400000000,0.000000000,17.340000000,19.600000000,33.980000000,36.716000000,37.400000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,2.000000000,0,-177.900000000,346.800000000,88.100000000
