task_id	tick	event	node	edge	position	detail
1	0	RELEASE	0	-1	-1	release_seconds=0.0
1	0	ENTER_EDGE	0	0	0	seed
1	0	MOVE	0	0	3	
1	1	NODE_SERVICE_START	1	0	3	arrival_tick=0;ready_tick=6;MAP_JUNCTION_THROUGH_EXCLUSIVE;map_through_seconds=1.0;basis=LEGACY_NODE_CONSTRAINT;upstream_edge=0
1	1	HOLD	1	-1	3	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=2
1	2	HOLD	1	-1	3	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=3
1	3	HOLD	1	-1	3	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=4
1	4	HOLD	1	-1	3	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=5
1	5	HOLD	1	-1	3	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=6
1	6	NODE_SERVICE_FINISH	1	0	3	
1	6	NODE_SERVICE_START	1	0	3	arrival_tick=0;ready_tick=16;INTERMEDIATE_FIXED_TRANSFER_DELAY;reconstructed_transfer_seconds=2.0;basis=HISTORICAL_OD_LOWER_ENVELOPE;upstream_edge=0
1	6	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=7
1	7	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=8
1	8	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=9
1	9	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=10
1	10	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=11
1	11	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=12
1	12	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=13
1	13	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=14
1	14	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=15
1	15	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=16
1	15	SELECT	1	1	3	free_flow_seconds=8.0;moving=0;stopped=0;eta_seconds=8.0;equal_score_candidates=1;nodes=1>2
1	16	NODE_SERVICE_FINISH	1	0	3	
1	16	TRANSFER	1	1	0	free_flow_seconds=8.0;moving=0;stopped=0;eta_seconds=8.0;equal_score_candidates=1;nodes=1>2
1	17	MOVE	1	1	1	
1	18	MOVE	1	1	2	
1	19	MOVE	1	1	3	
1	20	MOVE	1	1	4	
1	21	MOVE	1	1	5	
1	22	MOVE	1	1	6	
1	23	MOVE	1	1	7	
1	24	MOVE	1	1	8	
1	25	MOVE	1	1	9	
1	26	MOVE	1	1	10	
1	27	MOVE	1	1	11	
1	28	MOVE	1	1	12	
1	29	MOVE	1	1	13	
1	30	MOVE	1	1	14	
1	31	MOVE	1	1	15	
1	32	MOVE	1	1	16	
1	33	MOVE	1	1	17	
1	34	MOVE	1	1	18	
1	35	MOVE	1	1	19	
1	36	MOVE	1	1	20	
1	37	MOVE	1	1	21	
1	38	MOVE	1	1	22	
1	39	MOVE	1	1	23	
1	40	MOVE	1	1	24	
1	41	MOVE	1	1	25	
1	42	MOVE	1	1	26	
1	43	MOVE	1	1	27	
1	44	MOVE	1	1	28	
1	45	MOVE	1	1	29	
1	46	MOVE	1	1	30	
1	47	MOVE	1	1	31	
1	48	MOVE	1	1	32	
1	49	MOVE	1	1	33	
1	50	MOVE	1	1	34	
1	51	MOVE	1	1	35	
1	52	MOVE	1	1	36	
1	53	MOVE	1	1	37	
1	54	MOVE	1	1	38	
1	55	MOVE	1	1	39	
1	56	COMPLETE	2	-1	-1	
2	0	RELEASE	0	-1	-1	release_seconds=0.0
2	0	ENTER_EDGE	0	0	0	seed
2	0	MOVE	0	0	1	
2	1	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=2
2	2	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=3
2	3	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=4
2	4	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=5
2	5	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=6
2	6	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=7
2	7	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=8
2	8	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=9
2	9	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=10
2	10	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=11
2	11	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=12
2	12	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=13
2	13	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=14
2	14	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=15
2	15	HOLD	0	-1	1	reason=FOLLOWING_FOOTPRINT_BLOCKED;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=16
2	16	MOVE	0	0	2	
2	17	MOVE	0	0	3	
2	18	NODE_SERVICE_START	1	0	3	arrival_tick=17;ready_tick=23;MAP_JUNCTION_THROUGH_EXCLUSIVE;map_through_seconds=1.0;basis=LEGACY_NODE_CONSTRAINT;upstream_edge=0
2	18	HOLD	1	-1	3	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=19
2	19	HOLD	1	-1	3	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=20
2	20	HOLD	1	-1	3	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=21
2	21	HOLD	1	-1	3	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=22
2	22	HOLD	1	-1	3	reason=MAP_JUNCTION_THROUGH_SERVICE;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=23
2	23	NODE_SERVICE_FINISH	1	0	3	
2	23	NODE_SERVICE_START	1	0	3	arrival_tick=17;ready_tick=33;INTERMEDIATE_FIXED_TRANSFER_DELAY;reconstructed_transfer_seconds=2.0;basis=HISTORICAL_OD_LOWER_ENVELOPE;upstream_edge=0
2	23	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=24
2	24	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=25
2	25	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=26
2	26	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=27
2	27	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=28
2	28	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=29
2	29	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=30
2	30	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=31
2	31	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=32
2	32	HOLD	1	-1	3	reason=RETAINED_BOUNDARY_TRANSFER;entry_occupant=-1;entry_occupant_state=NONE;retry_tick=33
2	32	SELECT	1	1	3	free_flow_seconds=8.0;moving=1;stopped=0;eta_seconds=8.4;equal_score_candidates=1;nodes=1>2
2	33	NODE_SERVICE_FINISH	1	0	3	
2	33	TRANSFER	1	1	0	free_flow_seconds=8.0;moving=1;stopped=0;eta_seconds=8.4;equal_score_candidates=1;nodes=1>2
2	34	MOVE	1	1	1	
2	35	MOVE	1	1	2	
2	36	MOVE	1	1	3	
2	37	MOVE	1	1	4	
2	38	MOVE	1	1	5	
2	39	MOVE	1	1	6	
2	40	MOVE	1	1	7	
2	41	MOVE	1	1	8	
2	42	MOVE	1	1	9	
2	43	MOVE	1	1	10	
2	44	MOVE	1	1	11	
2	45	MOVE	1	1	12	
2	46	MOVE	1	1	13	
2	47	MOVE	1	1	14	
2	48	MOVE	1	1	15	
2	49	MOVE	1	1	16	
2	50	MOVE	1	1	17	
2	51	MOVE	1	1	18	
2	52	MOVE	1	1	19	
2	53	MOVE	1	1	20	
2	54	MOVE	1	1	21	
2	55	MOVE	1	1	22	
2	56	MOVE	1	1	23	
2	57	MOVE	1	1	24	
2	58	MOVE	1	1	25	
2	59	MOVE	1	1	26	
2	60	MOVE	1	1	27	
2	61	MOVE	1	1	28	
2	62	MOVE	1	1	29	
2	63	MOVE	1	1	30	
2	64	MOVE	1	1	31	
2	65	MOVE	1	1	32	
2	66	MOVE	1	1	33	
2	67	MOVE	1	1	34	
2	68	MOVE	1	1	35	
2	69	MOVE	1	1	36	
2	70	MOVE	1	1	37	
2	71	MOVE	1	1	38	
2	72	MOVE	1	1	39	
2	73	COMPLETE	2	-1	-1	
