task_id,expected_segment_count,returned_segment_count,completed_segment_count,complete,original_entry_time_tth_seconds,java_release_time_tth_seconds,scheduled_pre_release_wait_seconds,source_wait_seconds,network_time_seconds,total_system_time_seconds,observed_original_entry_seconds,observed_java_release_seconds,observed_source_wait_seconds,observed_network_time_seconds
0,2,2,2,True,11426.558546999999,194.40399999999863,11232.154547,0.0,194.40399999999863,11426.558546999999,11426.558546999999,194.40399999999863,0.0,194.40399999999863
1,2,2,2,True,10824.958546999998,192.80399999999827,10632.154547,0.25,192.55399999999827,10824.958546999998,10824.958546999998,192.80399999999827,0.25,192.55399999999827
2,2,2,2,True,10817.187700999997,193.00399999999718,10624.183701,0.5,192.50399999999718,10817.187700999997,10817.187700999997,193.00399999999718,0.5,192.50399999999718
3,2,2,2,True,10869.453127999997,249.4539999999979,10619.999128,0.75,248.7039999999979,10869.453127999997,10869.453127999997,249.4539999999979,0.75,248.7039999999979
4,2,2,2,True,10234.921013999998,197.40399999999863,10037.517014,1.0,196.40399999999863,10234.921013999998,10234.921013999998,197.40399999999863,1.0,196.40399999999863
5,2,2,2,True,11121.188515999998,191.80399999999827,10929.384516,0.0,191.80399999999827,11121.188515999998,11121.188515999998,191.80399999999827,0.0,191.80399999999827
6,2,2,2,True,9632.382379999997,195.00399999999718,9437.37838,1.25,193.75399999999718,9632.382379999997,9632.382379999997,195.00399999999718,1.25,193.75399999999718
7,2,2,2,True,9626.121869999999,199.40399999999863,9426.71787,1.5,197.90399999999863,9626.121869999999,9626.121869999999,199.40399999999863,1.5,197.90399999999863
8,2,2,2,True,10845.69752,229.8040000000001,10615.89352,0.0,229.8040000000001,10845.69752,10845.69752,229.8040000000001,0.0,229.8040000000001
9,2,2,2,True,10859.519859999997,244.85399999999754,10614.66586,0.25,244.60399999999754,10859.519859999997,10859.519859999997,244.85399999999754,0.25,244.60399999999754
10,2,2,2,True,9661.081059999997,249.05399999999645,9412.02706,1.75,247.30399999999645,9661.081059999997,9661.081059999997,249.05399999999645,1.75,247.30399999999645
11,2,2,2,True,10845.96418,235.40400000000045,10610.56018,0.5,234.90400000000045,10845.96418,10845.96418,235.40400000000045,0.5,234.90400000000045
12,2,2,2,True,10845.6354,190.8040000000001,10654.8314,0.0,190.8040000000001,10845.6354,10845.6354,190.8040000000001,0.0,190.8040000000001
13,2,2,2,True,11126.625149999998,191.80399999999827,10934.82115,0.0,191.80399999999827,11126.625149999998,11126.625149999998,191.80399999999827,0.0,191.80399999999827
14,2,2,2,True,9023.715719999997,197.00399999999718,8826.71172,2.0,195.00399999999718,9023.715719999997,9023.715719999997,197.00399999999718,2.0,195.00399999999718
15,2,2,2,True,10819.558599999998,195.40399999999863,10624.1546,0.25,195.15399999999863,10819.558599999998,10819.558599999998,195.40399999999863,0.25,195.15399999999863
16,2,2,2,True,9020.344469999998,201.40399999999863,8818.94047,2.25,199.15399999999863,9020.344469999998,9020.344469999998,201.40399999999863,2.25,199.15399999999863
