map,method,load_factor,fixed_horizon_seconds,raw_bag_denominator,segment_count,raw_sha256,canonical_sha256,execution_canonical_sha256,release_protocol,completed_raw_bag_count,completion_rate,on_time_raw_bag_count,on_time_rate,capacity_deficit_raw_bags,source_backlog_end,source_backlog_peak,source_backlog_auc_bag_seconds,network_backlog_auc_bag_seconds,total_backlog_end,total_backlog_peak,total_backlog_auc_bag_seconds,time_to_95_percent_seconds,time_to_99_percent_seconds,time_to_95_status,time_to_99_status,full_population_timing_status,population_latency_mean_seconds,population_latency_p95_seconds,population_latency_p99_seconds,population_latency_max_seconds,first_incomplete_load_factor,completion_rate_curve_auc,capacity_deficit_rate_curve_area,capacity_deficit_raw_bag_curve_area,workload_identity_status,native_contract
map2,FENG_NATIVE_HCA,1.00,98259.0,28506,43603,0f39d359b47a3f243ab077e4a294cbab56ec306a0f89bcc0ccc1d946caceef87,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,SHARED_UNJITTERED_RAW_NATIVE_RELEASE,28506,1.0,28506,1.0,0,0,2193,66900502.66833332,5894683.0,0,2390,72791092.21305355,67287.154547,71130.154547,REACHED,REACHED,FULL_POPULATION_PROCESSED_ATTEMPT_TIMING,236.710166280783,299.0,330.0,357.0,1.75,0.9996510494098803,0.0003489505901197454,18.875,EXACT_SHARED_UNJITTERED_RAW_AND_BASE_CANONICAL_FORMAL_G31_HCA_RELEASE_ALIGNED,"{""fixed_horizon_native_contract"":""DECLARED_LAST_EPOCH"",""native_run_id"":""run_01"",""native_schema"":""g4irsf24.fresh_hca.campaign.v1"",""timing_denominator"":""processed_attempt""}"
map2,FENG_NATIVE_HCA,1.25,98259.0,35659,54559,d6813dc1ecdc93a70b663777dbbd1a4f91bdaa7c06a8f3a804e56256ebbe838e,c3e191467446beb6127225b63b70170755ed324c37fce90782090902f53c823b,c3e191467446beb6127225b63b70170755ed324c37fce90782090902f53c823b,SHARED_UNJITTERED_RAW_NATIVE_RELEASE,35659,1.0,34997,0.9814352617852435,0,0,3100,90257592.34609976,7447756.0,0,3344,97701186.28077993,66965.154547,71235.154547,REACHED,REACHED,FULL_POPULATION_PROCESSED_ATTEMPT_TIMING,239.28469671050786,299.0,331.0,359.0,1.75,0.9996510494098803,0.0003489505901197454,18.875,EXACT_SHARED_UNJITTERED_RAW_AND_BASE_CANONICAL_FORMAL_G31_HCA_RELEASE_ALIGNED,"{""fixed_horizon_native_contract"":""DECLARED_LAST_EPOCH"",""native_run_id"":""run_01"",""native_schema"":""g4irsf24.fresh_hca.campaign.v1"",""timing_denominator"":""processed_attempt""}"
map2,FENG_NATIVE_HCA,1.50,98259.0,42932,65679,e0c4f08314279aac700543934664555b7153e43c9f7442e5e7fc4a2da442c8b1,a6d2fad8e261a8269a3951b13f59f4874f15b82c6256b18a08eb9bdbbf2ecc1b,a6d2fad8e261a8269a3951b13f59f4874f15b82c6256b18a08eb9bdbbf2ecc1b,SHARED_UNJITTERED_RAW_NATIVE_RELEASE,42932,1.0,38996,0.9083201341656573,0,0,3947,117692609.8548786,9071184.0,0,4180,126759610.02781846,67583.154547,71626.154547,REACHED,REACHED,FULL_POPULATION_PROCESSED_ATTEMPT_TIMING,242.13689089723283,302.0,332.0,359.0,1.75,0.9996510494098803,0.0003489505901197454,18.875,EXACT_SHARED_UNJITTERED_RAW_AND_BASE_CANONICAL_FORMAL_G31_HCA_RELEASE_ALIGNED,"{""fixed_horizon_native_contract"":""DECLARED_LAST_EPOCH"",""native_run_id"":""run_01"",""native_schema"":""g4irsf24.fresh_hca.campaign.v1"",""timing_denominator"":""processed_attempt""}"
map2,FENG_NATIVE_HCA,1.75,98259.0,49765,76108,562e54d693879b23b5b9096ba423f53d5758287c5250f2bb92874f652e90632d,1863d9420a218e2de37b1140a92c0cefd3b915fcfb972a5842ca594d329f5725,1863d9420a218e2de37b1140a92c0cefd3b915fcfb972a5842ca594d329f5725,SHARED_UNJITTERED_RAW_NATIVE_RELEASE,49737,0.9994373555711845,40466,0.8131417663016176,28,0,5570,167513834.2700974,12493949.0,28,5793,180003927.59575698,67987.154547,71921.154547,REACHED,REACHED,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,,,,,1.75,0.9996510494098803,0.0003489505901197454,18.875,EXACT_SHARED_UNJITTERED_RAW_AND_BASE_CANONICAL_FORMAL_G31_HCA_RELEASE_ALIGNED,"{""fixed_horizon_native_contract"":""DECLARED_LAST_EPOCH"",""native_run_id"":""run_01"",""native_schema"":""g4irsf24.fresh_hca.campaign.v1"",""timing_denominator"":""processed_attempt""}"
map2,FENG_NATIVE_HCA,2.00,98259.0,57012,87206,c7dcc9310bab52c543d9421f43da4dbdaca6c6da8c6569d390f6fbadf8692ccc,430534934c72ba441f5ca61b542a3f5ee5af5e12b5a6a417437cca9c7fac7890,430534934c72ba441f5ca61b542a3f5ee5af5e12b5a6a417437cca9c7fac7890,SHARED_UNJITTERED_RAW_NATIVE_RELEASE,56917,0.998333684136673,30034,0.5268013751490914,95,0,7403,283212498.33621675,17595470.0,95,7646,300804701.4261052,69639.154547,72788.154547,REACHED,REACHED,FORMAL_2X_TIMING_NA_BY_PROTOCOL,,,,,1.75,0.9996510494098803,0.0003489505901197454,18.875,EXACT_SHARED_UNJITTERED_RAW_AND_BASE_CANONICAL_FORMAL_G31_HCA_RELEASE_ALIGNED,"{""fixed_horizon_native_contract"":""DECLARED_LAST_EPOCH"",""native_run_id"":""run_01"",""native_schema"":""g4irsf24.fresh_hca.campaign.v1"",""timing_denominator"":""processed_attempt""}"
map2,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,1.00,98259.0,28506,43603,0f39d359b47a3f243ab077e4a294cbab56ec306a0f89bcc0ccc1d946caceef87,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,SHARED_UNJITTERED_RAW_NATIVE_RELEASE,28506,1.0,28506,1.0,0,0,2195,64955298.81305314,5849708.800000187,0,2365,70805007.61305328,67313.354547,71140.55454699999,REACHED,REACHED,FULL_POPULATION_PROCESSED_ATTEMPT_TIMING,241.578909703,294.4,321.2,373.4,,1.0,0.0,0.0,EXACT_SHARED_UNJITTERED_RAW_AND_BASE_CANONICAL_FORMAL_G31_HCA_RELEASE_ALIGNED,"{""compiled_java_class_sha256"":""d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286"",""declared_horizon_seconds"":98259.0,""fixed_horizon_native_contract"":""DECLARED_FIXED_HORIZON"",""legacy_java_source_sha256"":""b0c7545abad1705eba9255527d39a864007bd576c9edbc9cb872a51e6acc9c25"",""native_schema"":""czr005.feng_paper_env_cie_dh.run.v1"",""native_terminal_status"":""COMPLETE"",""reconstruction_java_source_sha256"":""99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8"",""reproduction_level"":""SEMANTICALLY_PARTIAL_RECONSTRUCTION"",""simulation_end_seconds"":82150.2,""timing_denominator"":""diagnostic_first_admission_to_completion""}"
map2,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,1.25,98259.0,35659,54559,d6813dc1ecdc93a70b663777dbbd1a4f91bdaa7c06a8f3a804e56256ebbe838e,c3e191467446beb6127225b63b70170755ed324c37fce90782090902f53c823b,c3e191467446beb6127225b63b70170755ed324c37fce90782090902f53c823b,SHARED_UNJITTERED_RAW_NATIVE_RELEASE,35659,1.0,35659,1.0,0,0,2793,81460390.6807789,7758925.400000236,0,3047,89219316.08077939,66961.55454699999,71261.754547,REACHED,REACHED,FULL_POPULATION_PROCESSED_ATTEMPT_TIMING,269.630690709,482.2,674.136,831.4,,1.0,0.0,0.0,EXACT_SHARED_UNJITTERED_RAW_AND_BASE_CANONICAL_FORMAL_G31_HCA_RELEASE_ALIGNED,"{""compiled_java_class_sha256"":""d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286"",""declared_horizon_seconds"":98259.0,""fixed_horizon_native_contract"":""DECLARED_FIXED_HORIZON"",""legacy_java_source_sha256"":""b0c7545abad1705eba9255527d39a864007bd576c9edbc9cb872a51e6acc9c25"",""native_schema"":""czr005.feng_paper_env_cie_dh.run.v1"",""native_terminal_status"":""COMPLETE"",""reconstruction_java_source_sha256"":""99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8"",""reproduction_level"":""SEMANTICALLY_PARTIAL_RECONSTRUCTION"",""simulation_end_seconds"":82150.2,""timing_denominator"":""diagnostic_first_admission_to_completion""}"
map2,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,1.50,98259.0,42932,65679,e0c4f08314279aac700543934664555b7153e43c9f7442e5e7fc4a2da442c8b1,a6d2fad8e261a8269a3951b13f59f4874f15b82c6256b18a08eb9bdbbf2ecc1b,a6d2fad8e261a8269a3951b13f59f4874f15b82c6256b18a08eb9bdbbf2ecc1b,SHARED_UNJITTERED_RAW_NATIVE_RELEASE,42932,1.0,42932,1.0,0,0,3212,98174250.82781716,10844880.000000346,0,3668,109019130.82781655,67600.354547,71602.754547,REACHED,REACHED,FULL_POPULATION_PROCESSED_ATTEMPT_TIMING,370.961772105,1360.14,1632.876,1845.0,,1.0,0.0,0.0,EXACT_SHARED_UNJITTERED_RAW_AND_BASE_CANONICAL_FORMAL_G31_HCA_RELEASE_ALIGNED,"{""compiled_java_class_sha256"":""d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286"",""declared_horizon_seconds"":98259.0,""fixed_horizon_native_contract"":""DECLARED_FIXED_HORIZON"",""legacy_java_source_sha256"":""b0c7545abad1705eba9255527d39a864007bd576c9edbc9cb872a51e6acc9c25"",""native_schema"":""czr005.feng_paper_env_cie_dh.run.v1"",""native_terminal_status"":""COMPLETE"",""reconstruction_java_source_sha256"":""99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8"",""reproduction_level"":""SEMANTICALLY_PARTIAL_RECONSTRUCTION"",""simulation_end_seconds"":82726.0,""timing_denominator"":""diagnostic_first_admission_to_completion""}"
map2,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,1.75,98259.0,49765,76108,562e54d693879b23b5b9096ba423f53d5758287c5250f2bb92874f652e90632d,1863d9420a218e2de37b1140a92c0cefd3b915fcfb972a5842ca594d329f5725,1863d9420a218e2de37b1140a92c0cefd3b915fcfb972a5842ca594d329f5725,SHARED_UNJITTERED_RAW_NATIVE_RELEASE,49765,1.0,49706,0.9988144278107104,0,0,3671,114718858.99575633,15556396.79999968,0,4334,130275255.79575525,67896.55454699999,71728.754547,REACHED,REACHED,FULL_POPULATION_PROCESSED_ATTEMPT_TIMING,549.823249272,2457.16,2988.344,3245.4,,1.0,0.0,0.0,EXACT_SHARED_UNJITTERED_RAW_AND_BASE_CANONICAL_FORMAL_G31_HCA_RELEASE_ALIGNED,"{""compiled_java_class_sha256"":""d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286"",""declared_horizon_seconds"":98259.0,""fixed_horizon_native_contract"":""DECLARED_FIXED_HORIZON"",""legacy_java_source_sha256"":""b0c7545abad1705eba9255527d39a864007bd576c9edbc9cb872a51e6acc9c25"",""native_schema"":""czr005.feng_paper_env_cie_dh.run.v1"",""native_terminal_status"":""COMPLETE"",""reconstruction_java_source_sha256"":""99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8"",""reproduction_level"":""SEMANTICALLY_PARTIAL_RECONSTRUCTION"",""simulation_end_seconds"":83050.2,""timing_denominator"":""diagnostic_first_admission_to_completion""}"
map2,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,2.00,98259.0,57012,87206,c7dcc9310bab52c543d9421f43da4dbdaca6c6da8c6569d390f6fbadf8692ccc,430534934c72ba441f5ca61b542a3f5ee5af5e12b5a6a417437cca9c7fac7890,430534934c72ba441f5ca61b542a3f5ee5af5e12b5a6a417437cca9c7fac7890,SHARED_UNJITTERED_RAW_NATIVE_RELEASE,57012,1.0,56379,0.9888970743001473,0,0,4135,132445291.42610662,23853312.599997777,0,5018,156298604.0261061,67675.754547,71609.754547,REACHED,REACHED,FORMAL_2X_TIMING_NA_BY_PROTOCOL,,,,,,1.0,0.0,0.0,EXACT_SHARED_UNJITTERED_RAW_AND_BASE_CANONICAL_FORMAL_G31_HCA_RELEASE_ALIGNED,"{""compiled_java_class_sha256"":""d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286"",""declared_horizon_seconds"":98259.0,""fixed_horizon_native_contract"":""DECLARED_FIXED_HORIZON"",""legacy_java_source_sha256"":""b0c7545abad1705eba9255527d39a864007bd576c9edbc9cb872a51e6acc9c25"",""native_schema"":""czr005.feng_paper_env_cie_dh.run.v1"",""native_terminal_status"":""COMPLETE"",""reconstruction_java_source_sha256"":""99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8"",""reproduction_level"":""SEMANTICALLY_PARTIAL_RECONSTRUCTION"",""simulation_end_seconds"":83050.2,""timing_denominator"":""NOT_FORMALLY_REPORTED""}"
