case_key,study,map,scenario,arm,status,integrity_pass,git_commit,runner_sha256,binary_sha256,loaded_cpp_binary_sha256,workload_sha256,canonical_release_schedule_sha256,reference_request_sha256,raw_bag_denominator,runtime_requested_segment_count,source_rejected_unreachable_segment_count,graph_treatment_raw_bags_with_source_rejected_segment_count,native_admission_cohort_identical_within_pair,admission_cohort_boundary,pure_potential_effect_identified,completed_raw_bag_count,completion_rate,on_time_raw_bag_count,on_time_rate,missed_bag_count,missed_bag_rate,fixed_horizon_tardiness_sum_seconds,raw_bag_peak_backlog,raw_bag_end_backlog,raw_bag_backlog_area_seconds,raw_bag_backlog_area_legacy_seconds,raw_bag_backlog_area_status,raw_bag_backlog_area_method,timing_status,population_latency_mean_seconds,population_latency_p95_seconds,population_latency_p99_seconds,population_latency_max_seconds,strict_filtered_candidate_count_pre_feasibility,strict_filtered_decision_count_pre_feasibility,strict_empty_ranking_count_pre_feasibility,dlp_committed_ranking_mutation_count,fault_target_edge_candidate_exposure_count,fault_target_edge_attempt_count,physical_fault_interlock_rejection_count,physical_fault_interlock_hold_count,physical_fault_interlock_reroute_count,loop_count,bags_with_loop_count,max_bag_decision_count,unresolved_deadlock_count,wall_seconds,cpu_seconds,event_count,decision_count
potential:map2:1x:pair_2_4:EDGE_FILTER_ONLY,potential,map2,pair_2_4,EDGE_FILTER_ONLY,COMPLETE,True,f8db3b553b9263e546ea15a557a107f4cc67cf80,edfcbd860c911c582045bb764c4a95faaa1ec0f158f2e5626d1469657c1cf32c,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,7f4c511eb1ff2b70f57edad970d0a9411d873da0408f68f704f27466e310888b,5813af18347fb3390fb84f28e8107c033af9dbc0ab6ef1b759adf1c688e04426,28506,37210,6393,6393,True,IDENTICAL_NATIVE_ADMISSION_COHORT_PURE_POTENTIAL_COMPARISON,True,5453,0.19129306110994176,5453,0.19129306110994176,23053,0.8087069388900583,1151541327.0,23054,23053,1287277282.705624,903478326.4093245,EXACT_LEGACY_TAIL_CORRECTED_V1,LEGACY_PLUS_EXACT_FIXED_HORIZON_TAIL_V1,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,,,,,127416,127416,0,0,716544,716544,716544,716544,0,0,0,13,2,277.4378976000007,272.078125,3986701,220647
potential:map2:1x:pair_2_4:SURVIVING_GRAPH_SERVICE_AWARE_POTENTIAL,potential,map2,pair_2_4,SURVIVING_GRAPH_SERVICE_AWARE_POTENTIAL,COMPLETE,True,f8db3b553b9263e546ea15a557a107f4cc67cf80,edfcbd860c911c582045bb764c4a95faaa1ec0f158f2e5626d1469657c1cf32c,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,7f4c511eb1ff2b70f57edad970d0a9411d873da0408f68f704f27466e310888b,5813af18347fb3390fb84f28e8107c033af9dbc0ab6ef1b759adf1c688e04426,28506,37210,6393,6393,True,IDENTICAL_NATIVE_ADMISSION_COHORT_PURE_POTENTIAL_COMPARISON,True,22113,0.7757314249631656,22113,0.7757314249631656,6393,0.2242685750368344,330114387.0,7135,6393,419703509.7383534,316529446.3313535,EXACT_LEGACY_TAIL_CORRECTED_V1,LEGACY_PLUS_EXACT_FIXED_HORIZON_TAIL_V1,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,,,,,208129,208129,0,21984,0,0,0,0,0,0,0,16,0,25.674405900062993,25.296875,3954623,338800
potential:map2:1x:single_4:EDGE_FILTER_ONLY,potential,map2,single_4,EDGE_FILTER_ONLY,COMPLETE,True,f8db3b553b9263e546ea15a557a107f4cc67cf80,edfcbd860c911c582045bb764c4a95faaa1ec0f158f2e5626d1469657c1cf32c,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,7f4c511eb1ff2b70f57edad970d0a9411d873da0408f68f704f27466e310888b,880bd9a201f4852ae12f15cab65d28bb4661f8f282b3d91b77bc8c98ccd521ba,28506,43603,0,0,True,IDENTICAL_NATIVE_ADMISSION_COHORT_PURE_POTENTIAL_COMPARISON,True,10248,0.35950326247105874,10248,0.35950326247105874,18258,0.6404967375289412,897020322.0,18277,18258,1015984862.649766,713791716.9293268,EXACT_LEGACY_TAIL_CORRECTED_V1,LEGACY_PLUS_EXACT_FIXED_HORIZON_TAIL_V1,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,,,,,154526,154526,0,0,365507,365507,365507,365507,0,0,0,13,1,290.1485328001436,284.46875,4026611,280194
potential:map2:1x:single_4:SURVIVING_GRAPH_SERVICE_AWARE_POTENTIAL,potential,map2,single_4,SURVIVING_GRAPH_SERVICE_AWARE_POTENTIAL,COMPLETE,True,f8db3b553b9263e546ea15a557a107f4cc67cf80,edfcbd860c911c582045bb764c4a95faaa1ec0f158f2e5626d1469657c1cf32c,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,7f4c511eb1ff2b70f57edad970d0a9411d873da0408f68f704f27466e310888b,880bd9a201f4852ae12f15cab65d28bb4661f8f282b3d91b77bc8c98ccd521ba,28506,43603,0,0,True,IDENTICAL_NATIVE_ADMISSION_COHORT_PURE_POTENTIAL_COMPARISON,True,28506,1.0,28506,1.0,0,0.0,0.0,2355,0,70452656.81903255,70452656.81903255,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,FULL_POPULATION_RAW_BAG_TIMING_1X,268.61975206167443,386.7482974999948,454.09442749999596,566.2637199999954,247151,247151,0,25614,0,0,0,0,0,0,0,16,0,30.67949920007959,30.15625,4690307,396647
potential:nanning:1x:pair_3_5:EDGE_FILTER_ONLY,potential,nanning,pair_3_5,EDGE_FILTER_ONLY,COMPLETE,True,f8db3b553b9263e546ea15a557a107f4cc67cf80,edfcbd860c911c582045bb764c4a95faaa1ec0f158f2e5626d1469657c1cf32c,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,f167648ca524770b48465c66eaa7a548390f31e35815fb9c73accff68520c3a1,7f4c511eb1ff2b70f57edad970d0a9411d873da0408f68f704f27466e310888b,7fb6bf670f4dd016b482f3c3ab16082ad84f4d24e5cb634ed44658534ed46caa,28506,27283,16320,16320,True,IDENTICAL_NATIVE_ADMISSION_COHORT_PURE_POTENTIAL_COMPARISON,True,12186,0.4274889496948011,12186,0.4274889496948011,16320,0.5725110503051989,778884180.0,16390,16320,897406084.1042728,635284917.384273,EXACT_LEGACY_TAIL_CORRECTED_V1,LEGACY_PLUS_EXACT_FIXED_HORIZON_TAIL_V1,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,,,,,282566,209712,0,0,18889,1265,0,0,0,0,0,35,0,26.595428499858826,26.203125,3507591,292436
potential:nanning:1x:pair_3_5:SURVIVING_GRAPH_SERVICE_AWARE_POTENTIAL,potential,nanning,pair_3_5,SURVIVING_GRAPH_SERVICE_AWARE_POTENTIAL,COMPLETE,True,f8db3b553b9263e546ea15a557a107f4cc67cf80,edfcbd860c911c582045bb764c4a95faaa1ec0f158f2e5626d1469657c1cf32c,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,f167648ca524770b48465c66eaa7a548390f31e35815fb9c73accff68520c3a1,7f4c511eb1ff2b70f57edad970d0a9411d873da0408f68f704f27466e310888b,7fb6bf670f4dd016b482f3c3ab16082ad84f4d24e5cb634ed44658534ed46caa,28506,27283,16320,16320,True,IDENTICAL_NATIVE_ADMISSION_COHORT_PURE_POTENTIAL_COMPARISON,True,12186,0.4274889496948011,12186,0.4274889496948011,16320,0.5725110503051989,778884180.0,16390,16320,897406084.1042728,635284917.384273,EXACT_LEGACY_TAIL_CORRECTED_V1,LEGACY_PLUS_EXACT_FIXED_HORIZON_TAIL_V1,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,,,,,282566,209712,0,0,18889,1265,0,0,0,0,0,35,0,26.31100540002808,25.703125,3507591,292436
potential:nanning:1x:single_3:EDGE_FILTER_ONLY,potential,nanning,single_3,EDGE_FILTER_ONLY,COMPLETE,True,f8db3b553b9263e546ea15a557a107f4cc67cf80,edfcbd860c911c582045bb764c4a95faaa1ec0f158f2e5626d1469657c1cf32c,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,f167648ca524770b48465c66eaa7a548390f31e35815fb9c73accff68520c3a1,7f4c511eb1ff2b70f57edad970d0a9411d873da0408f68f704f27466e310888b,59c85c43bfa1936a277bf8013ff97019f5277af938313728ff4e1e54cd46379e,28506,43603,0,0,True,IDENTICAL_NATIVE_ADMISSION_COHORT_PURE_POTENTIAL_COMPARISON,True,17559,0.6159755840875605,17538,0.6152388970743001,10968,0.38476110292569987,539016854.11716,11296,10947,643431201.0210532,467607646.3590533,EXACT_LEGACY_TAIL_CORRECTED_V1,LEGACY_PLUS_EXACT_FIXED_HORIZON_TAIL_V1,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,,,,,814171,686533,0,0,314394,314394,314318,314318,0,0,0,39,1,241.88526560016908,236.828125,5835993,434494
potential:nanning:1x:single_3:SURVIVING_GRAPH_SERVICE_AWARE_POTENTIAL,potential,nanning,single_3,SURVIVING_GRAPH_SERVICE_AWARE_POTENTIAL,COMPLETE,True,f8db3b553b9263e546ea15a557a107f4cc67cf80,edfcbd860c911c582045bb764c4a95faaa1ec0f158f2e5626d1469657c1cf32c,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,f167648ca524770b48465c66eaa7a548390f31e35815fb9c73accff68520c3a1,7f4c511eb1ff2b70f57edad970d0a9411d873da0408f68f704f27466e310888b,59c85c43bfa1936a277bf8013ff97019f5277af938313728ff4e1e54cd46379e,28506,43603,0,0,True,IDENTICAL_NATIVE_ADMISSION_COHORT_PURE_POTENTIAL_COMPARISON,True,28506,1.0,26018,0.9127201290956289,2488,0.08727987090437106,8855046.24752,3402,0,95914523.38538302,95914523.38538302,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,FULL_POPULATION_RAW_BAG_TIMING_1X,1500.5314976555828,8308.622592499998,10516.194111000006,17068.733720000022,1281670,890780,0,7977,2719,1379,0,0,0,0,0,53,0,98.06288400013,96.421875,9446329,754208
strict:map2:1x:pair_2_4:FULL_WITHOUT_STRICT_DESCENT,strict,map2,pair_2_4,FULL_WITHOUT_STRICT_DESCENT,COMPLETE,True,f8db3b553b9263e546ea15a557a107f4cc67cf80,edfcbd860c911c582045bb764c4a95faaa1ec0f158f2e5626d1469657c1cf32c,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,7f4c511eb1ff2b70f57edad970d0a9411d873da0408f68f704f27466e310888b,99a8e48572d8d28404f70d3020616cbe761e63eb31f5da94a8a9505c717a6764,28506,37210,6393,6393,True,IDENTICAL_NATIVE_ADMISSION_COHORT_WITHIN_STRICT_PAIR,,22113,0.7757314249631656,22113,0.7757314249631656,6393,0.2242685750368344,330114387.0,7135,6393,419703509.7383534,316529446.3313535,EXACT_LEGACY_TAIL_CORRECTED_V1,LEGACY_PLUS_EXACT_FIXED_HORIZON_TAIL_V1,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,,,,,0,0,0,21984,0,0,0,0,0,0,0,16,0,24.98173819994554,24.5,3954623,338800
strict:map2:1x:pair_2_4:FULL_WITH_STRICT_DESCENT,strict,map2,pair_2_4,FULL_WITH_STRICT_DESCENT,COMPLETE,True,f8db3b553b9263e546ea15a557a107f4cc67cf80,edfcbd860c911c582045bb764c4a95faaa1ec0f158f2e5626d1469657c1cf32c,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,7f4c511eb1ff2b70f57edad970d0a9411d873da0408f68f704f27466e310888b,99a8e48572d8d28404f70d3020616cbe761e63eb31f5da94a8a9505c717a6764,28506,37210,6393,6393,True,IDENTICAL_NATIVE_ADMISSION_COHORT_WITHIN_STRICT_PAIR,,22113,0.7757314249631656,22113,0.7757314249631656,6393,0.2242685750368344,330114387.0,7135,6393,419703509.7383534,316529446.3313535,EXACT_LEGACY_TAIL_CORRECTED_V1,LEGACY_PLUS_EXACT_FIXED_HORIZON_TAIL_V1,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,,,,,208129,208129,0,21984,0,0,0,0,0,0,0,16,0,24.197318699909374,23.71875,3954623,338800
