binary_sha256,class_sha256,completed_raw_bag_count,completion_rate,cpu_seconds,decision_count_definition,decision_requests,full_population_complete,input_sha256,latency_definition,load_factor,map,map_sha256,method,missed_bag_count,missed_bag_rate,native_terminal_status,network_backlog_area_seconds,on_time_rate,on_time_raw_bag_count,population_latency_max_seconds,population_latency_mean_seconds,population_latency_p95_seconds,population_latency_p99_seconds,raw_bag_count,reproduction_level,scheduled_release_latency_definition,scheduled_release_latency_max_seconds,scheduled_release_latency_mean_seconds,scheduled_release_latency_p95_seconds,scheduled_release_latency_p99_seconds,seed,segment_count,source_backlog_area_seconds,source_sha256,tardiness_max_seconds,tardiness_mean_seconds,tardiness_p95_seconds,tardiness_p99_seconds,tardiness_sum_seconds,time_to_90_percent_seconds,time_to_95_percent_seconds,time_to_99_percent_seconds,total_backlog_area_seconds,wall_seconds,workload_identity_sha256
,,28506,1.0,,,,True,7337fc1c7cca646e1179c72ce88aef74f11d6c687ff7f36b91a57b323fbc7f95,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_NATIVE_HCA,0,0.0,,5902199.0,1.0,28506,359.0,237.12716621062233,299.0,331.0,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,,,,,104729,43602,66911649.23748321,,0.0,0.0,0.0,0.0,0.0,62968.154547,67303.154547,71125.154547,72809533.21305355,326.4811516001355,9bc5780d88bce1c1ac909dc438c09ced2a2cef6ee6443b4a92625a5cce12b406
,d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286,28506,1.0,,LOGICAL_ROUTE_REQUESTS_INCLUDING_EACH_TICK_HOLD_RETRY_NOT_ACTUAL_SCORE_COMPUTATIONS,5845131,True,7337fc1c7cca646e1179c72ce88aef74f11d6c687ff7f36b91a57b323fbc7f95,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,0,0.0,COMPLETE,5849057.0000001965,1.0,28506,374.6,241.518613625,293.8,319.8,28506,SEMANTICALLY_PARTIAL_RECONSTRUCTION,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,736.1780900000012,279.05501343762717,429.7983075000002,528.5027625000002,104729,43602,64954374.01305309,99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8,0.0,0.0,0.0,0.0,0.0,62897.354546999995,67322.754547,71143.55454699999,70803431.0130535,45.0913209,9bc5780d88bce1c1ac909dc438c09ced2a2cef6ee6443b4a92625a5cce12b406
b00fd178dca5b3f201d50ddfc6446959272baa4cc45b4ee01a2f08e0c85a91f5,,28506.0,1.0,30.265625,NATIVE_RUNTIME_DECISION_COUNT_JUNCTION_ARRIVALS_NOT_DH_TICK_REQUESTS,336527,True,7337fc1c7cca646e1179c72ce88aef74f11d6c687ff7f36b91a57b323fbc7f95,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,G31_S4_NATIVE_SYSTEM,0.0,0.0,COMPLETE,5985255.999340004,1.0,28506.0,513.3808499999941,237.23628253104775,339.06922250001844,401.60047749999296,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,588.8808499999941,245.8608527969567,375.21008750002056,453.69776299999285,104729,43602,64162036.80464327,,0.0,0.0,0.0,0.0,0.0,62876.243447000015,67299.70889700002,71125.43991700003,70147292.80398326,31.049314999952912,9bc5780d88bce1c1ac909dc438c09ced2a2cef6ee6443b4a92625a5cce12b406
,,28506,1.0,,,,True,6e350b2e70d667a20c51cc5332163cab9758545c8398e95e8a16c3664722158f,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_NATIVE_HCA,0,0.0,,5895358.0,1.0,28506,359.0,236.76401459341892,299.0,330.0,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,,,,,130363,43602,66838667.67782336,,0.0,0.0,0.0,0.0,0.0,62959.154547,67288.154547,71112.154547,72729732.21305358,398.7954377999995,a282e2ee0392c471c8dff6c6cfa2128296cae599477dd3f627b4bf1f6145acbf
,d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286,28506,1.0,,LOGICAL_ROUTE_REQUESTS_INCLUDING_EACH_TICK_HOLD_RETRY_NOT_ACTUAL_SCORE_COMPUTATIONS,5834812,True,6e350b2e70d667a20c51cc5332163cab9758545c8398e95e8a16c3664722158f,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,0,0.0,COMPLETE,5847634.8000003025,1.0,28506,357.8,241.429572722,293.6,319.4,28506,SEMANTICALLY_PARTIAL_RECONSTRUCTION,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,739.3817500000005,278.96509552560866,429.75189500000306,526.3129285000018,130363,43602,64954075.413053036,99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8,0.0,0.0,0.0,0.0,0.0,62890.354546999995,67311.954547,71131.55454699999,70801710.21305367,52.4590052,a282e2ee0392c471c8dff6c6cfa2128296cae599477dd3f627b4bf1f6145acbf
b00fd178dca5b3f201d50ddfc6446959272baa4cc45b4ee01a2f08e0c85a91f5,,28506.0,1.0,29.671875,NATIVE_RUNTIME_DECISION_COUNT_JUNCTION_ARRIVALS_NOT_DH_TICK_REQUESTS,336541,True,6e350b2e70d667a20c51cc5332163cab9758545c8398e95e8a16c3664722158f,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,G31_S4_NATIVE_SYSTEM,0.0,0.0,COMPLETE,5981359.867050052,1.0,28506.0,526.5451799999973,237.04535045429193,337.6742774999939,399.65965199999914,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,603.0451799999973,245.66607942363174,373.7894199999955,451.72044399999254,130363,43602,64161655.575203374,,0.0,0.0,0.0,0.0,0.0,62863.35993700003,67287.91400700001,71112.43991700003,70143015.44225354,30.08706249995157,a282e2ee0392c471c8dff6c6cfa2128296cae599477dd3f627b4bf1f6145acbf
,,28506,1.0,,,,True,73bf1b6a542788e1e4095ea458d4252dd317ad393802387b3ab0143c3f04f4d4,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_NATIVE_HCA,0,0.0,,5901130.0,1.0,28506,359.0,236.97881147828528,299.0,330.0,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,,,,,155921,43599,66785919.89117342,,0.0,0.0,0.0,0.0,0.0,62958.154547,67283.154547,71119.154547,72682760.21305358,589.8895481000654,d6cb1265e54f96076644c97627f45e8d5622d3ad27bd1efe677e51d9c34b3f79
,d611967f0433dfc08f67d92c89e9b13dcb5b8ac5ace3d3abec9c098dba360286,28506,1.0,,LOGICAL_ROUTE_REQUESTS_INCLUDING_EACH_TICK_HOLD_RETRY_NOT_ACTUAL_SCORE_COMPUTATIONS,5832277,True,73bf1b6a542788e1e4095ea458d4252dd317ad393802387b3ab0143c3f04f4d4,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,0,0.0,COMPLETE,5846870.400000302,1.0,28506,363.4,241.38086017,293.4,320.6,28506,SEMANTICALLY_PARTIAL_RECONSTRUCTION,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,734.378090000002,278.8977342683295,429.94574999999986,527.3592029999979,155921,43599,64947398.2130529,99bf695a787accce5780996d06bbc8eb816992169ef8b731e8116a49c10f14d8,0.0,0.0,0.0,0.0,0.0,62890.154547,67309.354547,71137.55454699999,70794268.61305344,53.3903503,d6cb1265e54f96076644c97627f45e8d5622d3ad27bd1efe677e51d9c34b3f79
b00fd178dca5b3f201d50ddfc6446959272baa4cc45b4ee01a2f08e0c85a91f5,,28506.0,1.0,29.984375,NATIVE_RUNTIME_DECISION_COUNT_JUNCTION_ARRIVALS_NOT_DH_TICK_REQUESTS,336528,True,73bf1b6a542788e1e4095ea458d4252dd317ad393802387b3ab0143c3f04f4d4,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,G31_S4_NATIVE_SYSTEM,0.0,0.0,COMPLETE,5984079.905380058,1.0,28506.0,536.0569899999937,237.22892515645987,339.0558974999949,401.9644594999954,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,612.5569899999937,245.85032065214497,374.49845999999343,453.46551349999555,155921,43599,64155514.90620333,,0.0,0.0,0.0,0.0,0.0,62869.80997700001,67283.17461700003,71119.43991700003,70139594.81158304,30.466904500033706,d6cb1265e54f96076644c97627f45e8d5622d3ad27bd1efe677e51d9c34b3f79
,,28506,1.0,,,,True,7d914ee7c171f8a6aa4f437885bd8b444938a76d1ddf7dfbea74acfe89356be6,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_ADMISSION,1.0,map2,55f578cb4b8fcc61f5b13963fcb8546aca91e517ea6f8ff4a7361670f1b03f8f,FENG_NATIVE_HCA,0,0.0,,5901912.0,1.0,28506,359.0,237.0331509155967,299.0,330.0,28506,,SUM_PER_BAG_SEGMENT_COMPLETION_MINUS_SCHEDULED_RELEASE_NOT_HISTORICAL_SHARED_D,,,,,181081,43602,66823133.91678344,,0.0,0.0,0.0,0.0,0.0,62958.154547,67296.154547,71131.154547,72720749.21305361,394.6813365998678,38854ff2be25427cf23fdc522d7fe25f03931ab5cb987bca45d350a30c542ba7
