scenario,scenario_context,policy,max_tasks,planned_count,unplanned_count,decision_count,post_shield_conflicts,mean_travel_time,edge_score_failed_rows_in_scenario,recovered_edge_score_failures,remaining_edge_score_failures,new_regressions_vs_edge_score,recovery_rate_of_edge_score_failures
legacy_first16,no_fault,oracle1_teacher_next,16,16,0,166,0,55.32499999999959,0,0,0,0,0.0
legacy_first16,no_fault,oracle2_sipp_rank,16,12,4,625,0,51.68333333333309,0,0,0,4,0.0
legacy_first16,no_fault,oracle3_lookahead_k2,16,16,0,174,0,59.32499999999959,0,0,0,0,0.0
legacy_first16,no_fault,oracle3_lookahead_k3,16,16,0,174,0,59.32499999999959,0,0,0,0,0.0
legacy_first16,no_fault,oracle3_lookahead_k5,16,16,0,174,0,59.32499999999959,0,0,0,0,0.0
legacy_first16_buffer2,buffer_capacity,oracle1_teacher_next,16,16,0,166,0,55.32499999999959,0,0,0,0,0.0
legacy_first16_buffer2,buffer_capacity,oracle2_sipp_rank,16,12,4,625,0,51.68333333333309,0,0,0,4,0.0
legacy_first16_buffer2,buffer_capacity,oracle3_lookahead_k2,16,16,0,174,0,59.32499999999959,0,0,0,0,0.0
legacy_first16_buffer2,buffer_capacity,oracle3_lookahead_k3,16,16,0,174,0,59.32499999999959,0,0,0,0,0.0
legacy_first16_buffer2,buffer_capacity,oracle3_lookahead_k5,16,16,0,174,0,59.32499999999959,0,0,0,0,0.0
legacy_first32,no_fault,oracle1_teacher_next,32,24,8,330,0,57.20833333333288,8,1,7,1,0.125
legacy_first32,no_fault,oracle2_sipp_rank,32,19,13,1014,0,53.63157894736813,8,2,6,7,0.25
legacy_first32,no_fault,oracle3_lookahead_k2,32,25,7,356,0,61.399999999999636,8,2,6,1,0.25
legacy_first32,no_fault,oracle3_lookahead_k3,32,25,7,356,0,61.399999999999636,8,2,6,1,0.25
legacy_first32,no_fault,oracle3_lookahead_k5,32,25,7,356,0,61.399999999999636,8,2,6,1,0.25
legacy_offset32_static16,static_fault,oracle1_teacher_next,16,11,5,181,0,62.47272727272718,4,1,3,2,0.25
legacy_offset32_static16,static_fault,oracle2_sipp_rank,16,10,6,295,0,60.860000000000035,4,1,3,3,0.25
legacy_offset32_static16,static_fault,oracle3_lookahead_k2,16,11,5,181,0,62.47272727272718,4,1,3,2,0.25
legacy_offset32_static16,static_fault,oracle3_lookahead_k3,16,11,5,181,0,62.47272727272718,4,1,3,2,0.25
legacy_offset32_static16,static_fault,oracle3_lookahead_k5,16,11,5,181,0,62.47272727272718,4,1,3,2,0.25
legacy_offset64_repair32,repair_window,oracle1_teacher_next,32,15,17,371,0,66.41333333333326,17,4,13,4,0.23529411764705882
legacy_offset64_repair32,repair_window,oracle2_sipp_rank,32,12,20,693,0,123.13333333333428,17,3,14,6,0.17647058823529413
legacy_offset64_repair32,repair_window,oracle3_lookahead_k2,32,15,17,371,0,66.41333333333326,17,4,13,4,0.23529411764705882
legacy_offset64_repair32,repair_window,oracle3_lookahead_k3,32,15,17,371,0,66.41333333333326,17,4,13,4,0.23529411764705882
legacy_offset64_repair32,repair_window,oracle3_lookahead_k5,32,15,17,371,0,66.41333333333326,17,4,13,4,0.23529411764705882
legacy_offset64_merge32,merge_group,oracle1_teacher_next,32,15,17,373,0,65.3066666666662,18,4,14,3,0.2222222222222222
legacy_offset64_merge32,merge_group,oracle2_sipp_rank,32,12,20,668,0,59.5999999999996,18,3,15,5,0.16666666666666666
legacy_offset64_merge32,merge_group,oracle3_lookahead_k2,32,15,17,375,0,65.43999999999966,18,4,14,3,0.2222222222222222
legacy_offset64_merge32,merge_group,oracle3_lookahead_k3,32,15,17,375,0,65.43999999999966,18,4,14,3,0.2222222222222222
legacy_offset64_merge32,merge_group,oracle3_lookahead_k5,32,15,17,375,0,65.43999999999966,18,4,14,3,0.2222222222222222
ALL,all,oracle1_teacher_next,144,97,47,1587,0,59.85979381443265,47,10,37,10,0.2127659574468085
ALL,all,oracle2_sipp_rank,144,77,67,3920,0,65.72467532467527,47,9,38,29,0.19148936170212766
ALL,all,oracle3_lookahead_k2,144,98,46,1631,0,62.22857142857113,47,11,36,10,0.23404255319148937
ALL,all,oracle3_lookahead_k3,144,98,46,1631,0,62.22857142857113,47,11,36,10,0.23404255319148937
ALL,all,oracle3_lookahead_k5,144,98,46,1631,0,62.22857142857113,47,11,36,10,0.23404255319148937
