scenario,context,teacher_source,decision_ordinal,task_decision_ordinal,segment_id,task_id,current,next_label,goal,ready_time,route_suffix,label_kind,label_source,fault_state,repair_state,constraint_summary,candidate_next_nodes,safe_next_nodes,label_in_candidate,label_in_safe_mask,label_block_reason,executed_next,executed_kind,replay_action
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,15,3,2:storage_in,2,18,22,47,8882.216299,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,22,,True,False,edge_capacity,18,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,17,4,2:storage_in,2,18,22,47,8883.216299,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,22,,True,False,edge_capacity,18,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,21,4,3:storage_in,3,18,22,47,8889.800872000002,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,22,,True,False,edge_capacity,18,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,22,5,3:storage_in,3,18,22,47,8890.800872000002,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,22,,True,False,edge_capacity,18,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,23,6,3:storage_in,3,18,22,47,8891.800872000002,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,22,,True,False,edge_capacity,18,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,25,6,2:storage_in,2,22,24,47,8893.616299,22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,24 26,26,True,False,edge_capacity,22,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,26,7,2:storage_in,2,22,24,47,8894.616299,22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,24 26,26,True,False,edge_capacity,22,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,30,8,3:storage_in,3,22,24,47,8902.200872000001,22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,24 26,26,True,False,edge_capacity,22,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,31,9,3:storage_in,3,22,24,47,8903.200872000001,22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,24 26,26,True,False,edge_capacity,22,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,32,10,3:storage_in,3,22,24,47,8904.200872000001,22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,24 26,26,True,False,edge_capacity,22,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,33,11,3:storage_in,3,22,24,47,8905.200872000001,22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,24 26,26,True,False,edge_capacity,22,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,39,14,3:storage_in,3,27,28,47,8920.200872000001,27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,28 45,,True,False,edge_capacity,27,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,49,3,5:storage_in,5,18,22,47,9477.815484,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,22,,True,False,edge_capacity,18,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,50,4,5:storage_in,5,18,22,47,9478.815484,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,22,,True,False,edge_capacity,18,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,51,5,5:storage_in,5,18,22,47,9479.815484,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,22,,True,False,edge_capacity,18,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,54,7,5:storage_in,5,22,24,47,9490.215484,22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,24 26,26,True,False,edge_capacity,22,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,55,8,5:storage_in,5,22,24,47,9491.215484,22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,24 26,26,True,False,edge_capacity,22,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,60,11,5:storage_in,5,27,28,47,9506.215484,27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,28 45,,True,False,edge_capacity,27,hold,shield_hold
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,83,3,10:storage_in,10,18,22,47,10094.37294,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=none,22,,True,False,edge_capacity,18,hold,shield_hold
