scenario,event_variant,edge,blocked_count,mean_wait_needed,max_wait_needed,max_queue_length,release_audit_rows
legacy_first16,capacity_wait_budget_10s,18->22,6,2.8877428333335047,6.561200000001918,2,6
legacy_first16,capacity_wait_budget_10s,22->24,7,2.5565685714282154,4.0,2,7
legacy_first16,capacity_wait_budget_10s,27->28,8,3.1469562499989934,9.599999999998545,2,8
legacy_first16,capacity_wait_budget_30s,18->22,6,2.8877428333335047,6.561200000001918,2,6
legacy_first16,capacity_wait_budget_30s,22->24,7,2.5565685714282154,4.0,2,7
legacy_first16,capacity_wait_budget_30s,27->28,8,3.1469562499989934,9.599999999998545,2,8
legacy_first16,capacity_wait_budget_5s,18->22,6,2.8877428333335047,6.561200000001918,2,6
legacy_first16,capacity_wait_budget_5s,22->24,7,2.5565685714282154,4.0,2,7
legacy_first16,capacity_wait_budget_5s,27->28,8,3.1469562499989934,9.599999999998545,2,8
legacy_first16,capacity_wait_budget_60s,18->22,6,2.8877428333335047,6.561200000001918,2,6
legacy_first16,capacity_wait_budget_60s,22->24,7,2.5565685714282154,4.0,2,7
legacy_first16,capacity_wait_budget_60s,27->28,8,3.1469562499989934,9.599999999998545,2,8
legacy_first16,edge_release_wait_scheduler,18->22,6,2.8877428333335047,6.561200000001918,2,6
legacy_first16,edge_release_wait_scheduler,22->24,7,2.5565685714282154,4.0,2,7
legacy_first16,edge_release_wait_scheduler,27->28,8,3.1469562499989934,9.599999999998545,2,8
legacy_first16,fifo_edge_queue_scheduler,18->22,6,2.8877428333335047,6.561200000001918,2,6
legacy_first16,fifo_edge_queue_scheduler,22->24,7,2.5565685714282154,4.0,2,7
legacy_first16,fifo_edge_queue_scheduler,27->28,8,3.1469562499989934,9.599999999998545,2,8
legacy_first16,g3d_reroute_anchor,18->22,22,2.3105015909093045,6.561200000001918,2,22
legacy_first16,g3d_reroute_anchor,22->24,4,1.2838040000001456,1.867502000000968,2,4
legacy_first16,g3d_reroute_anchor,24->27,1,0.46688000000358443,0.46688000000358443,2,1
legacy_first16,g3d_reroute_anchor,27->28,9,1.9290314285709818,3.57564999999704,2,9
legacy_first16,hybrid_executable_teacher,18->22,6,2.8877428333335047,6.561200000001918,2,6
legacy_first16,hybrid_executable_teacher,22->24,7,2.5565685714282154,4.0,2,7
legacy_first16,hybrid_executable_teacher,27->28,8,3.1469562499989934,9.599999999998545,2,8
legacy_first16_buffer2,capacity_wait_budget_10s,18->22,6,2.8877428333335047,6.561200000001918,2,6
legacy_first16_buffer2,capacity_wait_budget_10s,22->24,7,2.5565685714282154,4.0,2,7
