scenario,context,segment_id,task_id,event,legacy_path,executed_path,path_matches_legacy_astar,inserted_wait_count,finish_time,unplanned_reason,teacher_route_source,sipp_role
legacy_first16,no_fault,0:storage_in,0,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,8316.845453,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,1:storage_in,1,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,8914.245453,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,2:storage_in,2,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,3,8925.045452999999,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,3:storage_in,3,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,3,8935.845452999998,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,4:storage_in,4,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,9511.482986,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,5:storage_in,5,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,3,9522.282986,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,6:storage_in,6,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,0,10108.221619999998,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,7:storage_in,7,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,10122.28213,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,8:storage_in,8,planned,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,True,1,10133.082129999999,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,9:storage_in,9,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,2,10143.882129999998,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,10:storage_in,10,planned,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46 36 38 39 47,True,0,10164.77294,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,11:storage_in,11,planned,1 7 8 11 13 23 24 27 28 47,1 7 8 11 13 23 24 27 28 47,True,1,10154.682129999997,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,12:storage_in,12,planned,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27 28 47,True,0,10690.568600000002,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,13:storage_in,13,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,10711.57885,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,14:storage_in,14,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,3,10722.37885,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16,no_fault,15:storage_in,15,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,3,10733.178849999998,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16_buffer2,buffer_capacity,0:storage_in,0,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,8316.845453,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16_buffer2,buffer_capacity,1:storage_in,1,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,0,8914.245453,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16_buffer2,buffer_capacity,2:storage_in,2,planned,5 19 18 22 24 27 28 47,5 19 18 22 24 27 28 47,True,3,8925.045452999999,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16_buffer2,buffer_capacity,3:storage_in,3,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,3,8935.845452999998,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16_buffer2,buffer_capacity,4:storage_in,4,planned,3 16 17 18 22 24 27 28 47,3 16 17 18 22 24 27 28 47,True,0,9511.482986,,original_cie_legacy_astar,timing_only_execution_wrapper
legacy_first16_buffer2,buffer_capacity,5:storage_in,5,planned,4 17 18 22 24 27 28 47,4 17 18 22 24 27 28 47,True,3,9522.282986,,original_cie_legacy_astar,timing_only_execution_wrapper
