current_node,node_type,out_degree,is_branch_node,slice_count,teacher_next_distribution
0,1,1,False,20,"{""6"": 20}"
1,1,1,False,16,"{""7"": 16}"
2,1,1,False,15,"{""9"": 15}"
3,1,1,False,34,"{""16"": 34}"
4,1,1,False,32,"{""17"": 32}"
5,1,1,False,27,"{""19"": 27}"
6,4,2,True,20,"{""12"": 18, ""8"": 2}"
7,5,1,False,31,"{""8"": 31}"
8,5,1,False,33,"{""11"": 33}"
9,4,2,True,15,"{""7"": 15}"
11,4,2,True,33,"{""13"": 26, ""14"": 7}"
12,5,1,False,18,"{""13"": 18}"
13,5,1,False,44,"{""23"": 44}"
14,5,1,False,19,"{""46"": 19}"
15,5,1,False,12,"{""14"": 12}"
16,4,2,True,34,"{""17"": 28, ""21"": 6}"
17,5,1,False,60,"{""18"": 60}"
18,5,1,False,78,"{""22"": 78}"
19,4,2,True,27,"{""18"": 18, ""25"": 9}"
21,5,1,False,6,"{""23"": 6}"
22,4,2,True,78,"{""24"": 75, ""26"": 3}"
23,5,1,False,50,"{""24"": 50}"
24,5,1,False,125,"{""27"": 125}"
25,5,1,False,9,"{""26"": 9}"
26,5,1,False,12,"{""43"": 12}"
27,4,2,True,125,"{""28"": 125}"
28,4,2,True,125,"{""47"": 125}"
36,4,2,True,19,"{""38"": 19}"
38,4,2,True,19,"{""39"": 19}"
39,4,2,True,19,"{""47"": 19}"
43,5,1,False,12,"{""15"": 12}"
46,4,2,True,19,"{""36"": 19}"
