gate,pass,value,threshold,decision
offline_candidate_top1_gt_shortest_time,True,0.98819562 > 0.85581788,model > heuristic,g4c_candidate
closed_loop_node_window_conflicts_zero,True,0,0,g4c_candidate
closed_loop_planned_gt_old_edgescore,True,132>97,> old EdgeScore,g4c_candidate
closed_loop_planned_gt_fallback,True,132>93,> fallback safe policy,g4c_candidate
closed_loop_planned_ge_120,True,132,>=120/144,g4c_candidate
edge_capacity_not_primary,True,False,False,g4c_candidate
source_retry_behavior_logged,True,17/17,17/17,g4c_candidate
no_forbidden_feature_leakage,True,True,G4A forbidden audit pass,g4c_candidate
negative_controls_logged,True,shortest;random,present,g4c_candidate
pilot_not_paper_grade_claim,True,pilot_only,do not claim final learning success,g4c_candidate
