policy,window_name,window_size,teacher_planned,planned,node_window_conflicts,interface_decisions,fallback_actions,fallback_rate_by_interface,fallback_task_count,wrong_high_confidence_count,estimated_original_cie_astar_calls,actual_astar_call_reduction_rate
cie_retry_teacher_baseline,g4d_first1024_no_fault,1024,1024,1024,0,,1519,,,0,1519,0
fallback_only_per_interface,g4d_first1024_no_fault,1024,1024,1024,0,8864,8864,1,1024,0,1519,-4.83541804
cie_retry_teacher_baseline,g4d_first144_no_fault,144,144,144,0,,196,,,0,196,0
fallback_only_per_interface,g4d_first144_no_fault,144,144,144,0,1209,1209,1,144,0,196,-5.16836735
cie_retry_teacher_baseline,g4d_first256_no_fault,256,256,256,0,,334,,,0,334,0
fallback_only_per_interface,g4d_first256_no_fault,256,256,256,0,2149,2149,1,256,0,334,-5.43413174
cie_retry_teacher_baseline,g4d_first512_no_fault,512,512,512,0,,654,,,0,654,0
fallback_only_per_interface,g4d_first512_no_fault,512,512,512,0,4235,4235,1,512,0,654,-5.47553517
cie_retry_teacher_baseline,g4d_offset2048_1024_high_density,1024,977,977,0,,10970,,,0,10970,0
fallback_only_per_interface,g4d_offset2048_1024_high_density,1024,977,977,0,9713,9713,1,977,0,10970,0.11458523
cie_retry_teacher_baseline,g4d_offset512_512_high_density,512,512,512,0,,852,,,0,852,0
fallback_only_per_interface,g4d_offset512_512_high_density,512,512,512,0,4620,4620,1,512,0,852,-4.42253521
cie_retry_teacher_baseline,g4d_offset64_repair512,512,512,512,0,,706,,,0,706,0
fallback_only_per_interface,g4d_offset64_repair512,512,512,512,0,4296,4296,1,512,0,706,-5.08498584
cie_retry_teacher_baseline,g4d_offset64_static512,512,512,512,0,,621,,,0,621,0
fallback_only_per_interface,g4d_offset64_static512,512,512,512,0,4227,4227,1,512,0,621,-5.80676329
g4b_no_calibration_large_window,g4d_first1024_no_fault,1024,1024,875,0,8864,0,0,0,174,1519,1
g4b_no_calibration_large_window,g4d_first144_no_fault,144,144,126,0,1209,0,0,0,22,196,1
g4b_no_calibration_large_window,g4d_first256_no_fault,256,256,229,0,2149,0,0,0,33,334,1
g4b_no_calibration_large_window,g4d_first512_no_fault,512,512,457,0,4235,0,0,0,65,654,1
g4b_no_calibration_large_window,g4d_offset2048_1024_high_density,1024,977,724,0,9713,0,0,0,282,10970,1
g4b_no_calibration_large_window,g4d_offset512_512_high_density,512,512,421,0,4620,0,0,0,107,852,1
g4b_no_calibration_large_window,g4d_offset64_repair512,512,512,452,0,4296,0,0,0,73,706,1
g4b_no_calibration_large_window,g4d_offset64_static512,512,512,444,0,4227,0,0,0,81,621,1
g4c_cluster_abstain_large_window,g4d_first1024_no_fault,1024,1024,1010,0,8864,692,0.07806859,645,14,1519,0.54443713
g4c_cluster_abstain_large_window,g4d_first144_no_fault,144,144,144,0,1209,109,0.09015715,105,0,196,0.44387755
g4c_cluster_abstain_large_window,g4d_first256_no_fault,256,256,256,0,2149,182,0.08469055,175,0,334,0.45508982
g4c_cluster_abstain_large_window,g4d_first512_no_fault,512,512,510,0,4235,321,0.07579693,306,2,654,0.50917431
g4c_cluster_abstain_large_window,g4d_offset2048_1024_high_density,1024,977,853,0,9713,663,0.06825903,587,135,10970,0.93956244
g4c_cluster_abstain_large_window,g4d_offset512_512_high_density,512,512,501,0,4620,372,0.08051948,340,11,852,0.56338028
g4c_cluster_abstain_large_window,g4d_offset64_repair512,512,512,509,0,4296,323,0.07518622,303,3,706,0.54249292
g4c_cluster_abstain_large_window,g4d_offset64_static512,512,512,506,0,4227,320,0.07570381,300,6,621,0.48470209
g4d_enhanced_mlp_risk_head,g4d_first1024_no_fault,1024,1024,1024,0,8864,1432,0.16155235,1024,0,1519,0.05727452
g4d_enhanced_mlp_risk_head,g4d_first144_no_fault,144,144,144,0,1209,199,0.16459884,144,0,196,-0.01530612
g4d_enhanced_mlp_risk_head,g4d_first256_no_fault,256,256,256,0,2149,353,0.16426245,256,0,334,-0.05688623
g4d_enhanced_mlp_risk_head,g4d_first512_no_fault,512,512,512,0,4235,678,0.16009445,512,0,654,-0.03669725
g4d_enhanced_mlp_risk_head,g4d_offset2048_1024_high_density,1024,977,977,0,9713,2077,0.21383713,977,0,10970,0.81066545
g4d_enhanced_mlp_risk_head,g4d_offset512_512_high_density,512,512,512,0,4620,755,0.16341991,512,0,852,0.11384977
g4d_enhanced_mlp_risk_head,g4d_offset64_repair512,512,512,512,0,4296,675,0.15712291,512,0,706,0.04390935
g4d_enhanced_mlp_risk_head,g4d_offset64_static512,512,512,512,0,4227,617,0.14596641,512,0,621,0.00644122
shortest_time_heuristic_large_window,g4d_first1024_no_fault,1024,1024,19,0,8864,0,0,0,1299,1519,1
shortest_time_heuristic_large_window,g4d_first144_no_fault,144,144,0,0,1209,0,0,0,180,196,1
shortest_time_heuristic_large_window,g4d_first256_no_fault,256,256,0,0,2149,0,0,0,316,334,1
shortest_time_heuristic_large_window,g4d_first512_no_fault,512,512,0,0,4235,0,0,0,626,654,1
shortest_time_heuristic_large_window,g4d_offset2048_1024_high_density,1024,977,225,0,9713,0,0,0,993,10970,1
shortest_time_heuristic_large_window,g4d_offset512_512_high_density,512,512,19,0,4620,0,0,0,669,852,1
shortest_time_heuristic_large_window,g4d_offset64_repair512,512,512,0,0,4296,0,0,0,647,706,1
shortest_time_heuristic_large_window,g4d_offset64_static512,512,512,0,0,4227,0,0,0,715,621,1
