sample_id,window_name,context,window_size,task_id,segment_id,current_node,goal_node,candidate_next_nodes,teacher_next_node,time_slack,local_node_time_window_pressure,teacher_static_remaining_hops,teacher_second_best_gap,teacher_downstream_pressure_2hop,teacher_downstream_pressure_3hop,teacher_goal_direction_score,teacher_historical_risk
g4d_move_0000001,g4d_first144_no_fault,real_inputdata_window,144,0,0:storage_in,16,47,"[17, 21]",17,13929.554547,0,6,0,0,0,3.6,1
g4d_move_0000016,g4d_first144_no_fault,real_inputdata_window,144,2,2:storage_in,19,47,"[18, 25]",18,13321.583701,0,5,0,0,0,2.8,1
g4d_move_0000023,g4d_first144_no_fault,real_inputdata_window,144,3,3:storage_in,16,47,"[17, 21]",17,13317.399128,0,6,0,0,0,3.6,1
g4d_move_0000031,g4d_first144_no_fault,real_inputdata_window,144,4,4:storage_in,16,47,"[17, 21]",17,12734.917014,0,6,0,0,0,3.6,1
g4d_move_0000046,g4d_first144_no_fault,real_inputdata_window,144,6,6:storage_in,19,47,"[18, 25]",18,12134.77838,0,5,0,0,0,2.8,1
g4d_move_0000053,g4d_first144_no_fault,real_inputdata_window,144,7,7:storage_in,16,47,"[17, 21]",17,12124.11787,0,6,0,0,0,3.6,1
g4d_move_0000061,g4d_first144_no_fault,real_inputdata_window,144,8,8:storage_in,6,47,"[8, 12]",12,13311.69352,0,6,0,0,0,10,1
g4d_move_0000076,g4d_first144_no_fault,real_inputdata_window,144,10,10:storage_in,19,47,"[18, 25]",18,12109.42706,0,5,0,0,0,2.8,1
g4d_move_0000085,g4d_first144_no_fault,real_inputdata_window,144,11,11:storage_in,11,47,"[13, 14]",13,13297.96018,0,5,0,0,0,11.2,1
g4d_move_0000092,g4d_first144_no_fault,real_inputdata_window,144,12,12:storage_in,6,47,"[8, 12]",12,13350.6314,0,6,0,0,0,10,1
g4d_move_0000107,g4d_first144_no_fault,real_inputdata_window,144,14,14:storage_in,19,47,"[18, 25]",18,11524.11172,0,5,0,0,0,2.8,1
g4d_move_0000114,g4d_first144_no_fault,real_inputdata_window,144,15,15:storage_in,16,47,"[17, 21]",17,13321.5546,0,6,0,0,0,3.6,1
g4d_move_0000122,g4d_first144_no_fault,real_inputdata_window,144,16,16:storage_in,16,47,"[17, 21]",17,11516.34047,0,6,0,0,0,3.6,1
g4d_move_0000133,g4d_first144_no_fault,real_inputdata_window,144,17,17:storage_in,11,47,"[13, 14]",13,13303.32218,0,5,0,0,0,11.2,1
g4d_move_0000141,g4d_first144_no_fault,real_inputdata_window,144,18,18:storage_in,6,47,"[8, 12]",12,13309.8,0,6,0,0,0,10,1
g4d_move_0000151,g4d_first144_no_fault,real_inputdata_window,144,19,19:storage_in,11,47,"[13, 14]",13,14200.58885,0,5,0,0,0,11.2,1
g4d_move_0000158,g4d_first144_no_fault,real_inputdata_window,144,20,20:storage_in,16,47,"[17, 21]",21,13909.29673,0,5,5.2,0,0,17.6,0
g4d_move_0000168,g4d_first144_no_fault,real_inputdata_window,144,21,21:storage_in,11,47,"[13, 14]",14,13895.36023,0,5,22,0,0,-9.2,0
g4d_move_0000182,g4d_first144_no_fault,real_inputdata_window,144,23,23:storage_in,19,47,"[18, 25]",18,13345.55459,0,5,0,0,0,2.8,1
g4d_move_0000189,g4d_first144_no_fault,real_inputdata_window,144,24,24:storage_in,16,47,"[17, 21]",17,13642.91704,0,6,0,0,0,3.6,1
g4d_move_0000211,g4d_first144_no_fault,real_inputdata_window,144,27,27:storage_in,19,47,"[18, 25]",25,10926.88797,0,9,27.2,0,0,-13.2,0
g4d_move_0000222,g4d_first144_no_fault,real_inputdata_window,144,28,28:storage_in,16,47,"[17, 21]",17,10924.25041,0,6,0,0,0,3.6,1
g4d_move_0000230,g4d_first144_no_fault,real_inputdata_window,144,29,29:storage_in,6,47,"[8, 12]",12,13322.36018,0,6,0,0,0,10,1
g4d_move_0000238,g4d_first144_no_fault,real_inputdata_window,144,30,30:storage_in,19,47,"[18, 25]",18,13322.73254,0,5,0,0,0,2.8,1
g4d_move_0000247,g4d_first144_no_fault,real_inputdata_window,144,31,31:storage_in,11,47,"[13, 14]",13,13311.25552,0,5,0,0,0,11.2,1
g4d_move_0000257,g4d_first144_no_fault,real_inputdata_window,144,32,32:storage_in,11,47,"[13, 14]",13,13306.02685,0,5,0,0,0,11.2,1
g4d_move_0000265,g4d_first144_no_fault,real_inputdata_window,144,33,33:storage_in,6,47,"[8, 12]",12,13613.8,0,6,0,0,0,10,1
g4d_move_0000273,g4d_first144_no_fault,real_inputdata_window,144,34,34:storage_in,16,47,"[17, 21]",21,10914.76039,0,5,5.2,0,0,17.6,0
g4d_move_0000294,g4d_first144_no_fault,real_inputdata_window,144,36,36:storage_in,11,47,"[13, 14]",14,12100.81219,0,5,22,0,0,-9.2,0
g4d_move_0000301,g4d_first144_no_fault,real_inputdata_window,144,37,37:storage_in,19,47,"[18, 25]",18,13309.39916,0,5,0,0,0,2.8,1
g4d_move_0000311,g4d_first144_no_fault,real_inputdata_window,144,38,38:storage_in,11,47,"[13, 14]",13,13595.54551,0,5,0,0,0,11.2,1
g4d_move_0000318,g4d_first144_no_fault,real_inputdata_window,144,39,39:storage_in,16,47,"[17, 21]",17,13606.62576,0,6,0,0,0,3.6,1
g4d_move_0000326,g4d_first144_no_fault,real_inputdata_window,144,40,40:storage_in,6,47,"[8, 12]",12,12103.65556,0,6,0,0,0,10,1
g4d_move_0000336,g4d_first144_no_fault,real_inputdata_window,144,41,41:storage_in,11,47,"[13, 14]",13,12142.1934,0,5,0,0,0,11.2,1
g4d_move_0000350,g4d_first144_no_fault,real_inputdata_window,144,43,43:storage_in,19,47,"[18, 25]",18,12132.25038,0,5,0,0,0,2.8,1
g4d_move_0000357,g4d_first144_no_fault,real_inputdata_window,144,44,44:storage_in,16,47,"[17, 21]",17,10329.4511,0,6,0,0,0,3.6,1
g4d_move_0000367,g4d_first144_no_fault,real_inputdata_window,144,45,45:storage_in,11,47,"[13, 14]",13,13016.58885,0,5,0,0,0,11.2,1
g4d_move_0000384,g4d_first144_no_fault,real_inputdata_window,144,47,47:storage_in,11,47,"[13, 14]",13,12706.21219,0,5,0,0,0,11.2,1
g4d_move_0000399,g4d_first144_no_fault,real_inputdata_window,144,49,49:storage_in,6,47,"[8, 12]",12,12112.8,0,6,0,0,0,10,1
g4d_move_0000409,g4d_first144_no_fault,real_inputdata_window,144,50,50:storage_in,11,47,"[13, 14]",13,12103.4789,0,5,0,0,0,11.2,1
g4d_move_0000416,g4d_first144_no_fault,real_inputdata_window,144,51,51:storage_in,19,47,"[18, 25]",25,12712.06582,0,9,27.2,0,0,-13.2,0
g4d_move_0000430,g4d_first144_no_fault,real_inputdata_window,144,52,52:storage_in,11,47,"[13, 14]",13,13298.19551,0,5,0,0,0,11.2,1
g4d_move_0000437,g4d_first144_no_fault,real_inputdata_window,144,53,53:storage_in,16,47,"[17, 21]",17,13309.42704,0,6,0,0,0,3.6,1
g4d_move_0000446,g4d_first144_no_fault,real_inputdata_window,144,54,54:storage_in,6,47,"[8, 12]",12,13305.8,0,6,0,0,0,10,1
g4d_move_0000454,g4d_first144_no_fault,real_inputdata_window,144,55,55:storage_in,6,47,"[8, 12]",12,12989.5455,0,6,0,0,0,10,1
g4d_move_0000469,g4d_first144_no_fault,real_inputdata_window,144,57,57:storage_in,19,47,"[18, 25]",18,9748.25035,0,5,0,0,0,2.8,1
g4d_move_0000476,g4d_first144_no_fault,real_inputdata_window,144,58,58:storage_in,16,47,"[17, 21]",17,12137.44505,0,6,0,0,0,3.6,1
