current_node,fallback_calls,would_model_have_been_wrong,unique_tasks,top_fallback_reasons,predicted_next_distribution
22,1429,398,1429,"{""low_margin"": 1429}","{""24"": 1429}"
11,1165,228,1165,"{""low_margin"": 171, ""low_margin+historical_risk"": 994}","{""13"": 994, ""14"": 171}"
20,898,79,898,"{""low_margin"": 898}","{""10"": 9, ""21"": 889}"
16,670,412,670,"{""low_margin"": 670}","{""21"": 670}"
19,657,304,657,"{""low_margin"": 54, ""low_margin+historical_risk"": 603}","{""18"": 603, ""25"": 54}"
6,489,196,489,"{""low_margin"": 69, ""low_margin+historical_risk"": 420}","{""8"": 69, ""12"": 420}"
9,482,73,482,"{""low_margin"": 482}","{""7"": 413, ""10"": 69}"
31,254,5,254,"{""low_margin"": 254}","{""32"": 254}"
33,123,0,123,"{""low_margin"": 123}","{""44"": 123}"
36,122,6,122,"{""low_margin"": 122}","{""44"": 122}"
32,119,0,119,"{""low_margin"": 119}","{""37"": 119}"
52,101,49,101,"{""low_margin"": 101}","{""29"": 80, ""40"": 21}"
38,89,1,89,"{""low_margin"": 89}","{""37"": 89}"
41,78,1,78,"{""low_margin"": 78}","{""45"": 78}"
27,59,0,59,"{""low_margin"": 59}","{""45"": 59}"
42,51,19,51,"{""low_margin"": 51}","{""30"": 51}"
