candidate,margin_threshold,historical_risk_threshold,bottleneck_threshold,learned_rule_count,planned_count,teacher_planned_count,node_window_conflicts,wrong_high_confidence_actions,fallback_calls,fallback_rate_by_interface,fallback_rate_by_task,a_star_call_reduction,model_only_task_count,zero_fallback_task_share,teacher_planned_scope_match
threshold_only,1,0.5,2,0,3862,4449,0,596,7744,0.19698319,1,0.5114812,0,0,False
hardcase_rules,1,0.5,2,16,4449,4449,0,0,10844,0.27583751,1,0.31592228,0,0,True
threshold_only,1,0.5,5,0,3862,4449,0,596,3295,0.08381451,0.59856147,0.79213979,1786,0.40143853,False
hardcase_rules,1,0.5,5,16,4449,4449,0,0,6395,0.16266884,0.98291751,0.59658087,76,0.01708249,True
threshold_only,1,0.5,99,0,3862,4449,0,596,3295,0.08381451,0.59856147,0.79213979,1786,0.40143853,False
hardcase_rules,1,0.5,99,16,4449,4449,0,0,6395,0.16266884,0.98291751,0.59658087,76,0.01708249,True
threshold_only,1,0.7,2,0,3862,4449,0,596,7744,0.19698319,1,0.5114812,0,0,False
hardcase_rules,1,0.7,2,16,4449,4449,0,0,10844,0.27583751,1,0.31592228,0,0,True
threshold_only,1,0.7,5,0,3862,4449,0,596,3295,0.08381451,0.59856147,0.79213979,1786,0.40143853,False
hardcase_rules,1,0.7,5,16,4449,4449,0,0,6395,0.16266884,0.98291751,0.59658087,76,0.01708249,True
threshold_only,1,0.7,99,0,3862,4449,0,596,3295,0.08381451,0.59856147,0.79213979,1786,0.40143853,False
hardcase_rules,1,0.7,99,16,4449,4449,0,0,6395,0.16266884,0.98291751,0.59658087,76,0.01708249,True
threshold_only,1,0.85,2,0,3862,4449,0,596,7744,0.19698319,1,0.5114812,0,0,False
hardcase_rules,1,0.85,2,16,4449,4449,0,0,10844,0.27583751,1,0.31592228,0,0,True
threshold_only,1,0.85,5,0,3862,4449,0,596,3295,0.08381451,0.59856147,0.79213979,1786,0.40143853,False
hardcase_rules,1,0.85,5,16,4449,4449,0,0,6395,0.16266884,0.98291751,0.59658087,76,0.01708249,True
threshold_only,1,0.85,99,0,3862,4449,0,596,3295,0.08381451,0.59856147,0.79213979,1786,0.40143853,False
hardcase_rules,1,0.85,99,16,4449,4449,0,0,6395,0.16266884,0.98291751,0.59658087,76,0.01708249,True
threshold_only,1,0.95,2,0,3862,4449,0,596,7744,0.19698319,1,0.5114812,0,0,False
hardcase_rules,1,0.95,2,16,4449,4449,0,0,10844,0.27583751,1,0.31592228,0,0,True
threshold_only,1,0.95,5,0,3862,4449,0,596,3295,0.08381451,0.59856147,0.79213979,1786,0.40143853,False
hardcase_rules,1,0.95,5,16,4449,4449,0,0,6395,0.16266884,0.98291751,0.59658087,76,0.01708249,True
threshold_only,1,0.95,99,0,3862,4449,0,596,3295,0.08381451,0.59856147,0.79213979,1786,0.40143853,False
hardcase_rules,1,0.95,99,16,4449,4449,0,0,6395,0.16266884,0.98291751,0.59658087,76,0.01708249,True
threshold_only,1,0.99,2,0,3862,4449,0,596,7744,0.19698319,1,0.5114812,0,0,False
hardcase_rules,1,0.99,2,16,4449,4449,0,0,10844,0.27583751,1,0.31592228,0,0,True
threshold_only,1,0.99,5,0,3862,4449,0,596,3295,0.08381451,0.59856147,0.79213979,1786,0.40143853,False
hardcase_rules,1,0.99,5,16,4449,4449,0,0,6395,0.16266884,0.98291751,0.59658087,76,0.01708249,True
threshold_only,1,0.99,99,0,3862,4449,0,596,3295,0.08381451,0.59856147,0.79213979,1786,0.40143853,False
hardcase_rules,1,0.99,99,16,4449,4449,0,0,6395,0.16266884,0.98291751,0.59658087,76,0.01708249,True
threshold_only,2,0.5,2,0,3998,4449,0,451,8961,0.22793987,1,0.43470855,0,0,False
hardcase_rules,2,0.5,2,10,4449,4449,0,0,10898,0.2772111,1,0.31251577,0,0,True
threshold_only,2,0.5,5,0,3998,4449,0,451,4512,0.1147712,0.84198696,0.71536715,703,0.15801304,False
hardcase_rules,2,0.5,5,10,4449,4449,0,0,6449,0.16404243,0.99190829,0.59317436,36,0.00809171,True
threshold_only,2,0.5,99,0,3998,4449,0,451,4512,0.1147712,0.84198696,0.71536715,703,0.15801304,False
hardcase_rules,2,0.5,99,10,4449,4449,0,0,6449,0.16404243,0.99190829,0.59317436,36,0.00809171,True
threshold_only,2,0.7,2,0,3998,4449,0,451,8961,0.22793987,1,0.43470855,0,0,False
hardcase_rules,2,0.7,2,10,4449,4449,0,0,10898,0.2772111,1,0.31251577,0,0,True
threshold_only,2,0.7,5,0,3998,4449,0,451,4512,0.1147712,0.84198696,0.71536715,703,0.15801304,False
hardcase_rules,2,0.7,5,10,4449,4449,0,0,6449,0.16404243,0.99190829,0.59317436,36,0.00809171,True
threshold_only,2,0.7,99,0,3998,4449,0,451,4512,0.1147712,0.84198696,0.71536715,703,0.15801304,False
hardcase_rules,2,0.7,99,10,4449,4449,0,0,6449,0.16404243,0.99190829,0.59317436,36,0.00809171,True
threshold_only,2,0.85,2,0,3998,4449,0,451,8961,0.22793987,1,0.43470855,0,0,False
hardcase_rules,2,0.85,2,10,4449,4449,0,0,10898,0.2772111,1,0.31251577,0,0,True
threshold_only,2,0.85,5,0,3998,4449,0,451,4512,0.1147712,0.84198696,0.71536715,703,0.15801304,False
hardcase_rules,2,0.85,5,10,4449,4449,0,0,6449,0.16404243,0.99190829,0.59317436,36,0.00809171,True
threshold_only,2,0.85,99,0,3998,4449,0,451,4512,0.1147712,0.84198696,0.71536715,703,0.15801304,False
hardcase_rules,2,0.85,99,10,4449,4449,0,0,6449,0.16404243,0.99190829,0.59317436,36,0.00809171,True
threshold_only,2,0.95,2,0,3998,4449,0,451,8961,0.22793987,1,0.43470855,0,0,False
hardcase_rules,2,0.95,2,10,4449,4449,0,0,10898,0.2772111,1,0.31251577,0,0,True
threshold_only,2,0.95,5,0,3998,4449,0,451,4512,0.1147712,0.84198696,0.71536715,703,0.15801304,False
hardcase_rules,2,0.95,5,10,4449,4449,0,0,6449,0.16404243,0.99190829,0.59317436,36,0.00809171,True
threshold_only,2,0.95,99,0,3998,4449,0,451,4512,0.1147712,0.84198696,0.71536715,703,0.15801304,False
hardcase_rules,2,0.95,99,10,4449,4449,0,0,6449,0.16404243,0.99190829,0.59317436,36,0.00809171,True
threshold_only,2,0.99,2,0,3998,4449,0,451,8961,0.22793987,1,0.43470855,0,0,False
hardcase_rules,2,0.99,2,10,4449,4449,0,0,10898,0.2772111,1,0.31251577,0,0,True
threshold_only,2,0.99,5,0,3998,4449,0,451,4512,0.1147712,0.84198696,0.71536715,703,0.15801304,False
hardcase_rules,2,0.99,5,10,4449,4449,0,0,6449,0.16404243,0.99190829,0.59317436,36,0.00809171,True
threshold_only,2,0.99,99,0,3998,4449,0,451,4512,0.1147712,0.84198696,0.71536715,703,0.15801304,False
hardcase_rules,2,0.99,99,10,4449,4449,0,0,6449,0.16404243,0.99190829,0.59317436,36,0.00809171,True
threshold_only,3,0.5,2,0,4399,4449,0,50,10544,0.26820645,1,0.33484734,0,0,False
hardcase_rules,3,0.5,2,5,4449,4449,0,0,10933,0.27810139,1,0.31030785,0,0,True
threshold_only,3,0.5,5,0,4399,4449,0,50,6095,0.15503777,0.98786244,0.61550593,54,0.01213756,False
hardcase_rules,3,0.5,5,5,4449,4449,0,0,6484,0.16493272,0.99977523,0.59096644,1,0.00022477,True
threshold_only,3,0.5,99,0,4399,4449,0,50,6095,0.15503777,0.98786244,0.61550593,54,0.01213756,False
hardcase_rules,3,0.5,99,5,4449,4449,0,0,6484,0.16493272,0.99977523,0.59096644,1,0.00022477,True
threshold_only,3,0.7,2,0,4399,4449,0,50,10544,0.26820645,1,0.33484734,0,0,False
hardcase_rules,3,0.7,2,5,4449,4449,0,0,10933,0.27810139,1,0.31030785,0,0,True
threshold_only,3,0.7,5,0,4399,4449,0,50,6095,0.15503777,0.98786244,0.61550593,54,0.01213756,False
hardcase_rules,3,0.7,5,5,4449,4449,0,0,6484,0.16493272,0.99977523,0.59096644,1,0.00022477,True
threshold_only,3,0.7,99,0,4399,4449,0,50,6095,0.15503777,0.98786244,0.61550593,54,0.01213756,False
hardcase_rules,3,0.7,99,5,4449,4449,0,0,6484,0.16493272,0.99977523,0.59096644,1,0.00022477,True
threshold_only,3,0.85,2,0,4399,4449,0,50,10544,0.26820645,1,0.33484734,0,0,False
hardcase_rules,3,0.85,2,5,4449,4449,0,0,10933,0.27810139,1,0.31030785,0,0,True
threshold_only,3,0.85,5,0,4399,4449,0,50,6095,0.15503777,0.98786244,0.61550593,54,0.01213756,False
hardcase_rules,3,0.85,5,5,4449,4449,0,0,6484,0.16493272,0.99977523,0.59096644,1,0.00022477,True
threshold_only,3,0.85,99,0,4399,4449,0,50,6095,0.15503777,0.98786244,0.61550593,54,0.01213756,False
hardcase_rules,3,0.85,99,5,4449,4449,0,0,6484,0.16493272,0.99977523,0.59096644,1,0.00022477,True
threshold_only,3,0.95,2,0,4399,4449,0,50,10544,0.26820645,1,0.33484734,0,0,False
hardcase_rules,3,0.95,2,5,4449,4449,0,0,10933,0.27810139,1,0.31030785,0,0,True
threshold_only,3,0.95,5,0,4399,4449,0,50,6095,0.15503777,0.98786244,0.61550593,54,0.01213756,False
hardcase_rules,3,0.95,5,5,4449,4449,0,0,6484,0.16493272,0.99977523,0.59096644,1,0.00022477,True
threshold_only,3,0.95,99,0,4399,4449,0,50,6095,0.15503777,0.98786244,0.61550593,54,0.01213756,False
hardcase_rules,3,0.95,99,5,4449,4449,0,0,6484,0.16493272,0.99977523,0.59096644,1,0.00022477,True
threshold_only,3,0.99,2,0,4399,4449,0,50,10544,0.26820645,1,0.33484734,0,0,False
hardcase_rules,3,0.99,2,5,4449,4449,0,0,10933,0.27810139,1,0.31030785,0,0,True
threshold_only,3,0.99,5,0,4399,4449,0,50,6095,0.15503777,0.98786244,0.61550593,54,0.01213756,False
hardcase_rules,3,0.99,5,5,4449,4449,0,0,6484,0.16493272,0.99977523,0.59096644,1,0.00022477,True
threshold_only,3,0.99,99,0,4399,4449,0,50,6095,0.15503777,0.98786244,0.61550593,54,0.01213756,False
hardcase_rules,3,0.99,99,5,4449,4449,0,0,6484,0.16493272,0.99977523,0.59096644,1,0.00022477,True
threshold_only,4,0.5,2,0,4442,4449,0,7,10741,0.27321751,1,0.32241988,0,0,False
hardcase_rules,4,0.5,2,2,4449,4449,0,0,10934,0.27812683,1,0.31024476,0,0,True
threshold_only,4,0.5,5,0,4442,4449,0,7,6292,0.16004884,1,0.60307848,0,0,False
hardcase_rules,4,0.5,5,2,4449,4449,0,0,6485,0.16495816,1,0.59090336,0,0,True
threshold_only,4,0.5,99,0,4442,4449,0,7,6292,0.16004884,1,0.60307848,0,0,False
hardcase_rules,4,0.5,99,2,4449,4449,0,0,6485,0.16495816,1,0.59090336,0,0,True
threshold_only,4,0.7,2,0,4442,4449,0,7,10741,0.27321751,1,0.32241988,0,0,False
hardcase_rules,4,0.7,2,2,4449,4449,0,0,10934,0.27812683,1,0.31024476,0,0,True
threshold_only,4,0.7,5,0,4442,4449,0,7,6292,0.16004884,1,0.60307848,0,0,False
hardcase_rules,4,0.7,5,2,4449,4449,0,0,6485,0.16495816,1,0.59090336,0,0,True
threshold_only,4,0.7,99,0,4442,4449,0,7,6292,0.16004884,1,0.60307848,0,0,False
hardcase_rules,4,0.7,99,2,4449,4449,0,0,6485,0.16495816,1,0.59090336,0,0,True
threshold_only,4,0.85,2,0,4442,4449,0,7,10741,0.27321751,1,0.32241988,0,0,False
hardcase_rules,4,0.85,2,2,4449,4449,0,0,10934,0.27812683,1,0.31024476,0,0,True
threshold_only,4,0.85,5,0,4442,4449,0,7,6292,0.16004884,1,0.60307848,0,0,False
hardcase_rules,4,0.85,5,2,4449,4449,0,0,6485,0.16495816,1,0.59090336,0,0,True
threshold_only,4,0.85,99,0,4442,4449,0,7,6292,0.16004884,1,0.60307848,0,0,False
hardcase_rules,4,0.85,99,2,4449,4449,0,0,6485,0.16495816,1,0.59090336,0,0,True
threshold_only,4,0.95,2,0,4442,4449,0,7,10741,0.27321751,1,0.32241988,0,0,False
hardcase_rules,4,0.95,2,2,4449,4449,0,0,10934,0.27812683,1,0.31024476,0,0,True
threshold_only,4,0.95,5,0,4442,4449,0,7,6292,0.16004884,1,0.60307848,0,0,False
hardcase_rules,4,0.95,5,2,4449,4449,0,0,6485,0.16495816,1,0.59090336,0,0,True
threshold_only,4,0.95,99,0,4442,4449,0,7,6292,0.16004884,1,0.60307848,0,0,False
hardcase_rules,4,0.95,99,2,4449,4449,0,0,6485,0.16495816,1,0.59090336,0,0,True
threshold_only,4,0.99,2,0,4442,4449,0,7,10741,0.27321751,1,0.32241988,0,0,False
hardcase_rules,4,0.99,2,2,4449,4449,0,0,10934,0.27812683,1,0.31024476,0,0,True
threshold_only,4,0.99,5,0,4442,4449,0,7,6292,0.16004884,1,0.60307848,0,0,False
hardcase_rules,4,0.99,5,2,4449,4449,0,0,6485,0.16495816,1,0.59090336,0,0,True
threshold_only,4,0.99,99,0,4442,4449,0,7,6292,0.16004884,1,0.60307848,0,0,False
hardcase_rules,4,0.99,99,2,4449,4449,0,0,6485,0.16495816,1,0.59090336,0,0,True
threshold_only,5,0.5,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,5,0.5,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,5,0.5,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.5,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.5,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.5,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.7,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,5,0.7,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,5,0.7,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.7,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.7,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.7,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.85,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,5,0.85,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,5,0.85,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.85,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.85,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.85,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.95,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,5,0.95,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,5,0.95,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.95,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.95,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.95,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.99,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,5,0.99,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,5,0.99,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.99,5,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,5,0.99,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
hardcase_rules,5,0.99,99,0,4449,4449,0,0,6786,0.17261466,1,0.57191522,0,0,True
threshold_only,6,0.5,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,6,0.5,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,6,0.5,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.5,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.5,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.5,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.7,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
hardcase_rules,6,0.7,2,0,4449,4449,0,0,11235,0.28578333,1,0.29125662,0,0,True
threshold_only,6,0.7,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.7,5,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
threshold_only,6,0.7,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
hardcase_rules,6,0.7,99,0,4449,4449,0,0,10035,0.25525907,1,0.36695685,0,0,True
