mode,stage,stage_type,repeat_count,mean_value,std_value,ci95_value,share_of_cpp_elapsed,notes
cpp_profile_on_trace0_summary,bottleneck_score_computation,seconds,5,0.00469446,0.00015842,0.00013886,0.0110329,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,candidate_enumeration,seconds,5,0.00514966,0.00019684,0.00017254,0.01210271,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,earliest_safe_lookup_count,counter,5,39684,0,0,,C++ profiler counter
cpp_profile_on_trace0_summary,earliest_safe_reservation_lookup,seconds,5,0.09572248,0.0025356,0.00222255,0.22496666,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,earliest_safe_scan_count,counter,5,7074907,0,0,,C++ profiler counter
cpp_profile_on_trace0_summary,edge_overlap_diagnostic,seconds,5,0.01639004,0.00029699,0.00026032,0.03851982,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,feature_row_computation,seconds,5,0.11753254,0.00226018,0.00198114,0.27622459,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,graph_construction,seconds,5,0.00003984,0.00000349,0.00000306,0.00009363,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,historical_risk_lookup,seconds,5,0.0044605,0.00017764,0.00015571,0.01048305,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,model_construction,seconds,5,0.00000194,0.00000011,0.0000001,0.00000456,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,model_inference,seconds,5,0.04520038,0.00139861,0.00122593,0.10622978,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,node_window_conflict_audit,seconds,5,0.00674196,0.00011276,0.00009884,0.01584493,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,per_window_aggregation,seconds,5,0.0000981,0.00000507,0.00000445,0.00023055,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,pibt_lite_fallback_scoring,seconds,5,0.02726482,0.00040593,0.00035581,0.06407769,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,pybind_payload_construction,seconds,5,0.00000674,0.00000041,0.00000036,0.00001584,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,reservation_append,seconds,5,0.00621518,0.00016751,0.00014683,0.0146069,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,risk_gate_rule_override,seconds,5,0.00340294,0.00010322,0.00009047,0.00799758,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,runtime_selection_validation,seconds,5,0.00355628,0.00014829,0.00012998,0.00835796,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,score_sort_margin,seconds,5,0.0052037,0.00019103,0.00016745,0.01222972,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,source_reservation_lookup,seconds,5,0.00363324,0.00012491,0.00010948,0.00853883,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,task_row_construction,seconds,5,0.00020888,0.00000885,0.00000776,0.00049091,C++ steady-clock stage timing
cpp_profile_on_trace0_summary,window_route_grouping,seconds,5,0.00255086,0.00016549,0.00014506,0.00599502,C++ steady-clock stage timing
cpp_profile_on_trace500_tasks,bottleneck_score_computation,seconds,5,0.00463986,0.00009281,0.00008135,0.01031378,C++ steady-clock stage timing
cpp_profile_on_trace500_tasks,candidate_enumeration,seconds,5,0.0051897,0.00013059,0.00011446,0.011536,C++ steady-clock stage timing
cpp_profile_on_trace500_tasks,earliest_safe_lookup_count,counter,5,39684,0,0,,C++ profiler counter
