policy,role,planned_count,scope_total,failed_count,node_window_conflicts,runtime_full_cie_astar_calls,model_inference_count,rule_fallback_calls,fallback_share,source_retry_count,loop_count,nonprogress_steps,route_signature_match_rate,mean_path_stretch_vs_teacher,p95_wait_seconds,p95_transport_seconds,notes
model_only_no_astar,diagnostic_model_only,4449,4449,0,0,0,34477,0,0,34,0,2264,0.64059339,0.91413584,6.981832,201.583331,No runtime full CIE/A* fallback.
pibt_lite_only,diagnostic_rule_only,582,4449,3867,0,0,0,98518,1,34,27907,31877,0.05866487,2.47554778,24.263313,258.009259,No runtime full CIE/A* fallback.
model_plus_pibt_lite,candidate,4449,4449,0,0,0,35235,6612,0.15800416,34,0,2214,0.69611149,0.93208671,5.711682,201.4,No runtime full CIE/A* fallback.
model_plus_static_distance_fallback,candidate,4449,4449,0,0,0,35262,6639,0.15844491,34,0,2311,0.69049225,0.9325838,6.552879,201.4,No runtime full CIE/A* fallback.
model_plus_node_window_greedy,candidate,4449,4449,0,0,0,35242,6619,0.15811854,34,0,2224,0.69588672,0.93221351,5.734173,201.4,No runtime full CIE/A* fallback.
model_plus_k_step_local_window,candidate,4449,4449,0,0,0,39269,6964,0.15062834,34,1100,3275,0.62508429,1.01024872,6.307401,249.8,No runtime full CIE/A* fallback.
model_plus_pibt_lite_risk_abstain_off,risk_gate_ablation,4449,4449,0,0,0,34477,0,0,34,0,2264,0.64059339,0.91413584,6.981832,201.583331,No runtime full CIE/A* fallback.
model_plus_pibt_lite_no_historical_risk,risk_gate_ablation,4449,4449,0,0,0,35235,5175,0.12806236,34,0,2214,0.69611149,0.93208671,5.711682,201.4,No runtime full CIE/A* fallback.
model_plus_pibt_lite_no_bottleneck_risk,risk_gate_ablation,4449,4449,0,0,0,35235,6612,0.15800416,34,0,2214,0.69611149,0.93208671,5.711682,201.4,No runtime full CIE/A* fallback.
model_plus_pibt_lite_margin_only,risk_gate_ablation,4449,4449,0,0,0,35235,1689,0.04574261,34,0,2214,0.69611149,0.93208671,5.711682,201.4,No runtime full CIE/A* fallback.
