field_path,lineage,role,origin,availability,sources,available_at_decision,model_input_allowed,derivation,prohibited_as_runtime_feature,lineage_status,storage_boundary
event_scheduler.current_time,runtime,dependency_leaf,event_scheduler,decision_time,[],true,false,,false,PASS,lineage_dependency
bag.current_node,runtime,dependency_leaf,bag_agent_local_state,decision_time,[],true,false,,false,PASS,lineage_dependency
bag.goal_node,runtime,dependency_leaf,immutable_task_request,static,[],true,false,,false,PASS,lineage_dependency
bag.bounded_history,runtime,dependency_leaf,bag_agent_local_state,decision_time,[],true,false,,false,PASS,lineage_dependency
graph.outgoing_adjacency,runtime,dependency_leaf,official_map_local_adjacency,static,[],true,false,,false,PASS,lineage_dependency
graph.static_potential,runtime,dependency_leaf,official_map_static_goal_potential,static,[],true,false,,false,PASS,lineage_dependency
graph.edge_travel_time,runtime,dependency_leaf,official_map_directed_edge,static,[],true,false,,false,PASS,lineage_dependency
local_neighbor.queue_length,runtime,dependency_leaf,bounded_neighbor_beacon,decision_time,[],true,false,,false,PASS,lineage_dependency
local_neighbor.scheduled_incoming,runtime,dependency_leaf,bounded_neighbor_beacon,decision_time,[],true,false,,false,PASS,lineage_dependency
local_neighbor.next_available_time,runtime,dependency_leaf,bounded_neighbor_beacon,decision_time,[],true,false,,false,PASS,lineage_dependency
local_edge.next_available_time,runtime,dependency_leaf,junction_owned_one_step_calendar,decision_time,[],true,false,,false,PASS,lineage_dependency
congestion_beacon.advertised_fault,runtime,dependency_leaf,bounded_neighbor_beacon,decision_time,[],true,false,,false,PASS,lineage_dependency
congestion_beacon.fault_message_timestamp,runtime,dependency_leaf,bounded_neighbor_beacon,decision_time,[],true,false,,false,PASS,lineage_dependency
bounded_two_hop.queue_summary,runtime,dependency_leaf,bounded_two_hop_beacon,decision_time,[],true,false,,false,PASS,lineage_dependency
local_junction.queue_length,runtime,dependency_leaf,junction_controller_local_state,decision_time,[],true,false,,false,PASS,lineage_dependency
local_junction.next_available_time,runtime,dependency_leaf,junction_controller_local_state,decision_time,[],true,false,,false,PASS,lineage_dependency
local_junction.faulted_outgoing_count,runtime,dependency_leaf,junction_controller_local_state,decision_time,[],true,false,,false,PASS,lineage_dependency
local_junction.message_age_seconds,runtime,dependency_leaf,junction_controller_local_state,decision_time,[],true,false,,false,PASS,lineage_dependency
local_junction.downstream_pressure,runtime,dependency_leaf,bounded_neighbor_beacon,decision_time,[],true,false,,false,PASS,lineage_dependency
local_junction.recent_throughput,runtime,dependency_leaf,junction_controller_local_state,decision_time,[],true,false,,false,PASS,lineage_dependency
local_junction.local_wait_seconds,runtime,dependency_leaf,junction_controller_local_state,decision_time,[],true,false,,false,PASS,lineage_dependency
local_junction.active_reservation_count,runtime,dependency_leaf,junction_owned_one_step_calendar,decision_time,[],true,false,,false,PASS,lineage_dependency
local_safety_shield.state,runtime,dependency_leaf,bounded_local_safety_state,decision_time,[],true,false,,false,PASS,lineage_dependency
runtime.model_parameters,runtime,dependency_leaf,frozen_policy_bundle,static,[],true,false,,false,PASS,lineage_dependency
runtime.full_astar_counter,runtime,dependency_leaf,event_runtime_invariant_counter,decision_time,[],true,false,,false,PASS,lineage_dependency
decision_id,metadata,identity,event_runtime,decision_time,[],true,false,stable runtime decision identifier,false,PASS,trace_or_sample_metadata
task_id,metadata,identity,source_task_jsonl,pre_run,[],true,false,,false,PASS,trace_or_sample_metadata
segment_id,metadata,identity,source_task_jsonl,pre_run,[],true,false,,false,PASS,trace_or_sample_metadata
event_time,runtime,observation,event_scheduler,decision_time,"[""event_scheduler.current_time""]",true,true,,false,PASS,decision_trace
current_node,runtime,observation,bag_agent,decision_time,"[""bag.current_node""]",true,true,,false,PASS,decision_trace
goal_node,runtime,observation,task_request,static,"[""bag.goal_node""]",true,true,,false,PASS,decision_trace
candidate_next_nodes,runtime,candidate_structure,official_map,static,"[""graph.outgoing_adjacency"",""current_node""]",true,false,,false,PASS,decision_trace
candidate_records[].next_node,runtime,candidate_structure,official_map,static,"[""candidate_next_nodes""]",true,false,,false,PASS,decision_trace
candidate_records[].features.static_potential,runtime,model_feature,bounded_local_feature_builder,decision_time,"[""graph.static_potential"",""goal_node"",""candidate_records[].next_node""]",true,true,deterministic candidate-local feature,false,PASS,decision_trace
candidate_records[].features.travel_time,runtime,model_feature,bounded_local_feature_builder,decision_time,"[""graph.edge_travel_time"",""current_node"",""candidate_records[].next_node""]",true,true,deterministic candidate-local feature,false,PASS,decision_trace
candidate_records[].features.target_queue_length,runtime,model_feature,bounded_local_feature_builder,decision_time,"[""local_neighbor.queue_length""]",true,true,deterministic candidate-local feature,false,PASS,decision_trace
candidate_records[].features.target_scheduled_incoming,runtime,model_feature,bounded_local_feature_builder,decision_time,"[""local_neighbor.scheduled_incoming""]",true,true,deterministic candidate-local feature,false,PASS,decision_trace
candidate_records[].features.corridor_next_available,runtime,model_feature,bounded_local_feature_builder,decision_time,"[""local_edge.next_available_time"",""event_time""]",true,true,deterministic candidate-local feature,false,PASS,decision_trace
candidate_records[].features.target_next_available,runtime,model_feature,bounded_local_feature_builder,decision_time,"[""local_neighbor.next_available_time"",""event_time""]",true,true,deterministic candidate-local feature,false,PASS,decision_trace
candidate_records[].features.advertised_fault,runtime,model_feature,bounded_local_feature_builder,decision_time,"[""congestion_beacon.advertised_fault""]",true,true,deterministic candidate-local feature,false,PASS,decision_trace
candidate_records[].features.fault_message_age_seconds,runtime,model_feature,bounded_local_feature_builder,decision_time,"[""event_time"",""congestion_beacon.fault_message_timestamp""]",true,true,deterministic candidate-local feature,false,PASS,decision_trace
candidate_records[].features.recent_visit_count,runtime,model_feature,bounded_local_feature_builder,decision_time,"[""short_history"",""candidate_records[].next_node""]",true,true,deterministic candidate-local feature,false,PASS,decision_trace
