decision_id,runtime_bag_id,task_id,segment_id,source_node,goal_node,original_arrival_time,java_arrival_epoch,release_time,source_queue_delay_seconds,raw_arrival_to_release_delta_seconds,source_queue_rank,mapping_source
trace_highflow_2p5:0:1,0,0,0:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,8268.231297181903,8268,8268.231297181903,0.2312971819028462,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:0:2,0,0,0:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,8268.231297181903,8268,8268.231297181903,0.2312971819028462,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:0:3,0,0,0:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,8268.231297181903,8268,8268.231297181903,0.2312971819028462,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:0:4,0,0,0:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,8268.231297181903,8268,8268.231297181903,0.2312971819028462,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:0:5,0,0,0:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,8268.231297181903,8268,8268.231297181903,0.2312971819028462,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:0:6,0,0,0:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,8268.231297181903,8268,8268.231297181903,0.2312971819028462,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:0:7,0,0,0:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,8268.231297181903,8268,8268.231297181903,0.2312971819028462,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:0:8,0,0,0:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,8268.231297181903,8268,8268.231297181903,0.2312971819028462,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:44:9,1,44,44:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,11870.163854905382,11870,11870.163854905382,0.1638549053823226,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:44:10,1,44,44:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,11870.163854905382,11870,11870.163854905382,0.1638549053823226,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:44:11,1,44,44:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,11870.163854905382,11870,11870.163854905382,0.1638549053823226,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:44:12,1,44,44:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,11870.163854905382,11870,11870.163854905382,0.1638549053823226,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:44:13,1,44,44:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,11870.163854905382,11870,11870.163854905382,0.1638549053823226,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:44:14,1,44,44:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,11870.163854905382,11870,11870.163854905382,0.1638549053823226,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:44:15,1,44,44:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,11870.163854905382,11870,11870.163854905382,0.1638549053823226,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:44:16,1,44,44:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,11870.163854905382,11870,11870.163854905382,0.1638549053823226,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:87:17,2,87,87:storage_in:g4irsf11_c0:trace_highflow_2p5,3,47,13065.50250249895,13065,13065.50250249895,0.5025024989499798,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:87:18,2,87,87:storage_in:g4irsf11_c0:trace_highflow_2p5,3,47,13065.50250249895,13065,13065.50250249895,0.5025024989499798,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:87:19,2,87,87:storage_in:g4irsf11_c0:trace_highflow_2p5,3,47,13065.50250249895,13065,13065.50250249895,0.5025024989499798,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:87:20,2,87,87:storage_in:g4irsf11_c0:trace_highflow_2p5,3,47,13065.50250249895,13065,13065.50250249895,0.5025024989499798,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:87:21,2,87,87:storage_in:g4irsf11_c0:trace_highflow_2p5,3,47,13065.50250249895,13065,13065.50250249895,0.5025024989499798,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:87:22,2,87,87:storage_in:g4irsf11_c0:trace_highflow_2p5,3,47,13065.50250249895,13065,13065.50250249895,0.5025024989499798,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:87:23,2,87,87:storage_in:g4irsf11_c0:trace_highflow_2p5,3,47,13065.50250249895,13065,13065.50250249895,0.5025024989499798,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:87:24,2,87,87:storage_in:g4irsf11_c0:trace_highflow_2p5,3,47,13065.50250249895,13065,13065.50250249895,0.5025024989499798,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:129:25,3,129,129:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,13665.876196906696,13665,13665.876196906696,0.8761969066963502,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:129:26,3,129,129:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,13665.876196906696,13665,13665.876196906696,0.8761969066963502,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:129:27,3,129,129:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,13665.876196906696,13665,13665.876196906696,0.8761969066963502,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:129:28,3,129,129:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,13665.876196906696,13665,13665.876196906696,0.8761969066963502,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:129:29,3,129,129:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,13665.876196906696,13665,13665.876196906696,0.8761969066963502,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:129:30,3,129,129:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,13665.876196906696,13665,13665.876196906696,0.8761969066963502,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:129:31,3,129,129:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,13665.876196906696,13665,13665.876196906696,0.8761969066963502,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:129:32,3,129,129:storage_in:g4irsf11_c2:trace_highflow_2p5,3,47,13665.876196906696,13665,13665.876196906696,0.8761969066963502,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:170:33,4,170,170:storage_in:g4irsf11_c0:trace_highflow_2p5,2,47,14269.711430859104,14269,14269.711430859104,0.7114308591044392,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:170:34,4,170,170:storage_in:g4irsf11_c0:trace_highflow_2p5,2,47,14269.711430859104,14269,14269.711430859104,0.7114308591044392,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:170:35,4,170,170:storage_in:g4irsf11_c0:trace_highflow_2p5,2,47,14269.711430859104,14269,14269.711430859104,0.7114308591044392,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:170:36,4,170,170:storage_in:g4irsf11_c0:trace_highflow_2p5,2,47,14269.711430859104,14269,14269.711430859104,0.7114308591044392,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:170:37,4,170,170:storage_in:g4irsf11_c0:trace_highflow_2p5,2,47,14269.711430859104,14269,14269.711430859104,0.7114308591044392,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:170:38,4,170,170:storage_in:g4irsf11_c0:trace_highflow_2p5,2,47,14269.711430859104,14269,14269.711430859104,0.7114308591044392,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:170:39,4,170,170:storage_in:g4irsf11_c0:trace_highflow_2p5,2,47,14269.711430859104,14269,14269.711430859104,0.7114308591044392,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:170:40,4,170,170:storage_in:g4irsf11_c0:trace_highflow_2p5,2,47,14269.711430859104,14269,14269.711430859104,0.7114308591044392,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:170:41,4,170,170:storage_in:g4irsf11_c0:trace_highflow_2p5,2,47,14269.711430859104,14269,14269.711430859104,0.7114308591044392,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:170:42,4,170,170:storage_in:g4irsf11_c0:trace_highflow_2p5,2,47,14269.711430859104,14269,14269.711430859104,0.7114308591044392,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:217:43,5,217,217:storage_in:g4irsf11_c0:trace_highflow_2p5,5,47,14867.086096054876,14867,14867.086096054876,0.08609605487617955,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:217:44,5,217,217:storage_in:g4irsf11_c0:trace_highflow_2p5,5,47,14867.086096054876,14867,14867.086096054876,0.08609605487617955,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:217:45,5,217,217:storage_in:g4irsf11_c0:trace_highflow_2p5,5,47,14867.086096054876,14867,14867.086096054876,0.08609605487617955,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:217:46,5,217,217:storage_in:g4irsf11_c0:trace_highflow_2p5,5,47,14867.086096054876,14867,14867.086096054876,0.08609605487617955,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:217:47,5,217,217:storage_in:g4irsf11_c0:trace_highflow_2p5,5,47,14867.086096054876,14867,14867.086096054876,0.08609605487617955,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:217:48,5,217,217:storage_in:g4irsf11_c0:trace_highflow_2p5,5,47,14867.086096054876,14867,14867.086096054876,0.08609605487617955,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:217:49,5,217,217:storage_in:g4irsf11_c0:trace_highflow_2p5,5,47,14867.086096054876,14867,14867.086096054876,0.08609605487617955,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:259:50,6,259,259:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15392.679523353272,15392,15392.679523353272,0.6795233532720886,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:259:51,6,259,259:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15392.679523353272,15392,15392.679523353272,0.6795233532720886,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:259:52,6,259,259:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15392.679523353272,15392,15392.679523353272,0.6795233532720886,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:259:53,6,259,259:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15392.679523353272,15392,15392.679523353272,0.6795233532720886,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:259:54,6,259,259:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15392.679523353272,15392,15392.679523353272,0.6795233532720886,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:259:55,6,259,259:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15392.679523353272,15392,15392.679523353272,0.6795233532720886,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:259:56,6,259,259:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15392.679523353272,15392,15392.679523353272,0.6795233532720886,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:300:57,7,300,300:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,15502.828107080517,15502,15502.828107080517,0.8281070805169293,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:300:58,7,300,300:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,15502.828107080517,15502,15502.828107080517,0.8281070805169293,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:300:59,7,300,300:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,15502.828107080517,15502,15502.828107080517,0.8281070805169293,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:300:60,7,300,300:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,15502.828107080517,15502,15502.828107080517,0.8281070805169293,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:300:61,7,300,300:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,15502.828107080517,15502,15502.828107080517,0.8281070805169293,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:300:62,7,300,300:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,15502.828107080517,15502,15502.828107080517,0.8281070805169293,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:300:63,7,300,300:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,15502.828107080517,15502,15502.828107080517,0.8281070805169293,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:300:64,7,300,300:storage_in:g4irsf11_c1:trace_highflow_2p5,3,47,15502.828107080517,15502,15502.828107080517,0.8281070805169293,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:343:65,8,343,343:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15828.480861929009,15828,15828.480861929009,0.4808619290088245,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:343:66,8,343,343:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15828.480861929009,15828,15828.480861929009,0.4808619290088245,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:343:67,8,343,343:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15828.480861929009,15828,15828.480861929009,0.4808619290088245,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:343:68,8,343,343:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15828.480861929009,15828,15828.480861929009,0.4808619290088245,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:343:69,8,343,343:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15828.480861929009,15828,15828.480861929009,0.4808619290088245,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:343:70,8,343,343:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15828.480861929009,15828,15828.480861929009,0.4808619290088245,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:343:71,8,343,343:storage_in:g4irsf11_c1:trace_highflow_2p5,53,47,15828.480861929009,15828,15828.480861929009,0.4808619290088245,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:390:72,9,390,390:storage_in:g4irsf11_c2:trace_highflow_2p5,0,47,16061.249544383782,16061,16061.249544383782,0.2495443837815401,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:390:73,9,390,390:storage_in:g4irsf11_c2:trace_highflow_2p5,0,47,16061.249544383782,16061,16061.249544383782,0.2495443837815401,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:390:74,9,390,390:storage_in:g4irsf11_c2:trace_highflow_2p5,0,47,16061.249544383782,16061,16061.249544383782,0.2495443837815401,0.0,0,g4irsf7_original_pass_time->pass_time
trace_highflow_2p5:390:75,9,390,390:storage_in:g4irsf11_c2:trace_highflow_2p5,0,47,16061.249544383782,16061,16061.249544383782,0.2495443837815401,0.0,0,g4irsf7_original_pass_time->pass_time
