phase,case_id,size_segments,execution_status,gate_status,credit_issued_count,credit_consumed_count,credit_expired_count,credit_fault_revocation_count,credit_generation_revocation_count,credit_local_hold_count,blocker
G,G_c0,2048,EXECUTED,PASS,0,0,0,0,0,0,
G,G_c0,8192,EXECUTED,PASS,0,0,0,0,0,0,
G,G_c1,2048,EXECUTED,PASS,0,0,0,0,0,0,
G,G_c1,8192,EXECUTED,PASS,0,0,0,0,0,0,
G,G_c2,2048,EXECUTED,PASS,0,0,0,0,0,0,
G,G_c2,8192,EXECUTED,PASS,0,0,0,0,0,0,
G,G_c3,2048,EXECUTED,PASS,0,0,0,0,0,0,
G,G_c3,8192,EXECUTED,PASS,0,0,0,0,0,0,
G,G_c4,2048,EXECUTED,PASS,2049,2048,0,0,1,2241,
G,G_c4,8192,EXECUTED,PASS,8198,8192,0,0,6,10874,
G,G_c5,2048,EXECUTED,PASS,2085,2048,8,0,29,2268,
G,G_c5,2048,EXECUTED,PASS,2085,2048,8,0,29,2268,
G,G_c5,2048,EXECUTED,PASS,2085,2048,8,0,29,2268,
G,G_c5,2048,EXECUTED,PASS,2085,2048,8,0,29,2268,
G,G_c5,2048,EXECUTED,PASS,2085,2048,8,0,29,2268,
G,G_c5,8192,EXECUTED,PASS,8856,8192,29,0,635,11360,
G,G_c5,8192,EXECUTED,PASS,8856,8192,29,0,635,11360,
G,G_c5,8192,EXECUTED,PASS,8856,8192,29,0,635,11360,
G,G_c5,8192,EXECUTED,PASS,8856,8192,29,0,635,11360,
G,G_c5,8192,EXECUTED,PASS,8856,8192,29,0,635,11360,
G,G_c6,2048,EXECUTED,PASS,2085,2048,8,0,29,2268,
G,G_c6,2048,EXECUTED,PASS,2085,2048,8,0,29,2268,
G,G_c6,2048,EXECUTED,PASS,2085,2048,8,0,29,2268,
G,G_c6,2048,EXECUTED,PASS,2085,2048,8,0,29,2268,
G,G_c6,2048,EXECUTED,PASS,2085,2048,8,0,29,2268,
G,G_c6,8192,EXECUTED,PASS,8856,8192,29,0,635,11360,
G,G_c6,8192,EXECUTED,PASS,8856,8192,29,0,635,11360,
G,G_c6,8192,EXECUTED,PASS,8856,8192,29,0,635,11360,
G,G_c6,8192,EXECUTED,PASS,8856,8192,29,0,635,11360,
G,G_c6,8192,EXECUTED,PASS,8856,8192,29,0,635,11360,
