phase,case_id,size_segments,execution_status,gate_status,pibt_label,local_queue_capacity,pibt_applicability_count,pibt_attempt_count,pibt_wait_for_cycle_count,pibt_backtrack_count,pibt_handoff_count,pibt_same_bag_fallback_count,blocker
F,F_p1,8192,NOT_RUN,PENDING,P1,32,,,,,,,requires accepted prior tier and explicit 8192 authorization
F,F_p2,8192,NOT_RUN,PENDING,P2,32,,,,,,,requires accepted prior tier and explicit 8192 authorization
F,F_p3,8192,NOT_RUN,PENDING,P3,32,,,,,,,requires accepted prior tier and explicit 8192 authorization
F,F_p4,8192,NOT_RUN,PENDING,P4,32,,,,,,,requires accepted prior tier and explicit 8192 authorization
F,F_p0,2048,EXECUTED,PASS,P0,32,0,0,0,0,0,0,
F,F_p0,8192,EXECUTED,PASS,P0,32,0,0,0,0,0,0,
F,F_p1,2048,EXECUTED,NOT_APPLICABLE,P1,32,0,0,0,0,0,0,P1 did not exercise positive applicability/attempt/prepare/validate/commit audit counts; configuration is NOT_APPLICABLE to the bounded-local PIBT depth comparison | P1 did not execute a successful multi-bag atomic batch; configuration is NOT_APPLICABLE to the bounded-local PIBT depth comparison
F,F_p2,2048,EXECUTED,NOT_APPLICABLE,P2,32,0,0,0,0,0,0,P2 did not exercise positive applicability/attempt/prepare/validate/commit audit counts; configuration is NOT_APPLICABLE to the bounded-local PIBT depth comparison | P2 did not execute a successful multi-bag atomic batch; configuration is NOT_APPLICABLE to the bounded-local PIBT depth comparison
F,F_p3,2048,EXECUTED,NOT_APPLICABLE,P3,32,0,0,0,0,0,0,P3 did not exercise positive applicability/attempt/prepare/validate/commit audit counts; configuration is NOT_APPLICABLE to the bounded-local PIBT depth comparison | P3 did not execute a successful multi-bag atomic batch; configuration is NOT_APPLICABLE to the bounded-local PIBT depth comparison
F,F_p4,2048,EXECUTED,NOT_APPLICABLE,P4,32,0,0,0,0,0,0,P4 did not exercise positive applicability/attempt/prepare/validate/commit audit counts; configuration is NOT_APPLICABLE to the bounded-local PIBT depth comparison | P4 did not execute a successful multi-bag atomic batch; configuration is NOT_APPLICABLE to the bounded-local PIBT depth comparison
