schema,stage,measurement_status,mean_seconds,operation_count,counter_semantics,share_of_end_to_end_wall
czr005.g4irsf13.runtime_profile.v1,native_event_runtime_total,MEASURED_NATIVE_TIMER,10.07757466,4337820,processed scheduler events,0.94417589812631542
czr005.g4irsf13.runtime_profile.v1,pybind_wrapper_and_payload,MEASURED_OUTER_MINUS_NATIVE_TIMER,0.59583341999717054,43603,returned bag rows,0.055824101873684619
czr005.g4irsf13.runtime_profile.v1,event_heap,COUNTER_ONLY_NATIVE_TIMER_UNAVAILABLE,,4337820,pop/process count; heap push time not isolated,
czr005.g4irsf13.runtime_profile.v1,local_calendar,COUNTER_ONLY_NATIVE_TIMER_UNAVAILABLE,,340810,completed local service reservations; purge/lookup timer not isolated,
czr005.g4irsf13.runtime_profile.v1,candidate_feature_and_scorer,SHARED_DECISION_LATENCY_TIMER,,1166519,candidate evaluations; decision p50/p95/p99 reported in equivalence table,
czr005.g4irsf13.runtime_profile.v1,pibt_prepare_validate,COUNTER_ONLY_NATIVE_TIMER_UNAVAILABLE,,48,atomic P2 prepare plus validate operations,
czr005.g4irsf13.runtime_profile.v1,pibt_owner_map,COUNTER_ONLY_NATIVE_TIMER_UNAVAILABLE,,199,bounded owner/proposal transactions,
czr005.g4irsf13.runtime_profile.v1,first_edge_credit_lifecycle,COUNTER_ONLY_NATIVE_TIMER_UNAVAILABLE,,0,issue/validate/consume/expire/fault-revoke,
czr005.g4irsf13.runtime_profile.v1,fault_overlay,NO_FAULT_BASELINE_COUNTER,,0,no-fault F2 control; expected zero,
czr005.g4irsf13.runtime_profile.v1,trace_serialization,NOT_MEASURED_SUMMARY_ONLY_PROFILE,,0,trace deliberately suppressed; no speed claim for trace path,
czr005.g4irsf13.runtime_profile.v1,input_output,NOT_MEASURED_PRELOADED_INPUT_SUMMARY_ONLY,,43603,canonical input is loaded before the timed call and output is returned in memory; file I/O is outside this profile,
czr005.g4irsf13.runtime_profile.v1,process_peak_rss,MEASURED_WINDOWS_PEAK_WORKING_SET,,494280704,bytes; process-level upper bound,
