candidate_id,family,tier,selection_id,selected_segment_count,selected_raw_bag_count,selection_sha256,cohort_sha256,scorer,pibt,control,resolved_priority,framework,preference,diagnostic_only,execution_status,gate_status,promotion_status,early_reject_reasons,blocker,original_entry_mean_minutes,original_entry_p95_seconds,original_entry_p99_seconds,source_wait_mean_minutes,network_time_mean_minutes,complete_raw_bag_count,completed_segment_count,completion_rate,conflict_count,unsafe_entry_count,runtime_full_astar_calls,global_reservation_scan_count,future_routes_stored,unresolved_deadlock_count,event_limit_reached,time_limit_reached,reservation_depth,credit_issued_count,credit_consumed_count,credit_expired_count,credit_local_hold_count,selective_credit_trigger_count,selective_credit_low_load_bypass_count,selective_credit_merge_trigger_count,selective_credit_contention_trigger_count,priority_teacher_input_count,priority_future_route_input_count,priority_global_scan_count,pibt_applicability_count,pibt_attempt_count,pibt_prepare_count,pibt_validate_count,pibt_commit_count,pibt_rollback_count,pibt_backtrack_count,pibt_wait_for_cycle_count,pibt_handoff_count,pibt_max_observed_depth,pibt_state_read_count,pibt_message_count,pibt_decision_latency_seconds,pibt_preference_candidate_count,pibt_preference_unique_exit_penalty_count,pibt_preference_wait_cycle_penalty_count,pibt_preference_backtrack_penalty_count,pibt_preference_regret_prior_hit_count,decision_latency_us_p50,decision_latency_us_p95,decision_latency_us_p99,runtime_deterministic_sha256,result_file_sha256,cache_key,attempt_id
D0,interaction,motif,real_map2_dense_merge_window_v1,96,96,e922a0f9d8bd957a5f54becf61bf0e3973568b83aa82358a414a9eb121b21961,7fb06e1fef14e2ce3744bdd336d8136be1db5bf3976ed9079ade4d5108b3f03a,S1_frozen_g4e_legal_local_adapter,P2,C0,Q0,event_loop_one_step,current,False,EXECUTED,PASS,ELIGIBLE_FOR_NEXT_TIER,,,1.4763796388888377,204.00199999999313,205.2953364999992,0.0,1.4763796388888377,96,96,1.0,0,0,0,0,0,0,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,11.3,16.8,22.979999999999972,032c2c78b10cb0d51000d4990fae2c8d493f8407ba59d2f7e851729a77ca291b,b31df0d86c6cc766af8e9571b6742daf986c66e42816243746425f0901f80ae7,de8a07b816a998a6ce706b3ee8824810dd0eb55f9c7ba8ed970b40afcc0eec7f,1785129142881082500-LAPTOP-M3GASC4G-37948
D0,interaction,144,canonical_first_144_segments,144,72,ef7a1919584e7623551d5b3395ea219effd4df8e56b3144a72341f94c93fc573,3d8f81aa8c202aaa5bf21aa85b768f7da3f6de64523682e80365bab8a34a5d44,S1_frozen_g4e_legal_local_adapter,P2,C0,Q0,event_loop_one_step,current,False,EXECUTED,PASS,ELIGIBLE_FOR_NEXT_TIER,,,170.2065503131944,11436.12360435,11543.1381596,0.021238425925925928,3.7370758449073818,72,144,1.0,0,0,0,0,0,0,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,9.5,15.3,18.983999999999924,d1eb0cad49ff3f16579fee6d7276fe9e87b1a819de751db8b21baf624b7e6669,3062a27baef395814fc92e1194f02d8ba296dbafce4e412fb05d5d90b2b33489,b865987b607323b9c77e82e4ae72d283930341958e2e17726b4691a8d88a1eaa,1785129151960833500-LAPTOP-M3GASC4G-37948
D0,interaction,512,canonical_first_512_segments,512,256,4181a84a6c3a36d0bed1edd63939c94889095fe5193a3925f2c85d5025ca3345,896abc54086eedf66c85642f55a34cd840df6fb50ff8d4c3ea07ef179b2730a5,S1_frozen_g4e_legal_local_adapter,P2,C0,Q0,event_loop_one_step,current,False,EXECUTED,PASS,ELIGIBLE_FOR_NEXT_TIER,,,146.9392175288411,11175.843132499998,11752.4073765,0.05211588541666667,3.8066273606770533,256,512,1.0,0,0,0,0,0,0,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,10.1,15.8,16.942000000000007,96d1e84e15750db19743741569fbb41e5a1ab6a425bafb6b6a1032abea4f2d53,9165120a5fc5c2cbf5ae3837a3f9b8d3e6a0074608ef5423d67fdb9cf22f100a,828a33f94ca07690703c3ace59dbf02a37052c89b9085531936ba7457ada6783,1785129162291578000-LAPTOP-M3GASC4G-37948
D0,interaction,2048,canonical_first_2048_segments,2048,1047,e94060b03969ffc180881d807521b627e23bae6a816cf70919a9286616b4901d,d1f6d7b81a33a305e1e3aa05c3f1fecdb35311382f73aeb441dfb9624aa45f7b,S1_frozen_g4e_legal_local_adapter,P2,C0,Q0,event_loop_one_step,current,False,EXECUTED,PASS,ELIGIBLE_FOR_NEXT_TIER,,,105.2098333453199,10876.219158999997,11450.6729738,0.27899156319643426,3.9747081329193987,1047,2048,1.0,0,0,0,0,0,0,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,10.7,16.2,18.7,d5a27ca2c7c7704960640ff85c8e31d796beb130abce3a197c0e47f102cd637b,2dccfda4f0d89d3aeceba47b3587c40c5b19a38afac565a99d709746fa925e1a,b7282366c019da2abcbf43e3d710e84efcfe5f22e4bb6c960f1ac7b03d93cdef,1785129171521963700-LAPTOP-M3GASC4G-37948
D0,interaction,8192,canonical_first_8192_segments,8192,4898,929636f7b8938361616fe3b91e8154fa381f0f89b632402cb103d021047fa4b2,1df50671e23800809f00eb8a2372850737a67824ed6b13e55021bf6877dc6a46,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,REJECT,NOT_EXECUTED,SUCCESSIVE_HALVING_NOT_SELECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D0,interaction,full,canonical_first_43603_segments,43603,28506,e5f2e0be1ae62750e2f647370016c7cb141b181ce54a93bf90ca9968507fd8e8,6eacd336812fb71261db48debd3e1f96129479f8b84d478b8fb2661bacd654f6,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,NOT_AUTHORIZED,,TIER_NOT_RUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,interaction,motif,real_map2_dense_merge_window_v1,96,96,e922a0f9d8bd957a5f54becf61bf0e3973568b83aa82358a414a9eb121b21961,7fb06e1fef14e2ce3744bdd336d8136be1db5bf3976ed9079ade4d5108b3f03a,S1_frozen_g4e_legal_local_adapter,P2,C4,Q0,event_loop_one_step,current,False,EXECUTED,PASS,ELIGIBLE_FOR_NEXT_TIER,,,1.479603015624949,204.06449999999313,205.54533649999917,0.004383680555555556,1.4752193350693934,96,96,1.0,0,0,0,0,0,0,False,False,1,96,96,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,13.6,16.5,20.061,9562b9ef861fa2f1bff0e28b12776fbfcaa08cc97752303f867c14858356e444,329329b8caa9ac8b39122c34572716056a74dc5345b9334c3e6c16b53a958b81,bd239b07bc0054494558318ae2a4793b927f9e325375959416af8fb5e8e5e358,1785129143590683300-LAPTOP-M3GASC4G-37948
D1,interaction,144,canonical_first_144_segments,144,72,ef7a1919584e7623551d5b3395ea219effd4df8e56b3144a72341f94c93fc573,3d8f81aa8c202aaa5bf21aa85b768f7da3f6de64523682e80365bab8a34a5d44,S1_frozen_g4e_legal_local_adapter,P2,C4,Q0,event_loop_one_step,current,False,EXECUTED,PASS,REJECT,MEAN_WORSE_BY_MORE_THAN_1_SECOND_PER_BAG,,170.3805497483796,11436.236104349999,11543.388159600001,0.044675925925925924,3.887637780092563,72,144,1.0,0,0,0,0,0,0,False,False,1,144,144,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,14.9,17.6,21.0,a2c3afc929b6c749bdf82ad888f97b43230021097e5c9567634274e4b2db9985,4bb90c49e7b657adc48e40c6f75374aa1fd4a468782406da502a7f14f84e9714,d0e32dcee960695293f22dfb953764c3a71c93e12210189c3f610d1e756b251a,1785129152635797100-LAPTOP-M3GASC4G-37948
D1,interaction,512,canonical_first_512_segments,512,256,4181a84a6c3a36d0bed1edd63939c94889095fe5193a3925f2c85d5025ca3345,896abc54086eedf66c85642f55a34cd840df6fb50ff8d4c3ea07ef179b2730a5,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,REJECT,NOT_EXECUTED,SUCCESSIVE_HALVING_NOT_SELECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,interaction,2048,canonical_first_2048_segments,2048,1047,e94060b03969ffc180881d807521b627e23bae6a816cf70919a9286616b4901d,d1f6d7b81a33a305e1e3aa05c3f1fecdb35311382f73aeb441dfb9624aa45f7b,,,,Q0,,,,NOT_RUN,NOT_EVALUATED,REJECT,NOT_EXECUTED,SUCCESSIVE_HALVING_NOT_SELECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
