schema,rule,control_rule,online_allowed,execution_status,rejection_type,rejection_message,run_id,segment_count,raw_bag_count,input_selection_sha256,map_raw_sha256,map_semantic_sha256,task_raw_sha256,source_bundle_sha256,binary_sha256,completed_count,failed_count,unresolved_deadlock_count,end_time,mean_completion_seconds,p95_completion_seconds,max_completion_seconds,mean_grant_wait_seconds,max_grant_wait_seconds,grant_slot_busy_seconds,grant_slot_idle_seconds,merge_throughput_per_second,incoming_edge_fairness_jain,deadline_miss_count,deadline_miss_rate,merge_request_count,merge_committed_count,merge_consumed_count,merge_request_expired_count,merge_grant_expired_count,merge_revoked_count,merge_peak_pending_requests,merge_peak_active_unconsumed,merge_contended_loser_retry_count,lifecycle_transition_count,lifecycle_stored_count,lifecycle_dropped_count,repeat_count,repeat_deterministic_sha256,repeat_determinism_pass,mean_completion_delta_vs_m0_seconds,p95_completion_delta_vs_m0_seconds,end_time_delta_vs_m0_seconds,grant_wait_delta_vs_m0_seconds,committed_order_sha256,bag_projection_sha256,lifecycle_projection_sha256,deterministic_result_sha256,hard_gate_pass,hard_gate_failures,performance_gain_claimed,promotion_status,row_sha256
czr005.g4irsf14.merge_grant_protocol.v2,M0,M0,true,EXECUTED_PRODUCTION_E4,,,be7f35c35ec863c6f2f0c65e,144,72,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,144,0,0,23884.401999999998,112.76408840277718,203.4519999999975,207.7019999999975,0.38535229166668866,4.5,442,45527.84713100001,0.018505801401265981,0.7557192260380482,0,0,666,442,442,0,0,0,1,13,0,2658,2658,0,2,b1be249b02606adb22574ebb4a556814c9f25388873cfa2d16f53bb15e482f97|b1be249b02606adb22574ebb4a556814c9f25388873cfa2d16f53bb15e482f97,true,0,0,0,0,f899e4cfe4b3679542ff2b6583562ff7d412af824f6a11879589ebeee227d098,df61629894a267aa0460fe0f569a834244440d958d0495a03cfaa9338580ea10,1bbcc74599a677908e98fa0f3b75d3fa139803f8ad7c21cb123226b896715546,b1be249b02606adb22574ebb4a556814c9f25388873cfa2d16f53bb15e482f97,true,,false,NOT_EVALUATED_STAGE_D_MECHANISM_ONLY,3b0e834fc2020b941917e16ce753d43394ecf98535b92f90b995a6dce55e3d78
czr005.g4irsf14.merge_grant_protocol.v2,M1,M0,true,EXECUTED_PRODUCTION_E4,,,af0dfcf67bc7d66cc5a3da8d,144,72,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,144,0,0,23884.401999999998,112.76408840277718,203.4519999999975,207.7019999999975,0.38535229166668866,4.5,442,45527.84713100001,0.018505801401265981,0.7557192260380482,0,0,666,442,442,0,0,0,1,13,0,2658,2658,0,2,1356e1836e854538b3e45b1989d230dcac9d6ef6d5c0fc0e1fb759a4fd9bd946|1356e1836e854538b3e45b1989d230dcac9d6ef6d5c0fc0e1fb759a4fd9bd946,true,0,0,0,0,f899e4cfe4b3679542ff2b6583562ff7d412af824f6a11879589ebeee227d098,df61629894a267aa0460fe0f569a834244440d958d0495a03cfaa9338580ea10,1bbcc74599a677908e98fa0f3b75d3fa139803f8ad7c21cb123226b896715546,1356e1836e854538b3e45b1989d230dcac9d6ef6d5c0fc0e1fb759a4fd9bd946,true,,false,NOT_EVALUATED_STAGE_D_MECHANISM_ONLY,d6e914e9e510aca063e851b549dc50bfd87fcec9deeb1699b14f5813f768f098
czr005.g4irsf14.merge_grant_protocol.v2,M2,M0,true,EXECUTED_PRODUCTION_E4,,,2d0d5a9b7dae8c91ede75258,144,72,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,144,0,0,23884.401999999998,112.76408840277718,203.4519999999975,207.7019999999975,0.38535229166668866,4.5,442,45527.84713100001,0.018505801401265981,0.7557192260380482,0,0,666,442,442,0,0,0,1,13,0,2658,2658,0,2,27bc3f0ad125ad7537776c67f0a8cbd416d2e95e51ea07edbf450b250eff440e|27bc3f0ad125ad7537776c67f0a8cbd416d2e95e51ea07edbf450b250eff440e,true,0,0,0,0,f899e4cfe4b3679542ff2b6583562ff7d412af824f6a11879589ebeee227d098,df61629894a267aa0460fe0f569a834244440d958d0495a03cfaa9338580ea10,1bbcc74599a677908e98fa0f3b75d3fa139803f8ad7c21cb123226b896715546,27bc3f0ad125ad7537776c67f0a8cbd416d2e95e51ea07edbf450b250eff440e,true,,false,NOT_EVALUATED_STAGE_D_MECHANISM_ONLY,2e6741d20f07da75cbd6aa446714970b3aa66c5a1e00ec92d0e0e240c0fa8ed8
czr005.g4irsf14.merge_grant_protocol.v2,M3,M0,true,EXECUTED_PRODUCTION_E4,,,8d12619e16e5e8e5e8f7cfc2,144,72,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,144,0,0,23884.401999999998,112.76408840277718,203.4519999999975,207.7019999999975,0.38535229166668866,4.5,442,45527.84713100001,0.018505801401265981,0.7557192260380482,0,0,666,442,442,0,0,0,1,13,0,2658,2658,0,2,7817377d1df132ccb89f7259e5169e9b5eb6601f260bcb8889590a96cacd2d3b|7817377d1df132ccb89f7259e5169e9b5eb6601f260bcb8889590a96cacd2d3b,true,0,0,0,0,f899e4cfe4b3679542ff2b6583562ff7d412af824f6a11879589ebeee227d098,df61629894a267aa0460fe0f569a834244440d958d0495a03cfaa9338580ea10,1bbcc74599a677908e98fa0f3b75d3fa139803f8ad7c21cb123226b896715546,7817377d1df132ccb89f7259e5169e9b5eb6601f260bcb8889590a96cacd2d3b,true,,false,NOT_EVALUATED_STAGE_D_MECHANISM_ONLY,7e5d8484e0e39d0c22a2aec238a80d10885af58363ca5f62bbaba059a0abb226
czr005.g4irsf14.merge_grant_protocol.v2,M4,M0,true,EXECUTED_PRODUCTION_E4,,,79aba89fcbe9566ce398f1b8,144,72,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,144,0,0,23884.401999999998,112.76408840277718,203.4519999999975,207.7019999999975,0.38535229166668866,4.5,442,45527.84713100001,0.018505801401265981,0.7557192260380482,0,0,666,442,442,0,0,0,1,13,0,2658,2658,0,2,9e3d49dc947ebb1f437d0cba1139f0941de4a47b9bf7a696bedd61dc1372543b|9e3d49dc947ebb1f437d0cba1139f0941de4a47b9bf7a696bedd61dc1372543b,true,0,0,0,0,f899e4cfe4b3679542ff2b6583562ff7d412af824f6a11879589ebeee227d098,df61629894a267aa0460fe0f569a834244440d958d0495a03cfaa9338580ea10,1bbcc74599a677908e98fa0f3b75d3fa139803f8ad7c21cb123226b896715546,9e3d49dc947ebb1f437d0cba1139f0941de4a47b9bf7a696bedd61dc1372543b,true,,false,NOT_EVALUATED_STAGE_D_MECHANISM_ONLY,4364b8c5e9cf4ad48688a97054db80d11b167e5ae8a238e80fbe1b6a6f1ba750
czr005.g4irsf14.merge_grant_protocol.v2,M5,M0,true,EXECUTED_PRODUCTION_E4,,,440f4b55195c8b4234633815,144,72,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,144,0,0,23884.401999999998,112.76408840277718,203.4519999999975,207.7019999999975,0.38535229166668866,4.5,442,45527.84713100001,0.018505801401265981,0.7557192260380482,0,0,666,442,442,0,0,0,1,13,0,2658,2658,0,2,354faed4d7f1cdc6e5c67d787110b616fd672551406c35a43592431f7ff9399b|354faed4d7f1cdc6e5c67d787110b616fd672551406c35a43592431f7ff9399b,true,0,0,0,0,f899e4cfe4b3679542ff2b6583562ff7d412af824f6a11879589ebeee227d098,df61629894a267aa0460fe0f569a834244440d958d0495a03cfaa9338580ea10,1bbcc74599a677908e98fa0f3b75d3fa139803f8ad7c21cb123226b896715546,354faed4d7f1cdc6e5c67d787110b616fd672551406c35a43592431f7ff9399b,true,,false,NOT_EVALUATED_STAGE_D_MECHANISM_ONLY,34f50cdb85012610740a075034dced46aa347458f8bfb8a5f54880d9a3e5a477
czr005.g4irsf14.merge_grant_protocol.v2,M6,M0,true,EXECUTED_PRODUCTION_E4,,,1e36863341fcd968ec8704e0,144,72,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,144,0,0,23884.401999999998,112.76408840277718,203.4519999999975,207.7019999999975,0.38535229166668866,4.5,442,45527.84713100001,0.018505801401265981,0.7557192260380482,0,0,666,442,442,0,0,0,1,13,0,2658,2658,0,2,e818aef5d6e1c8474bf2fffe73ca29d8822a000b87115f844008520c5f301727|e818aef5d6e1c8474bf2fffe73ca29d8822a000b87115f844008520c5f301727,true,0,0,0,0,f899e4cfe4b3679542ff2b6583562ff7d412af824f6a11879589ebeee227d098,df61629894a267aa0460fe0f569a834244440d958d0495a03cfaa9338580ea10,1bbcc74599a677908e98fa0f3b75d3fa139803f8ad7c21cb123226b896715546,e818aef5d6e1c8474bf2fffe73ca29d8822a000b87115f844008520c5f301727,true,,false,NOT_EVALUATED_STAGE_D_MECHANISM_ONLY,6da1d08cff7599a264989bbfc7e8aba800fa8ca4d849ccca903b45fbd35c13a4
czr005.g4irsf14.merge_grant_protocol.v2,M7,M0,false,REJECTED_FAIL_CLOSED,ValueError,merge_grant_rule M7 is diagnostic-only and cannot run online,d655d1dc08f6db9e975db8f3,144,72,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,ONLINE_RULE_FORBIDDEN,false,NOT_APPLICABLE_FAIL_CLOSED,22111169fccaa57b79207030bf24634f3cc841b8ae862158f180c2e71d143684
czr005.g4irsf14.merge_grant_protocol.v2,M8,M0,false,REJECTED_FAIL_CLOSED,ValueError,merge_grant_rule M8/M9 require a validated model artifact; runtime selection fails closed,e2b425e5b450eda05ff67072,144,72,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,ONLINE_RULE_FORBIDDEN,false,NOT_APPLICABLE_FAIL_CLOSED,92385b5c43562fe24b9aef67771dc8ced17e084b695ee6c6711a547fd40f431f
czr005.g4irsf14.merge_grant_protocol.v2,M9,M0,false,REJECTED_FAIL_CLOSED,ValueError,merge_grant_rule M8/M9 require a validated model artifact; runtime selection fails closed,0abc8981adaf1e26a9a730b4,144,72,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,ONLINE_RULE_FORBIDDEN,false,NOT_APPLICABLE_FAIL_CLOSED,5108c9e676a317c115d233af4da05de9385fcbbed47346bb2af39977d4837a9b
