schema,evidence_scope,rank,destination_node,request_count,request_share,active_grant_rejection_count,rejection_share,unique_requesting_segment_count,successful_issue_count,mean_successful_fifo_wait_seconds,breakdown_available,extrapolation_allowed,source_limitation,row_sha256
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_ORIGINAL_1X_E4_SCREENING,0,NOT_RETAINED,335770,1,178263,1,,,,false,false,only the all-destination aggregate survives; a ranked original-1x destination list cannot be reconstructed,d169bd0d65b6d90b147cf63a2760e25d58587dec196d8bb4c74a1dc2d016050e
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,1,29,167,0.25075075075075076,115,0.5133928571428571,52,52,0.55288461538461542,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,7bd287d7797fb23836120688b78c9a1d4151d80c98bc134d4d432a692b64e919
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,2,24,119,0.17867867867867868,47,0.20982142857142858,72,72,0.16319444444444445,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,25f823a1a8b1ab7c545bab3da7bb999f67fb193da389dca8c16add12a989c9a3
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,3,18,81,0.12162162162162163,36,0.16071428571428573,45,45,0.18868288888895929,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,b2773395695c409a34062ed9d0e5b804c3db37807004bb521c6b22a329b70fe0
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,4,17,43,0.064564564564564567,12,0.053571428571428568,31,31,0.096774193548387094,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,194ea6cce95f28a6e4e64b1928216dc47b2be7977a19c473163e1a21d9463f73
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,5,40,30,0.045045045045045043,10,0.044642857142857144,20,20,0.125,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,0f459c54d048b3e0570d8aa166a8200ace162a89a7841a5a366fed1945162e81
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,6,13,31,0.046546546546546545,4,0.017857142857142856,27,27,0.037037037037037035,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,f49d1158856edb6a54d3e5e11ff71a5c69559bd16e06341c02c8ea13166c7e64
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,7,30,52,0.078078078078078081,0,0,52,52,0,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,b7c683e16d5bf49e209eb8cc824ad9873c0ba319daca4b80cd8bc6efdb040f32
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,8,23,27,0.040540540540540543,0,0,27,27,0,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,69a36547ce718aadf0269f131d148e6608a0a4f78fc64e7c2624c0df71727fad
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,9,37,27,0.040540540540540543,0,0,27,27,0,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,15fd9a83648f088002558733bb6cdc73594a0bade84d07a67c4cc3c01356f39f
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,10,44,25,0.037537537537537538,0,0,25,25,0,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,1595f7408fa84b797ca3a1f3ac1b143482a5c0ae60e0437f902cdfaed38a6a1a
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,11,45,20,0.03003003003003003,0,0,20,20,0,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,2c51b6383b57d48052d1e6bee86a9f96061d484fe2f30fcbb8fb0f55be9bce0f
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,12,7,17,0.025525525525525526,0,0,17,17,0,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,423d983760d70eb2776b1a5ed0b48189b2caf3ae150fbd8a63554ecbdacd4230
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,13,8,17,0.025525525525525526,0,0,17,17,0,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,9c567e5f1ff0dcf8780ffdb7febcf21149cabb8420f7d975ca582bbe27a65318
czr005.g4irsf15.merge_destination_hotspots.v1,G4IRSF14_STAGE_D_M0_144_DIAGNOSTIC,14,12,10,0.015015015015015015,0,0,10,10,0,true,false,rank is valid only inside the Stage-D M0 144-segment mechanism cohort,fc696b15082b9b2af5c7bc2484e0a75cfadbf5ccc9fadea0e0d4c36b8e03de0e
