schema,kind,horizon,signed_class,row_count,component_count,direct_benefit_mean_seconds,direct_benefit_min_seconds,direct_benefit_max_seconds,h_system_available_count,externality_nonempty_count
czr005.g4irsf16.label_inventory.v1,I3,H_bag,BENEFICIAL,19,19,46.363529473674134,0.15000000000873115,157.67512999998144,0,0
czr005.g4irsf16.label_inventory.v1,I3,H_bag,HARMFUL,909,891,-45.3975370847079,-178.2069499999925,-0.0646100000012666,0,0
czr005.g4irsf16.label_inventory.v1,I3,H_bag,NEUTRAL,30,30,0.0,-0.0,-0.0,0,0
czr005.g4irsf16.label_inventory.v1,I3,H_system,BENEFICIAL,4,4,32.57805999999982,1.0999999999985448,123.75849999999991,4,3
czr005.g4irsf16.label_inventory.v1,I3,H_system,HARMFUL,124,123,-47.464553870966995,-103.72056999999768,-0.25,124,89
czr005.g4irsf16.label_inventory.v1,I4,H_bag,BENEFICIAL,20,19,7.866808499998479,0.026659999988623895,89.27029000000039,0,0
czr005.g4irsf16.label_inventory.v1,I4,H_bag,HARMFUL,655,649,-0.6947434351146123,-9.60877000000255,-0.0005400000009103678,0,0
czr005.g4irsf16.label_inventory.v1,I4,H_bag,NEUTRAL,283,278,0.0,-0.0,-0.0,0,0
czr005.g4irsf16.label_inventory.v1,I4,H_system,BENEFICIAL,4,4,1.730817499998011,1.0,2.4719899999981862,4,4
czr005.g4irsf16.label_inventory.v1,I4,H_system,HARMFUL,82,82,-1.1418735365854136,-33.761310000001686,-0.000999999996565748,82,44
czr005.g4irsf16.label_inventory.v1,I4,H_system,NEUTRAL,42,42,0.0,-0.0,-0.0,42,4
