schema,kind,rule,split,description,parameters,row_count,activation_count,activation_coverage,beneficial_activation_count,harmful_activation_count,neutral_activation_count,beneficial_precision,beneficial_recall,harmful_activation_rate,high_confidence_harmful_precision,neutral_activation_rate,target_panel_abstention_rate,direct_benefit_sum_seconds,direct_benefit_mean_seconds,risk_adjusted_utility_sum_seconds,risk_adjusted_utility_mean_seconds,risk_adjusted_utility_lcb_seconds,externality_cvar95_mean_seconds,externality_cvar95_max_seconds
czr005.g4irsf16.rule_ab.v1,I4,H0,train,never hold; exact frozen F2,{},678,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
czr005.g4irsf16.rule_ab.v1,I4,H1,train,wait_age >= train p95 (159.228),{'wait_age_seconds_min': 159.22849999999934},678,34,0.05014749262536873,0,20,14,0.0,0.0,0.029498525073746312,0.5882352941176471,0.02064896755162242,0.9498525073746312,-14.490400000013324,-0.4261882352945095,-26.675659158845598,-0.7845782105542822,-1.3735385592663145,1.1956435338344504,8.369504736841153
czr005.g4irsf16.rule_ab.v1,I4,H2,train,wait-age and slack train upper-quartile,{},678,28,0.04129793510324484,1,13,14,0.03571428571428571,0.07142857142857142,0.019174041297935103,0.4642857142857143,0.02064896755162242,0.9587020648967551,-12.246110000010958,-0.4373610714289628,-12.939257180570904,-0.46211632787753226,-0.7548877524104118,0.0,0.0
czr005.g4irsf16.rule_ab.v1,I4,H3,train,destination queue/calendar train p90,{},678,678,1.0,14,457,207,0.02064896755162242,1.0,0.6740412979351033,0.6740412979351033,0.3053097345132743,0.0,-315.06199000010747,-0.46469320059012903,-417.10509515910246,-0.6151992553969062,-0.7418402139484928,0.6398136842102057,13.316609999998036
czr005.g4irsf16.rule_ab.v1,I4,H4,train,storage-out aware with positive wait,{},678,96,0.1415929203539823,0,71,25,0.0,0.0,0.10471976401179942,0.7395833333333334,0.03687315634218289,0.8584070796460177,-34.628310000054626,-0.360711562500569,-66.58024894640197,-0.6935442598583538,-0.9940653499378115,1.9530095614032656,13.316609999998036
czr005.g4irsf16.rule_ab.v1,I4,H5,train,low F2 margin plus local contention,"{'f2_model_margin_max': 1.518316644839415, 'target_queue_length_min': 0.0, 'target_scheduled_incoming_min': 5.0}",678,37,0.05457227138643068,0,1,36,0.0,0.0,0.0014749262536873156,0.02702702702702703,0.05309734513274336,0.9454277286135693,-0.0010000000002037268,-2.7027027032533158e-05,-0.694147180560149,-0.018760734609733758,-0.04961939697682834,0.0,0.0
czr005.g4irsf16.rule_ab.v1,I4,H6,train,conservative local externality proxy,{},678,177,0.2610619469026549,0,145,32,0.0,0.0,0.21386430678466076,0.8192090395480226,0.0471976401179941,0.7389380530973451,-162.35051999998905,-0.9172345762711246,-182.2522362045847,-1.02967365087336,-1.3862990819867207,0.35104818181797315,2.4719899999981862
czr005.g4irsf16.rule_ab.v1,I4,H0,calibration,never hold; exact frozen F2,{},153,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
czr005.g4irsf16.rule_ab.v1,I4,H1,calibration,wait_age >= train p95 (159.228),{'wait_age_seconds_min': 159.22849999999934},153,7,0.0457516339869281,1,4,2,0.14285714285714285,0.3333333333333333,0.026143790849673203,0.5714285714285714,0.013071895424836602,0.954248366013072,-1.3069399999985762,-0.1867057142855109,-6.511899327098217,-0.9302713324426024,-2.171357091783744,1.8535200000017842,1.8535200000017842
czr005.g4irsf16.rule_ab.v1,I4,H2,calibration,wait-age and slack train upper-quartile,{},153,6,0.0392156862745098,1,2,3,0.16666666666666666,0.3333333333333333,0.013071895424836602,0.3333333333333333,0.0196078431372549,0.9607843137254902,-0.27973000001657056,-0.04662166666942843,-0.27973000001657056,-0.04662166666942843,-0.4522791221874764,,
czr005.g4irsf16.rule_ab.v1,I4,H3,calibration,destination queue/calendar train p90,{},153,153,1.0,3,104,46,0.0196078431372549,1.0,0.6797385620915033,0.6797385620915033,0.3006535947712418,0.0,-57.93429999994987,-0.3786555555552279,-79.82754754923242,-0.5217486767923688,-0.6550249314144717,0.5419486666668996,3.553199999998469
czr005.g4irsf16.rule_ab.v1,I4,H4,calibration,storage-out aware with positive wait,{},153,20,0.13071895424836602,0,16,4,0.0,0.0,0.10457516339869281,0.8,0.026143790849673203,0.869281045751634,-5.417069999988598,-0.2708534999994299,-12.02064161575744,-0.601032080787872,-1.030606603044903,0.6845066666675038,1.8535200000017842
czr005.g4irsf16.rule_ab.v1,I4,H5,calibration,low F2 margin plus local contention,"{'f2_model_margin_max': 1.518316644839415, 'target_queue_length_min': 0.0, 'target_scheduled_incoming_min': 5.0}",153,5,0.032679738562091505,0,0,5,0.0,0.0,0.0,0.0,0.032679738562091505,0.9673202614379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
