schema,kind,dimension,value,opportunity_states,model_eligible_states,activation_proposals,abstentions,model_abstentions,not_authorized_states,ood_states,activation_coverage
czr005.g4irsf16.shadow_activation_group.v1,I3,goal,47,36264,0,0,36264,0,36264,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,goal,48,14355,0,0,14355,0,14355,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,goal,49,43611,0,0,43611,0,43611,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,goal,50,25177,0,0,25177,0,25177,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,10,7184,0,0,7184,0,7184,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,11,6498,0,0,6498,0,6498,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,12,5930,0,0,5930,0,5930,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,13,5800,0,0,5800,0,5800,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,14,6203,0,0,6203,0,6203,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,15,5658,0,0,5658,0,5658,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,16,6570,0,0,6570,0,6570,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,17,6814,0,0,6814,0,6814,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,18,7428,0,0,7428,0,7428,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,19,7288,0,0,7288,0,7288,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,2,57,0,0,57,0,57,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,20,5450,0,0,5450,0,5450,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,21,3542,0,0,3542,0,3542,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,22,897,0,0,897,0,897,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,3,415,0,0,415,0,415,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,4,1863,0,0,1863,0,1863,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,5,7633,0,0,7633,0,7633,0,
czr005.g4irsf16.shadow_activation_group.v1,I3,hour,6,13008,0,0,13008,0,13008,0,
