bag_key,task_id,reason,cause_class,source_node,blocker_node,blocker_resource,time_bucket,leg_type,source_queue_generation,blocker_generation,affected_bag_count,h5_native_wait_seconds,off_native_wait_seconds,native_reason_wait_delta_seconds,attributed_positive_additional_wait_seconds,telemetry_attributed,bag_source_wait_delta_seconds,bag_network_time_delta_seconds,bag_tth_delta_seconds,same_bag_network_improvement_source_regression,attribution_scope
AGGREGATE_NATIVE_INTERVALS,1616,DESTINATION_MERGE_TOKEN,DOWNSTREAM_BACKPRESSURE,52,29,DESTINATION_MERGE_TOKEN,5,storage_out,1085,1837,1,7433.25,7427.0,6.25,6.25,True,,,,,aggregate_native_cell
AGGREGATE_NATIVE_INTERVALS,4471,DESTINATION_MERGE_TOKEN,DOWNSTREAM_BACKPRESSURE,52,29,DESTINATION_MERGE_TOKEN,6,storage_out,5973,9573,3,65671.25,64967.25,704.0,704.0,True,,,,,aggregate_native_cell
AGGREGATE_NATIVE_INTERVALS,4473,DESTINATION_MERGE_TOKEN,DOWNSTREAM_BACKPRESSURE,52,29,DESTINATION_MERGE_TOKEN,7,storage_out,8167,13459,8,14822.0,14822.0,0.0,0.0,True,,,,,aggregate_native_cell
AGGREGATE_NATIVE_INTERVALS,1226,DESTINATION_MERGE_TOKEN,DOWNSTREAM_BACKPRESSURE,52,40,DESTINATION_MERGE_TOKEN,5,storage_out,624,1118,2,342.0,342.0,0.0,0.0,True,,,,,aggregate_native_cell
AGGREGATE_NATIVE_INTERVALS,4503,DESTINATION_MERGE_TOKEN,DOWNSTREAM_BACKPRESSURE,52,40,DESTINATION_MERGE_TOKEN,6,storage_out,5978,9580,1,11270.25,11248.0,22.25,22.25,True,,,,,aggregate_native_cell
AGGREGATE_NATIVE_INTERVALS,4849,DESTINATION_MERGE_TOKEN,DOWNSTREAM_BACKPRESSURE,52,40,DESTINATION_MERGE_TOKEN,7,storage_out,8188,13486,2,1847.75,1847.75,0.0,0.0,True,,,,,aggregate_native_cell
AGGREGATE_NATIVE_INTERVALS,-1,SOURCE_SERVICE_NOT_READY,SOURCE_LOCAL_ORDERABLE,52,52,SOURCE_SERVICE_CALENDAR,5,unknown,1082,871,1,6842.25,6842.25,0.0,0.0,True,,,,,aggregate_native_cell
AGGREGATE_NATIVE_INTERVALS,-1,SOURCE_SERVICE_NOT_READY,SOURCE_LOCAL_ORDERABLE,52,52,SOURCE_SERVICE_CALENDAR,6,unknown,5975,4363,1,48884.5,48884.5,0.0,0.0,True,,,,,aggregate_native_cell
AGGREGATE_NATIVE_INTERVALS,-1,SOURCE_SERVICE_NOT_READY,SOURCE_LOCAL_ORDERABLE,52,52,SOURCE_SERVICE_CALENDAR,7,unknown,8325,6415,1,16144.25,16144.25,0.0,0.0,True,,,,,aggregate_native_cell
AGGREGATE_NATIVE_INTERVALS,-1,SOURCE_SERVICE_NOT_READY,SOURCE_LOCAL_ORDERABLE,52,52,SOURCE_SERVICE_CALENDAR,8,unknown,8400,6565,1,137.5,137.5,0.0,0.0,True,,,,,aggregate_native_cell
AGGREGATE_NATIVE_INTERVALS,-1,SOURCE_SERVICE_NOT_READY,SOURCE_LOCAL_ORDERABLE,52,52,SOURCE_SERVICE_CALENDAR,9,unknown,8409,6583,1,2.5,2.5,0.0,0.0,True,,,,,aggregate_native_cell
