aggregation,reason,cause_class,matched_bag_count,attribution_scope,h5_native_wait_seconds,off_native_wait_seconds,native_reason_wait_delta_seconds,attributed_positive_additional_wait_seconds,positive_additional_wait_share,rank_within_aggregation,source_node,blocker_node,blocker_resource,time_bucket,leg_type
CAUSE,DESTINATION_MERGE_TOKEN,DOWNSTREAM_BACKPRESSURE,,aggregate_native_cell,101386.5,100654.0,732.5,732.5,1.0,1,,,,,
CAUSE,SOURCE_SERVICE_NOT_READY,SOURCE_LOCAL_ORDERABLE,,aggregate_native_cell,72011.0,72011.0,0.0,0.0,0.0,2,,,,,
SOURCE,,,,aggregate_native_cell,173397.5,172665.0,732.5,732.5,1.0,1,52,,,,
BLOCKER,,,,aggregate_native_cell,87926.5,87216.25,710.25,710.25,0.9696245733788396,1,,29,DESTINATION_MERGE_TOKEN,,
BLOCKER,,,,aggregate_native_cell,13460.0,13437.75,22.25,22.25,0.03037542662116041,2,,40,DESTINATION_MERGE_TOKEN,,
BLOCKER,,,,aggregate_native_cell,72011.0,72011.0,0.0,0.0,0.0,3,,52,SOURCE_SERVICE_CALENDAR,,
SOURCE_BLOCKER_TIME_LEG,DESTINATION_MERGE_TOKEN,,,aggregate_native_cell,65671.25,64967.25,704.0,704.0,0.9610921501706484,1,52,29,,6,storage_out
SOURCE_BLOCKER_TIME_LEG,DESTINATION_MERGE_TOKEN,,,aggregate_native_cell,11270.25,11248.0,22.25,22.25,0.03037542662116041,2,52,40,,6,storage_out
SOURCE_BLOCKER_TIME_LEG,DESTINATION_MERGE_TOKEN,,,aggregate_native_cell,7433.25,7427.0,6.25,6.25,0.008532423208191127,3,52,29,,5,storage_out
SOURCE_BLOCKER_TIME_LEG,DESTINATION_MERGE_TOKEN,,,aggregate_native_cell,14822.0,14822.0,0.0,0.0,0.0,4,52,29,,7,storage_out
SOURCE_BLOCKER_TIME_LEG,DESTINATION_MERGE_TOKEN,,,aggregate_native_cell,1847.75,1847.75,0.0,0.0,0.0,5,52,40,,7,storage_out
SOURCE_BLOCKER_TIME_LEG,DESTINATION_MERGE_TOKEN,,,aggregate_native_cell,342.0,342.0,0.0,0.0,0.0,6,52,40,,5,storage_out
SOURCE_BLOCKER_TIME_LEG,SOURCE_SERVICE_NOT_READY,,,aggregate_native_cell,137.5,137.5,0.0,0.0,0.0,7,52,52,,8,unknown
SOURCE_BLOCKER_TIME_LEG,SOURCE_SERVICE_NOT_READY,,,aggregate_native_cell,16144.25,16144.25,0.0,0.0,0.0,8,52,52,,7,unknown
SOURCE_BLOCKER_TIME_LEG,SOURCE_SERVICE_NOT_READY,,,aggregate_native_cell,2.5,2.5,0.0,0.0,0.0,9,52,52,,9,unknown
SOURCE_BLOCKER_TIME_LEG,SOURCE_SERVICE_NOT_READY,,,aggregate_native_cell,48884.5,48884.5,0.0,0.0,0.0,10,52,52,,6,unknown
SOURCE_BLOCKER_TIME_LEG,SOURCE_SERVICE_NOT_READY,,,aggregate_native_cell,6842.25,6842.25,0.0,0.0,0.0,11,52,52,,5,unknown
