variant,split,opportunity_count,top1_accuracy,mean_regret,max_regret,mean_utility,baseline_mean_utility,native_policy_mean_utility,mean_utility_gain_vs_baseline,offline_distinct_action_mutation_count,offline_distinct_action_mutation_rate,native_distinct_action_mutation_count,sum_utility_gain_vs_baseline,teacher_action_agreement,teacher_nonhomomorphic_mutation_recalled_count,teacher_nonhomomorphic_mutation_recall,teacher_nonhomomorphic_mutation_precision,counterfactual_benefit_count,counterfactual_harm_count,counterfactual_neutral_count,mean_utility_delta_vs_teacher,teacher_harm_reduced_count
J3_LINEAR_RESIDUAL,train,84,0.9761904761904762,1.947619047630115e-06,0.00011891250000206632,-1.729135770882937,-1.729133823263889,-1.7518054178571436,-1.947619047630115e-06,2,0.023809523809523808,82,,,,,,,,,,
J3_LINEAR_RESIDUAL,validation,27,0.9629629629629629,2.45356481481323e-05,0.0006624624999995721,-1.697646042129629,-1.6976215064814808,-1.7193208824074082,-2.45356481481323e-05,1,0.037037037037037035,26,,,,,,,,,,
J3_LINEAR_RESIDUAL,audit,27,0.9629629629629629,2.5312962962844824e-05,0.0006834499999968102,-1.7152902814814814,-1.7152649685185186,-1.7329177375000016,-2.5312962962844824e-05,1,0.037037037037037035,26,,,,,,,,,,
J4_MLP_RESIDUAL,train,84,1.0,0.0,0.0,-1.729133823263889,-1.729133823263889,-1.7518054178571436,0.0,0,0.0,82,,,,,,,,,,
J4_MLP_RESIDUAL,validation,27,1.0,0.0,0.0,-1.6976215064814808,-1.6976215064814808,-1.7193208824074082,0.0,0,0.0,26,,,,,,,,,,
J4_MLP_RESIDUAL,audit,27,1.0,0.0,0.0,-1.7152649685185186,-1.7152649685185186,-1.7329177375000016,0.0,0,0.0,26,,,,,,,,,,
J5_STANDALONE,train,84,0.9880952380952381,1.4287351190475242e-05,0.0012001374999999204,-1.7291481106150797,-1.729133823263889,-1.7518054178571436,-1.4287351190475242e-05,1,0.011904761904761904,82,,,,,,,,,,
J5_STANDALONE,validation,27,1.0,0.0,0.0,-1.6976215064814808,-1.6976215064814808,-1.7193208824074082,0.0,0,0.0,26,,,,,,,,,,
J5_STANDALONE,audit,27,0.9629629629629629,2.5312962962844824e-05,0.0006834499999968102,-1.7152902814814814,-1.7152649685185186,-1.7329177375000016,-2.5312962962844824e-05,1,0.037037037037037035,26,,,,,,,,,,
J6_SET_SCORER,train,84,0.9523809523809523,5.1931249999996665e-05,0.002930212500000362,-1.7291857545138891,-1.729133823263889,-1.7518054178571436,-5.1931249999996665e-05,4,0.047619047619047616,82,,,,,,,,,,
J6_SET_SCORER,validation,27,0.8888888888888888,0.00013354027777782122,0.002005625000001565,-1.6977550467592588,-1.6976215064814808,-1.7193208824074082,-0.00013354027777782122,3,0.1111111111111111,26,,,,,,,,,,
J6_SET_SCORER,audit,27,0.8518518518518519,0.00022712453703697285,0.0029831874999992625,-1.7154920930555557,-1.7152649685185186,-1.7329177375000016,-0.00022712453703697285,4,0.14814814814814814,26,,,,,,,,,,
J7_TEACHER_CF_AFFINE,train,84,0.047619047619047616,0.02108636393849246,0.10660170000000102,-1.7502201872023815,-1.729133823263889,-1.7518054178571436,-0.02108636393849246,80,0.9523809523809523,82,-1.7712545708333667,0.9761904761904762,80,0.975609756097561,1.0,0,80,4,0.00158523065476196,2
J7_TEACHER_CF_AFFINE,validation,27,0.07407407407407407,0.019577771759260364,0.06938849166666827,-1.7171992782407415,-1.6976215064814808,-1.7193208824074082,-0.019577771759260364,25,0.9259259259259259,26,-0.5285998375000298,0.9629629629629629,25,0.9615384615384616,1.0,0,25,2,0.002121604166666793,1
J7_TEACHER_CF_AFFINE,audit,27,0.07407407407407407,0.01667695185185271,0.07153541249999762,-1.7319419203703716,-1.7152649685185186,-1.7329177375000016,-0.01667695185185271,25,0.9259259259259259,26,-0.4502777000000231,0.9629629629629629,25,0.9615384615384616,1.0,0,25,2,0.0009758171296297599,1
