section,item,scale,repeat,status,transition_count,train_count,validation_count,test_count,stored_decisions,completed_segments,trace_complete,safety_pass,mode,coverage,mae_s,static_mae_s,runtime_lookup_coverage,td_bellman_coverage,td_bellman_mae_s,td_zero_value_mae_s,test_runtime_lookup_coverage,test_mae_s,test_static_mae_s,test_td_bellman_coverage,test_td_bellman_mae_s,test_td_zero_value_mae_s,edge_residual_count,value_residual_count
campaign,all,,,COLLECTED_AND_FIT,1016981,711887,152547,152547,,,,,,,,,,,,,,,,,,,,
source,1x_r0,1,0,PASS,169861,,,,169861,43603,True,True,,,,,,,,,,,,,,,,
source,1x_r1,1,1,PASS,169576,,,,169576,43603,True,True,,,,,,,,,,,,,,,,
source,2x_r0,2,0,PASS,339176,,,,339176,87206,True,True,,,,,,,,,,,,,,,,
source,2x_r1,2,1,PASS,338368,,,,338368,87206,True,True,,,,,,,,,,,,,,,,
candidate,DLP_EWMA_D,,,MEASURED,,,,,,,,,ewma,1.0,12.209581979267238,8.920641966082382,1.0,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,1.0,7.47628328535413,2.5966015457538267,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,59,0
candidate,DLP_EWMA_A,,,MEASURED,,,,,,,,,ewma,1.0,13.472754999833953,8.920641966082382,1.0,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,1.0,8.756412450130863,2.5966015457538267,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,59,0
candidate,DLP_EWMA_B,,,MEASURED,,,,,,,,,ewma,1.0,13.472754999833953,8.920641966082382,1.0,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,1.0,8.756412450130863,2.5966015457538267,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,59,0
candidate,DLP_EWMA_C,,,MEASURED,,,,,,,,,ewma,1.0,13.472754999833953,8.920641966082382,1.0,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,1.0,8.756412450130863,2.5966015457538267,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,59,0
candidate,DLP_TD_B,,,MEASURED,,,,,,,,,td,1.0,13.472754999833953,29.536043090554855,1.0,1.0,15.703021709215832,29.674327029275386,1.0,8.756412450130865,22.830188523828305,1.0,11.670230300976403,22.9033384382809,59,121
candidate,DLP_TD_A,,,MEASURED,,,,,,,,,td,1.0,14.345798120385153,32.58814470294435,1.0,1.0,16.854136754584875,32.72642864166487,1.0,9.628686330773363,25.87510784404095,1.0,12.571566406753222,25.948257758493547,59,121
candidate,DLP_TD_D,,,MEASURED,,,,,,,,,td,0.9999410017896124,12.209640482477143,24.283389599563975,0.9999410017896124,0.9998820035792247,15.267676417220283,24.41579153796041,1.0,7.47628328535413,17.76249036485186,1.0,11.410095646301727,17.835640279304453,59,120
candidate,DLP_TD_C,,,MEASURED,,,,,,,,,td,0.9999410017896124,13.472804608157114,29.519751165438272,0.9999410017896124,0.9998820035792247,15.681631554928941,29.637995478954466,1.0,8.756412450130865,22.830188523828305,1.0,11.670230300976403,22.9033384382809,59,120
