scenario_id,measurement_status,line_ids,paper_completed_raw,paper_rate,fresh_hca_completed_raw,fresh_hca_rate,g26_s4_completed_raw,g26_s4_rate,g27_completed_raw,g27_rate,g27_business_failed_raw,g27_source_rejected_unreachable_segment_count,g27_topology_reachable_raw_bag_upper_bound,g27_reaches_topology_upper,g27_vs_fresh_hca,g27_vs_paper,gap_reason
single_1,MEASURED,1,28506,1.0,28506,1.0,28506,1.0,28506,1.0,0,0,28506,True,TIE,TIE,
single_2,MEASURED,2,25085,0.88,25313,0.8879884936504595,25284,0.8869711639654809,25313,0.8879884936504595,3193,3193,25313,True,TIE,G27_WIN,
single_3,MEASURED,3,28506,1.0,28506,1.0,22732,0.7974461516873641,28506,1.0,0,0,28506,True,TIE,TIE,
single_4,MEASURED,4,27081,0.95,28471,0.9987721883112327,4585,0.1608433312285133,28506,1.0,0,0,28506,True,G27_WIN,G27_WIN,
single_5,MEASURED,5,27651,0.97,28484,0.9992282326527748,22555,0.7912369325755981,28506,1.0,0,0,28506,True,G27_WIN,G27_WIN,
single_6,MEASURED,6,27366,0.96,28506,1.0,28469,0.9987020276433032,28506,1.0,0,0,28506,True,TIE,G27_WIN,
single_7,MEASURED,7,28506,1.0,28506,1.0,28061,0.9843892513856732,28506,1.0,0,0,28506,True,TIE,TIE,
single_8,MEASURED,8,28221,0.99,28497,0.999684276994317,28506,1.0,28506,1.0,0,0,28506,True,G27_WIN,G27_WIN,
pair_1_7,MEASURED,"1,7",28506,1.0,28506,1.0,28062,0.984424331719638,28506,1.0,0,0,28506,True,TIE,TIE,
pair_2_4,MEASURED,"2,4",21665,0.76,22083,0.7746790149442223,3961,0.13895320283449097,22113,0.7757314249631656,6393,6393,22113,True,G27_WIN,G27_WIN,
pair_3_5,MEASURED,"3,5",18814,0.66,18914,0.6635094366098365,18851,0.6612993755700555,18914,0.6635094366098365,9592,9592,18914,True,TIE,G27_WIN,
pair_4_5,MEASURED,"4,5",0,0.0,0,0.0,0,0.0,0,0.0,28506,28506,0,True,TIE,TIE,
pair_5_7,NOT_MEASURED,"5,7",13683,0.48,,,,,,,,,,,NOT_MEASURED,NOT_MEASURED,ARCHIVED_ONLY_SOURCE_PROTOCOL_UNRESOLVED
triple_2_4_6,MEASURED,"2,4,6",7412,0.26,7453,0.2614537290395005,3816,0.133866554409598,7453,0.2614537290395005,21053,21053,7453,True,TIE,G27_WIN,
triple_3_5_8,MEASURED,"3,5,8",1425,0.05,0,0.0,80,0.0028064267171823477,6306,0.22121658598189856,22200,26680,6306,True,G27_WIN,G27_WIN,
triple_4_6_7,MEASURED,"4,6,7",7412,0.26,5635,0.19767768189153162,2012,0.07058163193713604,9235,0.32396688416473723,19271,19271,9235,True,G27_WIN,G27_WIN,
