metric_id,metric_name,scope,paper_value,unit,source,evidence
paper_t5_2_speed_1.5,THT by conveyor speed,no_fault_primary_speed_sweep,"min=5.10, avg=6.44, max=9.68",minutes,表5.2,行李吞吐时间
paper_t5_2_speed_2.0,THT by conveyor speed,no_fault_primary_speed_sweep,"min=3.87, avg=4.93, max=7.37",minutes,表5.2,行李吞吐时间
paper_t5_2_speed_2.5,THT by conveyor speed,no_fault_primary_speed_sweep,"min=3.13, avg=3.96, max=5.98",minutes,表5.2,行李吞吐时间
paper_t5_2_speed_3.0,THT by conveyor speed,no_fault_primary_speed_sweep,"min=2.63, avg=3.37, max=5.05",minutes,表5.2,行李吞吐时间
paper_t5_3_分散启发式方法,IoT-DRPA vs dispersed heuristic,2.5mps_no_fault,"min=3.56, avg=4.43, max=8.62",minutes or percent,表5.3,IoT-DRPA与分散启发式方法下行李吞吐时间对比
paper_t5_3_IoT-DRPA,IoT-DRPA vs dispersed heuristic,2.5mps_no_fault,"min=3.13, avg=3.96, max=5.98",minutes or percent,表5.3,IoT-DRPA与分散启发式方法下行李吞吐时间对比
paper_t5_3_效率提高,IoT-DRPA vs dispersed heuristic,2.5mps_no_fault,"min=12.1%, avg=10.6%, max=30.6%",minutes or percent,表5.3,IoT-DRPA与分散启发式方法下行李吞吐时间对比
paper_t5_4_speed_1.5_dev_10%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=6.45, static=6.59, improvement=2.12",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_1.5_dev_20%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=6.67, static=6.86, improvement=2.77",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_1.5_dev_30%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=6.91, static=7.11, improvement=2.81",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_2.0_dev_10%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=4.92, static=5.07, improvement=2.96",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_2.0_dev_20%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=5.16, static=5.36, improvement=3.73",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_2.0_dev_30%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=5.42, static=5.62, improvement=3.56",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_2.5_dev_10%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=3.99, static=4.19, improvement=4.77",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_2.5_dev_20%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=4.25, static=4.46, improvement=4.71",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_2.5_dev_30%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=4.49, static=4.72, improvement=4.87",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_3.0_dev_10%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=3.39, static=3.56, improvement=4.78",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_3.0_dev_20%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=3.51, static=3.72, improvement=5.65",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_4_speed_3.0_dev_30%,dynamic vs static average THT,speed_deviation_dynamic_static,"dynamic=3.64, static=3.87, improvement=5.94",minutes/percent,表5.4,动态和静态策略之间的平均THT比较
paper_t5_5_1,device interruption success rate,1_interrupted_conveyors,"affected=1, success_rate=1",ratio,表5.5,设备中断的影响
paper_t5_5_2,device interruption success rate,1_interrupted_conveyors,"affected=7, success_rate=0.88",ratio,表5.5,设备中断的影响
paper_t5_5_3,device interruption success rate,1_interrupted_conveyors,"affected=5, success_rate=1",ratio,表5.5,设备中断的影响
paper_t5_5_4,device interruption success rate,1_interrupted_conveyors,"affected=15, success_rate=0.95",ratio,表5.5,设备中断的影响
paper_t5_5_5,device interruption success rate,1_interrupted_conveyors,"affected=24, success_rate=0.97",ratio,表5.5,设备中断的影响
paper_t5_5_6,device interruption success rate,1_interrupted_conveyors,"affected=7, success_rate=0.96",ratio,表5.5,设备中断的影响
paper_t5_5_7,device interruption success rate,1_interrupted_conveyors,"affected=1, success_rate=1",ratio,表5.5,设备中断的影响
paper_t5_5_8,device interruption success rate,1_interrupted_conveyors,"affected=7, success_rate=0.99",ratio,表5.5,设备中断的影响
paper_t5_5_1，7,device interruption success rate,2_interrupted_conveyors,"affected=2, success_rate=1",ratio,表5.5,设备中断的影响
