start,goal
3,47
52,49
4,47
52,49
5,47
52,49
3,47
52,48
3,47
52,49
4,47
52,49
5,47
52,49
3,47
52,49
0,47
52,50
4,47
52,48
5,47
52,48
1,47
52,50
0,47
52,49
4,47
52,49
5,47
52,49
3,47
52,49
3,47
52,49
2,47
52,50
0,47
52,50
1,47
52,50
3,47
52,48
2,47
52,50
4,47
52,49
5,47
52,49
3,47
52,49
4,47
52,49
4,47
52,48
5,47
52,49
3,47
52,49
0,47
52,50
5,47
52,48
1,47
52,50
2,47
52,50
0,47
52,50
3,47
52,48
4,47
52,48
1,47
52,50
5,47
52,48
2,47
52,50
3,47
52,48
0,47
52,50
1,47
52,49
4,47
52,49
5,47
52,49
3,47
52,49
1,47
52,50
4,47
52,49
2,47
52,50
4,47
52,48
0,47
52,50
1,47
52,50
5,47
52,48
2,47
52,50
3,47
52,48
0,47
52,50
0,47
52,50
4,47
52,48
5,47
52,49
3,47
52,49
1,47
52,50
4,47
52,49
5,47
52,48
5,47
52,49
2,47
52,50
3,47
52,48
0,47
52,50
4,47
52,48
1,47
52,50
5,47
52,48
3,47
52,48
2,47
52,50
4,47
52,48
0,47
52,50
5,47
52,48
1,47
52,50
3,47
52,48
2,47
52,50
3,47
52,49
2,47
52,49
4,47
52,49
0,47
52,50
5,47
52,49
4,47
52,48
3,47
52,49
4,47
52,49
1,47
52,50
5,47
52,49
3,47
52,49
2,47
52,50
4,47
52,49
0,47
52,50
4,47
52,48
1,47
52,50
2,47
52,50
5,47
52,48
0,47
52,50
3,47
52,48
1,47
52,50
4,47
52,48
2,47
52,50
5,47
52,48
0,47
52,50
3,47
52,48
1,47
52,50
1,47
52,50
2,47
52,50
53,47
52,48
53,47
52,48
53,47
52,49
53,47
52,49
53,47
52,49
53,47
52,49
53,47
52,49
53,47
52,49
53,47
52,49
53,47
52,48
53,47
52,49
53,47
52,49
5,47
52,49
3,47
52,49
4,47
52,49
5,47
52,49
3,47
52,49
0,47
52,50
4,47
52,49
4,47
52,48
5,47
52,49
1,47
52,50
5,47
52,48
3,47
52,49
3,47
52,48
4,47
52,49
4,47
52,48
2,47
52,50
5,47
52,48
0,47
52,50
3,47
52,48
1,47
52,50
4,47
52,48
2,47
52,50
0,47
52,50
5,47
52,48
3,47
52,48
1,47
52,50
2,47
52,50
2,47
52,50
0,47
52,50
4,47
52,48
0,47
52,50
53,47
52,49
53,47
52,49
53,47
52,49
53,47
52,49
5,47
52,49
3,47
52,49
4,47
52,49
5,47
