case_id,start,goal,source_count,source_samples,python_path,cpp_path,path_length,strict_parity_pass,legacy_output_anchor_path,legacy_output_anchor_match
1,0,9,563,map_start_end;task0.txt:2:new_task;task1.txt:2:new_task;task1.txt:4:onpath_from_passed_vertex;task1.txt:4:onpath_full;task10.txt:10:onpath_full;task10.txt:12:onpath_full;task10.txt:14:onpath_full;...(+555),"[0, 1, 3, 5, 8, 9]","[0, 1, 3, 5, 8, 9]",6,True,"[0, 1, 3, 5, 8, 9]",True
2,1,9,212,task1.txt:4:onpath_from_pass_vertex;task10.txt:10:onpath_from_passed_vertex;task10.txt:12:onpath_from_passed_vertex;task10.txt:14:onpath_from_passed_vertex;task10.txt:16:onpath_from_passed_vertex;task10.txt:18:onpath_from_pass_vertex;task10.txt:20:onpath_from_pass_vertex;task10.txt:22:onpath_from_pass_vertex;...(+204),"[1, 3, 5, 8, 9]","[1, 3, 5, 8, 9]",5,True,,
3,2,9,212,task1.txt:5:onpath_from_pass_vertex;task10.txt:11:onpath_from_passed_vertex;task10.txt:13:onpath_from_passed_vertex;task10.txt:15:onpath_from_passed_vertex;task10.txt:17:onpath_from_passed_vertex;task10.txt:19:onpath_from_pass_vertex;task10.txt:21:onpath_from_pass_vertex;task10.txt:23:onpath_from_pass_vertex;...(+204),"[2, 4, 6, 7, 9]","[2, 4, 6, 7, 9]",5,True,,
4,3,9,225,task10.txt:10:onpath_from_pass_vertex;task10.txt:12:onpath_from_pass_vertex;task10.txt:14:onpath_from_pass_vertex;task10.txt:16:onpath_from_pass_vertex;task10.txt:4:onpath_from_passed_vertex;task10.txt:6:onpath_from_passed_vertex;task10.txt:8:onpath_from_pass_vertex;task11.txt:10:onpath_from_pass_vertex;...(+217),"[3, 5, 8, 9]","[3, 5, 8, 9]",4,True,,
5,4,9,225,task10.txt:11:onpath_from_pass_vertex;task10.txt:13:onpath_from_pass_vertex;task10.txt:15:onpath_from_pass_vertex;task10.txt:17:onpath_from_pass_vertex;task10.txt:5:onpath_from_passed_vertex;task10.txt:7:onpath_from_passed_vertex;task10.txt:9:onpath_from_pass_vertex;task11.txt:11:onpath_from_pass_vertex;...(+217),"[4, 6, 7, 9]","[4, 6, 7, 9]",4,True,,
6,5,9,175,task10.txt:4:onpath_from_pass_vertex;task10.txt:6:onpath_from_pass_vertex;task11.txt:4:onpath_from_pass_vertex;task11.txt:6:onpath_from_pass_vertex;task11.txt:8:onpath_from_pass_vertex;task12.txt:10:onpath_from_pass_vertex;task12.txt:4:onpath_from_pass_vertex;task12.txt:6:onpath_from_pass_vertex;...(+167),"[5, 8, 9]","[5, 8, 9]",3,True,,
7,6,9,175,task10.txt:5:onpath_from_pass_vertex;task10.txt:7:onpath_from_pass_vertex;task11.txt:5:onpath_from_pass_vertex;task11.txt:7:onpath_from_pass_vertex;task11.txt:9:onpath_from_pass_vertex;task12.txt:11:onpath_from_pass_vertex;task12.txt:5:onpath_from_pass_vertex;task12.txt:7:onpath_from_pass_vertex;...(+167),"[6, 7, 9]","[6, 7, 9]",3,True,,
8,7,9,125,task14.txt:5:onpath_from_pass_vertex;task15.txt:5:onpath_from_pass_vertex;task15.txt:7:onpath_from_pass_vertex;task16.txt:5:onpath_from_pass_vertex;task16.txt:7:onpath_from_pass_vertex;task16.txt:9:onpath_from_pass_vertex;task17.txt:11:onpath_from_pass_vertex;task17.txt:5:onpath_from_pass_vertex;...(+117),"[7, 9]","[7, 9]",2,True,,
9,8,9,125,task14.txt:4:onpath_from_pass_vertex;task15.txt:4:onpath_from_pass_vertex;task15.txt:6:onpath_from_pass_vertex;task16.txt:4:onpath_from_pass_vertex;task16.txt:6:onpath_from_pass_vertex;task16.txt:8:onpath_from_pass_vertex;task17.txt:10:onpath_from_pass_vertex;task17.txt:4:onpath_from_pass_vertex;...(+117),"[8, 9]","[8, 9]",2,True,,
10,10,9,563,map_start_end;task0.txt:3:new_task;task1.txt:3:new_task;task1.txt:5:onpath_from_passed_vertex;task1.txt:5:onpath_full;task10.txt:11:onpath_full;task10.txt:13:onpath_full;task10.txt:15:onpath_full;...(+555),"[10, 2, 4, 6, 7, 9]","[10, 2, 4, 6, 7, 9]",6,True,"[10, 2, 4, 6, 7, 9]",True
