case,policy,fault_edges,max_tasks,planned_count,unplanned_count,mean_travel_time,p95_travel_time,post_shield_conflicts,shield_blocks,unsafe_proposals,steps,truncated,elapsed_seconds
density_train_first8,base_dagger_bc,none,8,8,0,49.749999999999545,55.38999999999987,0,0,0,78,False,0.014964800000598188
density_train_first8,fault_curriculum_bc,none,8,8,0,49.749999999999545,55.38999999999987,0,0,0,78,False,0.015037699995446019
density_train_first8,fault_aware_astar,none,8,8,0,49.749999999999545,55.38999999999987,0,0,0,78,False,0.023262199996679556
density_train_first8,rolling_horizon_sipp,none,8,8,0,50.45650937499977,59.67359814999992,0,0,0,8,False,0.004225600001518615
density_combined_first16,base_dagger_bc,none,16,15,1,51.586666666666375,61.85999999999931,0,0,0,192,False,0.03928069999528816
density_combined_first16,fault_curriculum_bc,none,16,16,0,57.01249999999948,81.84999999999854,0,0,0,173,False,0.03245349999633618
density_combined_first16,fault_aware_astar,none,16,15,1,51.586666666666375,61.85999999999931,0,0,0,192,False,0.062193899997510016
density_combined_first16,rolling_horizon_sipp,none,16,16,0,52.74050093749918,70.27909999999656,0,0,0,16,False,0.009987299999920651
fault_alt_route_first8,base_dagger_bc,16->17,8,4,4,46.99999999999909,49.11999999999871,0,0,0,544,False,0.11305159999756142
fault_alt_route_first8,fault_curriculum_bc,16->17,8,8,0,51.849999999999,56.91999999999916,0,0,0,74,False,0.011961699994571973
fault_alt_route_first8,fault_aware_astar,16->17,8,8,0,51.849999999999,56.91999999999916,0,0,0,74,False,0.018364200004725717
fault_alt_route_first8,rolling_horizon_sipp,16->17,8,8,0,53.60650937499895,63.87359814999881,0,0,0,8,False,0.002368099994782824
fault_goal_exit_first8,base_dagger_bc,28->47,8,0,8,0.0,0.0,0,0,0,1024,False,0.19170000000303844
fault_goal_exit_first8,fault_curriculum_bc,28->47,8,8,0,146.75000000000045,202.59000000000162,0,0,0,186,False,0.03555169999890495
fault_goal_exit_first8,fault_aware_astar,28->47,8,8,0,84.55000000000018,94.98999999999987,0,0,0,134,False,0.046397399994020816
fault_goal_exit_first8,rolling_horizon_sipp,28->47,8,8,0,84.24265462499966,96.70257579999881,0,0,0,8,False,0.005260500001895707
