slice_index,candidate_count,max_abs_diff,python_action,cpp_action,prediction_match
0,2,0.0,0,0,True
1,3,6.938893903907228e-18,1,1,True
2,2,6.938893903907228e-18,0,0,True
3,2,6.938893903907228e-18,0,0,True
4,2,6.938893903907228e-18,0,0,True
5,3,6.938893903907228e-18,0,0,True
6,3,0.0,2,2,True
7,2,6.938893903907228e-18,0,0,True
8,2,0.0,0,0,True
9,2,0.0,0,0,True
10,3,6.938893903907228e-18,0,0,True
11,2,0.0,0,0,True
12,3,0.0,0,0,True
13,3,6.938893903907228e-18,2,2,True
14,2,6.938893903907228e-18,0,0,True
15,3,6.938893903907228e-18,0,0,True
16,2,0.0,1,1,True
17,2,0.0,1,1,True
18,2,0.0,0,0,True
19,3,6.938893903907228e-18,1,1,True
20,3,6.938893903907228e-18,1,1,True
21,3,6.938893903907228e-18,0,0,True
22,2,6.938893903907228e-18,0,0,True
23,3,6.938893903907228e-18,0,0,True
24,3,6.938893903907228e-18,2,2,True
25,2,6.938893903907228e-18,0,0,True
26,3,1.3877787807814457e-17,1,1,True
27,2,0.0,0,0,True
28,2,6.938893903907228e-18,0,0,True
29,2,6.938893903907228e-18,0,0,True
30,3,0.0,2,2,True
31,3,6.938893903907228e-18,2,2,True
